round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,112,112,112,1.585700183060539,3532.0,0.230650957219016,0.034612525226232885,1.6140764393714468,0.23474961129002292,0.1059735501255932,0.15388117890973005,112.0,112.0,0.018171395536228374
2,112,112,112,1.1908407239904406,3001.0,0.03140497447611945,0.0225328949685956,1.6138960629691075,0.2316861807291193,0.10428943822065143,0.14911937751708507,112.0,112.0,0.03291929285777379
3,112,112,112,1.3158615568830323,1972.0,0.030757676317821656,0.022266209280269414,1.6140547111328953,0.2257762158546553,0.10300908294108586,0.14559666779354435,112.0,112.0,0.021477241964411014
4,112,112,112,1.4008270308778092,1184.0,0.05757426005062076,0.028687520354774402,1.6141586820065255,0.23298057432180144,0.10474431937156051,0.15206208559163406,112.0,112.0,0.020075575893705327
5,112,112,112,1.4708122355434705,1047.0,0.045477721201123714,0.04837220143410877,1.61419326393888,0.21563693136254275,0.10077112948365112,0.1403140069225202,112.0,112.0,0.019819875000523877
6,112,112,112,1.375008925032244,898.0,0.048976510466101845,0.03678583908590949,1.6142943100332197,0.21183657813352758,0.09587951363942658,0.13589124968376393,112.0,112.0,0.01523311607161304
7,112,112,112,1.5682641077041626,800.0,0.025462628001114353,0.028779340001638048,1.6144389542189153,0.20245705223076116,0.09659997450665678,0.12606825754708043,112.0,112.0,0.013908372322345843
8,112,112,112,1.6070298051834107,800.0,0.059354568000417204,0.06647730799973943,1.6143706462743592,0.21183200015669984,0.1038451310178438,0.13321131297660752,112.0,112.0,0.017881347320716095
9,112,112,112,1.5197278540054753,778.0,0.0393954186363533,0.033377425708768504,1.614308469161785,0.2156436782736591,0.10735424656990666,0.13604056831920247,112.0,112.0,0.018177609821188007
10,112,112,112,1.5240242201141094,698.0,0.05378321174679446,0.03969343868367785,1.6143287168371134,0.21616227105068778,0.10724247981688842,0.1344178175890168,112.0,112.0,0.013914238393876335
11,112,112,112,1.4436816394777225,665.0,0.03713793128000614,0.03285982466179832,1.6143200637493949,0.2183226679591806,0.10688344413703589,0.13563279950930993,112.0,112.0,0.023142761607232387
12,112,112,112,1.4301213036448959,573.0,0.044957483072197726,0.03473439947746688,1.6144776548636128,0.2194789769409799,0.10741319920101987,0.13664961059350425,112.0,112.0,0.017183372320427485
13,112,112,112,1.426410402570452,490.0,0.033054761221835496,0.0385729969393911,1.614632610793734,0.22084556440564268,0.10981866835287879,0.13825258192832016,112.0,112.0,0.02161963303556799
14,112,112,112,1.5650615521839686,448.0,0.070285350001151,0.03939657857076132,1.6147598024370509,0.21905182957112718,0.10737610184913284,0.13756179091546689,112.0,112.0,0.019771873214267544
15,112,112,112,1.6181515795843942,448.0,0.03213045714489583,0.03519521428513274,1.6147222366674259,0.22111594378887436,0.10910728010817031,0.14099090190086278,112.0,112.0,0.014772421428980513
16,112,112,112,1.6726515804018294,448.0,0.021650735710863955,0.02553377856903743,1.6146468627160362,0.22516038815813405,0.11363345676594874,0.14310136495008294,112.0,112.0,0.016733240178967077
17,112,112,112,1.6412850533212935,448.0,0.02084017857019457,0.02346552143093764,1.6144946530974327,0.22330718095955462,0.1125045141934652,0.14226479677338527,112.0,112.0,0.015632999105816583
18,112,112,112,1.5180750153281473,440.0,0.0324549563618017,0.03610703999822197,1.6144255952185884,0.21995685800771217,0.1134509330035872,0.14048920286381023,112.0,112.0,0.017514000893113137
19,112,112,112,1.590284595122704,416.0,0.02363642307934172,0.026273700001183897,1.6144154642620572,0.21191243221195152,0.11059461496502064,0.13630474504282536,112.0,112.0,0.02095455446409947
20,112,112,112,1.5738733273286085,416.0,0.018815561540227812,0.022731353846701004,1.6142266303580217,0.21115186091632682,0.11097906297219298,0.13499341445953839,112.0,112.0,0.01795572232172812
21,112,112,112,1.5808685651192298,416.0,0.037582146151600264,0.03792499999914211,1.6140616726024783,0.21823189381845692,0.11448218455484592,0.14257626978412438,112.0,112.0,0.013609780357260856
22,112,112,112,1.5858818112736772,391.0,0.020189098464293807,0.025569802297994108,1.613926788958985,0.22424918725931903,0.116281552265326,0.14712417853720566,112.0,112.0,0.019968780358145262
23,112,112,112,1.5978644802145763,365.0,0.09722118767102772,0.04522087725978951,1.613819502364715,0.22928082367521324,0.12068322823097244,0.15145798145100461,112.0,112.0,0.014327619642764538
24,112,112,112,1.3829039182418432,312.0,0.01787226090089415,0.02166343493771796,1.6131751594592736,0.22036182667646176,0.11349337663555463,0.14447245423429397,112.0,112.0,0.01972453928556206
25,112,112,112,1.6638965755701065,256.0,0.016625950000161538,0.017343087502013077,1.612644661897273,0.22010506628892257,0.1133648293377889,0.14380364874634213,112.0,112.0,0.01770958035714492
26,112,112,112,1.6446280628442764,256.0,0.02249413750359963,0.018462862501110067,1.6119746101707901,0.21935752649280832,0.11212387481494893,0.14355032297377418,112.0,112.0,0.02019035000064053
27,112,112,112,1.453357950846354,255.0,0.08029585529253452,0.025180323531636604,1.6113919824803837,0.22598669243565322,0.1134450067081765,0.14659654088384738,112.0,112.0,0.01329228839235189
28,112,112,112,1.6360797978899806,197.0,0.019731216243516092,0.01959324314576328,1.6114643783453704,0.22636000824816746,0.11302482307415188,0.14537642936119258,112.0,112.0,0.036690544642754376
29,112,112,112,1.4605997277315332,189.0,0.014100614813200775,0.017549970898673765,1.6111230167420023,0.2189955898156705,0.1083742011363034,0.14071642020248112,112.0,112.0,0.029532888393337738
30,112,112,112,1.6877485752105712,160.0,0.01986172000179067,0.014157360000535846,1.6113569287074732,0.21972239154890513,0.10627343559632109,0.1454000295491487,112.0,112.0,0.020173836608202173
31,112,112,112,1.6639196634292603,160.0,0.01941854000033345,0.013897980001638643,1.6123333029710862,0.21988793641308954,0.10918858247642486,0.14374267912305647,112.0,112.0,0.022285813394254155
32,112,112,112,1.4251689516264816,145.0,0.013224444136320582,0.012533860689567017,1.613545626452579,0.2253678458609038,0.11795276461192472,0.14821390104641013,112.0,112.0,0.024643510714018442
33,112,112,112,1.3998982794931,107.0,0.06747777570391544,0.046596746734929896,1.6158688482796142,0.21510088185641915,0.10397588112428578,0.14034744499982604,112.0,112.0,0.015724008035899066
34,112,112,112,1.5409777959187825,96.0,0.013739533329498954,0.011041233330615796,1.617865958154687,0.22998353083454745,0.11211895943243787,0.14890999595587154,112.0,112.0,0.026057848214285122
35,112,112,112,0.8879932907392394,53.0,0.008996222637986922,0.009549956592480775,1.6198480828384791,0.22440735554673177,0.10848077804654767,0.1461265510423817,112.0,112.0,0.02646562767755053
