round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,115,115,115,2.5409727750626288,3616.0,0.09098146294202876,0.013977231166881718,2.5705539454045216,0.023004206719847677,0.007099132377771142,0.003999795067493732,115.0,115.0,0.011877989564812235
2,115,115,115,2.5018200812541265,3550.0,0.033367522112747676,0.022076022338161482,2.5703854679383005,0.023004206719847677,0.00709913237777114,0.003999795067493732,115.0,115.0,0.026823269564888702
3,115,115,115,2.0840191888399495,3026.0,0.03033973850032016,0.02838995750210043,2.5701766619430724,0.023004206719847674,0.007099132377771142,0.003999795067493733,115.0,115.0,0.023493152174025613
4,115,115,115,2.0760408872646843,1931.0,0.02582602811999227,0.026031873277987772,2.5699827613917705,0.023004206719847674,0.007099132377771142,0.003999795067493732,115.0,115.0,0.012330412174038508
5,115,115,115,2.3301302049218156,1312.0,0.049778499466184234,0.027739177819811875,2.5697470249393644,0.023004206719847677,0.007099132377771144,0.003999795067493732,115.0,115.0,0.030514920869988957
6,115,115,115,2.4210517069591426,1097.0,0.02916462269830718,0.028766278578327434,2.5696769923691396,0.023004206719847674,0.007099132377771142,0.003999795067493732,115.0,115.0,0.022436515652162082
7,115,115,115,2.558304204249453,1007.0,0.020857825222924408,0.043926542502476615,2.5693414043496396,0.023004206719847674,0.007099132377771141,0.003999795067493732,115.0,115.0,0.02769345826072031
8,115,115,115,2.4857884142297957,969.0,0.01781022817383635,0.029533587924751824,2.569257499758046,0.023004206719847677,0.007099132377771142,0.003999795067493732,115.0,115.0,0.019442130434744406
9,115,115,115,2.373157138318087,904.0,0.019214799447227614,0.03389130022106149,2.5697415129730174,0.023004206719847677,0.007099132377771142,0.003999795067493732,115.0,115.0,0.026787346087297444
10,115,115,115,2.4936599923379767,795.0,0.03727506025132918,0.03470316792491592,2.5699404379404776,0.023004206719847674,0.00709913237777114,0.003999795067493732,115.0,115.0,0.01843428608686815
11,115,115,115,2.3404508951547984,740.0,0.02418784959479888,0.03003672446028685,2.5700148585712514,0.023004206719847677,0.00709913237777114,0.003999795067493732,115.0,115.0,0.01769933304395122
12,115,115,115,2.5655324572608587,672.0,0.01907475238147613,0.031841280953639875,2.5701200383194496,0.023004206719847674,0.0070991323777711435,0.003999795067493732,115.0,115.0,0.02178072956556444
13,115,115,115,2.482002412689878,593.0,0.03239018077635529,0.031947872343748074,2.56992710425255,0.023004206719847674,0.0070991323777711435,0.003999795067493732,115.0,115.0,0.023031719130433528
14,115,115,115,2.5330850813123913,576.0,0.01960381666706073,0.03888458333434149,2.5694702792020014,0.023004206719847674,0.007099132377771142,0.003999795067493732,115.0,115.0,0.02957150173865755
15,115,115,115,2.518387065993415,576.0,0.0670411055559978,0.04641751111113182,2.5684532162694866,0.023004206719847674,0.007099132377771142,0.003999795067493732,115.0,115.0,0.020715993043710985
16,115,115,115,2.4377863123404198,563.0,0.03276246074641334,0.04233007335758135,2.5676555524742075,0.023004206719847674,0.007099132377771141,0.0039997950674937315,115.0,115.0,0.026273598261025693
17,115,115,115,2.5331960425657383,544.0,0.047355058823835436,0.039505970588566815,2.566865411542086,0.023004206719847677,0.007099132377771141,0.003999795067493732,115.0,115.0,0.02038929391343592
18,115,115,115,2.528797850889318,544.0,0.07341129411660778,0.04122946470477687,2.5661627564153275,0.023004206719847674,0.0070991323777711435,0.003999795067493732,115.0,115.0,0.02260670434834142
19,115,115,115,2.536299102446612,544.0,0.02169654705957167,0.03468219411682666,2.5654733262834237,0.023004206719847674,0.007099132377771141,0.003999795067493732,115.0,115.0,0.02317531043505448
20,115,115,115,2.516695779912612,544.0,0.04749467058846837,0.03377386470631737,2.564839473792687,0.023004206719847674,0.007099132377771142,0.003999795067493732,115.0,115.0,0.022923575652100188
21,115,115,115,2.495746404744308,514.0,0.01881104591407325,0.03345517276372699,2.564001929904528,0.023004206719847677,0.007099132377771142,0.003999795067493732,115.0,115.0,0.013390580000123008
22,115,115,115,2.5278824120759964,512.0,0.009641181251481612,0.020755962500061287,2.563107727750335,0.023004206719847674,0.007099132377771142,0.003999795067493732,115.0,115.0,0.03734999217375171
23,115,115,115,2.555201932787895,512.0,0.07330398125077409,0.044627906249388616,2.5620532281427812,0.023004206719847674,0.007099132377771141,0.0039997950674937315,115.0,115.0,0.01920639478257331
24,115,115,115,2.529076337814331,512.0,0.012207356251110468,0.026514443750784267,2.561479710984714,0.023004206719847677,0.007099132377771142,0.003999795067493732,115.0,115.0,0.015213249565251476
25,115,115,115,2.5252062380313873,512.0,0.039487949998601835,0.026681481250761863,2.561099411773545,0.023004206719847674,0.007099132377771142,0.003999795067493732,115.0,115.0,0.024334030434787882
26,115,115,115,2.433894707533176,501.0,0.0326120810370009,0.03770099940129784,2.5610556105319713,0.023004206719847674,0.007099132377771144,0.003999795067493732,115.0,115.0,0.01909099913046584
27,115,115,115,2.543986209233602,480.0,0.01944029333196037,0.03540074666622483,2.561129289222773,0.023004206719847677,0.007099132377771142,0.003999795067493732,115.0,115.0,0.03180396260887273
28,115,115,115,2.541003688176473,480.0,0.010880273333653653,0.017804313333666263,2.561038522523869,0.023004206719847674,0.007099132377771142,0.003999795067493732,115.0,115.0,0.025960788695437772
29,115,115,115,2.535533157984416,480.0,0.043134086666395885,0.04274773999883716,2.560311709393161,0.023004206719847674,0.007099132377771141,0.003999795067493732,115.0,115.0,0.022598221739146697
30,115,115,115,2.413470932199985,474.0,0.012457876794461656,0.020407084387623682,2.5599351130610075,0.023004206719847674,0.007099132377771141,0.003999795067493732,115.0,115.0,0.02325174347820196
31,115,115,115,2.5374431289928996,417.0,0.055895176738971285,0.020042056595092547,2.559238258695388,0.023004206719847677,0.007099132377771141,0.003999795067493732,115.0,115.0,0.026869083478295183
32,115,115,115,2.440384769439697,400.0,0.039044724000268614,0.02465322800038848,2.5592640409776415,0.023004206719847674,0.0070991323777711435,0.003999795067493732,115.0,115.0,0.01434389478324548
33,115,115,115,2.370432354155041,378.0,0.011056774602457634,0.0164961185180887,2.5591351627909362,0.023004206719847674,0.007099132377771144,0.003999795067493732,115.0,115.0,0.018696389564644526
34,115,115,115,2.3111259242466518,350.0,0.01564797257002543,0.02264485599901361,2.558866349110425,0.023004206719847677,0.007099132377771142,0.003999795067493732,115.0,115.0,0.031503978260139856
35,115,115,115,2.5063507080078127,320.0,0.053062059998774204,0.015729459999420214,2.5585017965234655,0.023004206719847674,0.00709913237777114,0.003999795067493732,115.0,115.0,0.037224546956523503
36,115,115,115,2.5258079051971434,320.0,0.012133689998881892,0.015613759999541798,2.5576294836539866,0.023004206719847677,0.007099132377771142,0.003999795067493732,115.0,115.0,0.024786979999993016
37,115,115,115,2.5217429637908935,320.0,0.013027570000122068,0.016143740001280094,2.557219706655002,0.023004206719847674,0.0070991323777711435,0.003999795067493732,115.0,115.0,0.024071867826379552
38,115,115,115,2.414255034487905,301.0,0.012362222590758714,0.017321062127259354,2.556540075367373,0.023004206719847677,0.007099132377771142,0.003999795067493732,115.0,115.0,0.01992152869548274
39,115,115,115,2.521405670377943,288.0,0.010237333334064007,0.016370244444664825,2.5566931284431766,0.023004206719847677,0.007099132377771142,0.003999795067493732,115.0,115.0,0.032402177391138494
40,115,115,115,2.5204810301462808,288.0,0.01348784444417106,0.01808872222156626,2.5561735249230497,0.023004206719847674,0.007099132377771142,0.003999795067493732,115.0,115.0,0.022812092174085
41,115,115,115,2.5135180155436196,288.0,0.011536322222835023,0.016301788886873208,2.555674450127501,0.023004206719847674,0.00709913237777114,0.003999795067493732,115.0,115.0,0.019767079130384526
42,115,115,115,2.3137148492986506,275.0,0.015555227271556346,0.017694194908968217,2.5548092690562054,0.023004206719847674,0.007099132377771142,0.003999795067493732,115.0,115.0,0.025012058260567162
43,115,115,115,2.41876260682485,229.0,0.01193352445458544,0.01695202751077918,2.553226795418018,0.023004206719847674,0.007099132377771142,0.003999795067493732,115.0,115.0,0.029328830434836993
44,115,115,115,2.4684736728668213,224.0,0.010834928570797533,0.01728418571396365,2.551267010427467,0.023004206719847677,0.007099132377771141,0.003999795067493732,115.0,115.0,0.019884365217370466
45,115,115,115,2.441714286804199,224.0,0.01282945714150888,0.01873720000107174,2.549297644746699,0.023004206719847674,0.007099132377771142,0.003999795067493732,115.0,115.0,0.024664025217466787
46,115,115,115,2.4301040172576904,224.0,0.009565728572072527,0.01659637142958153,2.546870783931211,0.02300420671984767,0.007099132377771142,0.003999795067493732,115.0,115.0,0.023576174782963633
47,115,115,115,2.108547467287346,223.0,0.01359155246733574,0.02437516143531805,2.5467232189204245,0.023004206719847674,0.0070991323777711435,0.003999795067493732,115.0,115.0,0.020618731304104743
48,115,115,115,1.6830286386850717,185.0,0.007399389190863617,0.019654749729080642,2.5454194109662405,0.023004206719847674,0.00709913237777114,0.003999795067493732,115.0,115.0,0.02715533217383579
49,115,115,115,2.425327241420746,128.0,0.012027175003822776,0.019022749998839572,2.543746293122802,0.023004206719847674,0.007099132377771142,0.003999795067493732,115.0,115.0,0.01772238347829957
50,115,115,115,1.6404566027454495,97.0,0.005218120617221936,0.014594390722439917,2.542463145551829,0.023004206719847677,0.007099132377771142,0.003999795067493732,115.0,115.0,0.030542728695676803
51,115,115,115,2.474114179611206,64.0,0.011839549999422161,0.02409224999792059,2.5405507830597354,0.023004206719847677,0.00709913237777114,0.003999795067493732,115.0,115.0,0.01870294260860765
52,115,115,115,0.0,27.0,0.0007070925960390552,0.02038692222170842,2.5405507929363638,0.02300420671984767,0.007099132377771142,0.003999795067493732,115.0,115.0,0.017906465216947255
