round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,115,115,115,2.5374767759204966,3616.0,0.3206280816378811,0.0491545068303556,2.5671071614829453,0.08274132263548088,0.02004131479327761,0.044841508065475336,115.0,115.0,0.025244680868775543
2,115,115,115,2.4912357341067892,3550.0,0.057645578647715294,0.02318375549355807,2.566090737516271,0.07168213796375841,0.018038944044968884,0.03734382801947324,115.0,115.0,0.008467037391433816
3,115,115,115,2.06626332869848,3026.0,0.01020951913409156,0.009285044579700365,2.5658147704976475,0.0691415369098334,0.01716133192600024,0.03616753301092545,115.0,115.0,0.008135307826855948
4,115,115,115,2.06110794170109,1931.0,0.010189671724385597,0.012047391455926607,2.5656946802153806,0.0704319573159999,0.01764689127386463,0.0364606909313084,115.0,115.0,0.008894326086738147
5,115,115,115,2.3160304557986375,1312.0,0.012048799847445658,0.01364247698112616,2.565335299627283,0.06038651328578276,0.016105232022011664,0.027732114258515548,115.0,115.0,0.007406017390768165
6,115,115,115,2.368083199263706,1097.0,0.01044042041841646,0.012542886144269674,2.564939452868431,0.06313644734455155,0.016198087009105227,0.02957149821507381,115.0,115.0,0.007911828695922968
7,115,115,115,2.466214480205941,1007.0,0.01182524796488083,0.013758560276894679,2.5645446917397767,0.059581639095405585,0.01672718078742962,0.024243084337341778,115.0,115.0,0.007957165217806544
8,115,115,115,2.414569016211542,969.0,0.01326807461361753,0.0148056273481564,2.5641817831088463,0.0635209939928081,0.017520903397646264,0.025226569707765444,115.0,115.0,0.007737528694965674
9,115,115,115,2.3508154691848078,904.0,0.010102919690824521,0.01313049358275072,2.5638952089075455,0.062035466310798745,0.01629940151179512,0.024441784775629496,115.0,115.0,0.007224903478535175
10,115,115,115,2.447620770916249,795.0,0.011099752326479105,0.013532969182204901,2.563692144363853,0.0592567329371617,0.017898662691448297,0.023442539418950387,115.0,115.0,0.0066804347834398
11,115,115,115,2.276230054288297,740.0,0.010381021216272603,0.012289745406628385,2.5635976623121035,0.06377894972373878,0.018240854165748346,0.026428015334328706,115.0,115.0,0.007224633044856803
12,115,115,115,2.5014684086754206,672.0,0.011368119047671956,0.013388376192389322,2.5635724816165757,0.060588997794155164,0.01672300118680379,0.025025002709099076,115.0,115.0,0.007401465217496835
13,115,115,115,2.38924570067536,593.0,0.012101993422823153,0.014459633050505292,2.563579436785282,0.05958050176588615,0.017085764026609405,0.02459736556784056,115.0,115.0,0.007222899130631602
14,115,115,115,2.4749911758634777,576.0,0.010055444444232207,0.012448116668868655,2.563617579725338,0.06095427396633694,0.018651523107787265,0.02516221596066297,115.0,115.0,0.0075268260872690005
15,115,115,115,2.5068742169274225,576.0,0.011538494444620382,0.014664655557781871,2.563677443785866,0.0630496448246153,0.019782910001788567,0.025809418403413893,115.0,115.0,0.011282906087201453
16,115,115,115,2.4470165516936335,563.0,0.016527407105726134,0.022348203016971286,2.5636455089497328,0.0662017653461358,0.021844060190754674,0.02865163463739698,115.0,115.0,0.013004246086474387
17,115,115,115,2.5360371225020466,544.0,0.08069406470681048,0.025807829411967437,2.563586059795853,0.07002856185421769,0.02419367290177111,0.031824139318037285,115.0,115.0,0.012693026956833858
18,115,115,115,2.5207901141222786,544.0,0.017409735293339883,0.02174027647175963,2.5635770393769364,0.06655642889513921,0.0233022999959207,0.029177781929961413,115.0,115.0,0.012382319999059014
19,115,115,115,2.5168732474831974,544.0,0.02838334117875681,0.03349992353041136,2.563618323996481,0.06567121682293979,0.022037418504376627,0.028033878647574728,115.0,115.0,0.017933246956343518
20,115,115,115,2.5345021416159237,544.0,0.02104376470550265,0.024141094117487015,2.563612976849669,0.0669790034685366,0.02200191308392064,0.027421565117460373,115.0,115.0,0.011041700870492091
21,115,115,115,2.476201781039108,514.0,0.020788864590565524,0.023496851362915374,2.5636121341757536,0.06761825736828767,0.022220055434943754,0.028050172202093722,115.0,115.0,0.011453873913421337
22,115,115,115,2.4977450221776962,512.0,0.0256985062487729,0.02823513749808626,2.5634352141490226,0.06906526506317312,0.02261398859444132,0.027768357322481868,115.0,115.0,0.012725493913065926
