round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,115,115,115,2.586362452633613,3616.0,0.13435808335202234,0.011289166371971561,2.52959008170587,0.23093918490916387,0.0669598799298458,0.12705413867857882,115.0,115.0,0.005883387826527368
2,115,115,115,2.4652475835236025,3550.0,0.004947271126248254,0.00635187740854978,2.5289389161072635,0.23093918490916387,0.0669598799298458,0.12705413867857876,115.0,115.0,0.006053593043116447
3,115,115,115,2.08796214868277,3026.0,0.004229663681118454,0.007120467482078493,2.5288826008545797,0.2309391849091639,0.0669598799298458,0.12705413867857876,115.0,115.0,0.006245297391686345
4,115,115,115,2.0661212204034807,1931.0,0.004179209839418772,0.008061286380437425,2.528562762773155,0.23093918490916385,0.0669598799298458,0.12705413867857876,115.0,115.0,0.007874709564898892
5,115,115,115,2.309916897517879,1312.0,0.005355600533426341,0.011518871037207824,2.5284958612490533,0.23093918490916385,0.0669598799298458,0.12705413867857876,115.0,115.0,0.006947798260902662
6,115,115,115,2.3835609248256073,1097.0,0.005638633728044429,0.012040279762939698,2.528728407077768,0.23093918490916385,0.0669598799298458,0.12705413867857876,115.0,115.0,0.006749197391099701
7,115,115,115,2.4906698338680022,1007.0,0.008525966634059613,0.017305717179712993,2.5286661546049487,0.2309391849091639,0.0669598799298458,0.1270541386785788,115.0,115.0,0.015493582608557873
8,115,115,115,2.404756693648111,969.0,0.009535950258607226,0.01984692972115401,2.5286048574604183,0.2309391849091639,0.0669598799298458,0.12705413867857876,115.0,115.0,0.013921624347921865
9,115,115,115,2.326585778092916,904.0,0.008841561393460606,0.02080352046444776,2.5284220237490045,0.2309391849091639,0.0669598799298458,0.1270541386785788,115.0,115.0,0.013383214783211967
10,115,115,115,2.440412163884385,795.0,0.009685177483924287,0.02282407421300388,2.5279809113440592,0.2309391849091639,0.0669598799298458,0.12705413867857876,115.0,115.0,0.012295826087559006
11,115,115,115,2.2775628064129805,740.0,0.00709713013464942,0.01775153013505907,2.527667273906217,0.2309391849091639,0.0669598799298458,0.12705413867857876,115.0,115.0,0.012165683477739905
12,115,115,115,2.494772059576852,672.0,0.008146390476862766,0.017090819047769486,2.527826653740865,0.23093918490916387,0.0669598799298458,0.12705413867857876,115.0,115.0,0.010248831304615243
13,115,115,115,2.4176878519042146,593.0,0.007063591568396053,0.015950316020386122,2.5281264650466984,0.2309391849091639,0.066960536850007,0.12705421406285955,115.0,115.0,0.012054592174029929
14,115,115,115,2.492866555849711,576.0,0.00767575000079685,0.0186064555556287,2.528396746857354,0.23087177675277695,0.06695426762925658,0.1270219445855085,115.0,115.0,0.011301429565418917
15,115,115,115,2.4796739419301352,576.0,0.008375566666573932,0.01871259444508016,2.528365980671962,0.2307987040454331,0.06697170298707229,0.12701869928287968,115.0,115.0,0.011170930434752296
16,115,115,115,2.3876914774757507,563.0,0.007607231082841977,0.0177041255776904,2.5285435418169535,0.23003455612134946,0.06697054367087296,0.12675623128676056,115.0,115.0,0.013207013912640673
17,115,115,115,2.4931782554177677,544.0,0.007406952941999086,0.01681853529461317,2.52889433137076,0.2290738482790619,0.06689202407734306,0.12631803962076996,115.0,115.0,0.01733073304349091
18,115,115,115,2.4725256106432747,544.0,0.00752477646978257,0.017325464705851012,2.529209540774987,0.22818621314411813,0.06677610734225234,0.1258268023009866,115.0,115.0,0.017315793912743887
19,115,115,115,2.4978764057159424,544.0,0.009893670589115252,0.019339129410903242,2.5296384564747547,0.22774956111893965,0.06679491151014912,0.12561903827276957,115.0,115.0,0.015914616521837635
20,115,115,115,2.4986046622781193,544.0,0.021178052941275595,0.026784447059874178,2.529975796568494,0.22710768264192735,0.06671437919539462,0.12521647789006954,115.0,115.0,0.014617333043197109
21,115,115,115,2.471843021852961,514.0,0.006608585602177374,0.01558106770414061,2.5301016290612726,0.22650100923444508,0.06667308261482031,0.12477093115611644,115.0,115.0,0.013060875651717652
22,115,115,115,2.4889489710330963,512.0,0.007295087498732755,0.01595737500110772,2.5303565242552564,0.22656240525477125,0.06709837107187314,0.1252828162420856,115.0,115.0,0.012628451304107844
