round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,115,115,115,2.5022313531521148,3616.0,0.3611283016592286,0.05317674579624404,2.560323653883775,0.02062727250836266,0.005287239912147155,0.013035944825751154,115.0,115.0,0.019698298260830242
2,115,115,115,2.473790272893347,4799.0,0.01707295242797557,0.020957297145032826,2.5594490898003657,0.058986484223511625,0.01777804976307712,0.01498911464312445,115.0,115.0,0.018092485217304152
3,115,115,115,2.3293218129888413,4331.0,0.00986370491833095,0.012230280050874679,2.558250096697946,0.05898648422351164,0.01777804976307712,0.014989114643124453,115.0,115.0,0.008659170435060768
4,115,115,115,2.123425352670864,2813.0,0.005822604017359841,0.010331617739062278,2.556854791510266,0.058986484223511625,0.017778049763077113,0.014989114643124454,115.0,115.0,0.008602555651463183
5,115,115,115,2.2668843370013767,1800.0,0.00630442033264343,0.012107459555498079,2.555297759134528,0.058986484223511625,0.01777804976307712,0.01498911464312445,115.0,115.0,0.008696307826397496
6,115,115,115,2.3852750427356004,1423.0,0.006958365706122621,0.014657343991227758,2.553491132547495,0.05898648422351164,0.01777804976307712,0.014989114643124453,115.0,115.0,0.008161880869327275
7,115,115,115,2.417232562170277,1306.0,0.006855894334202099,0.013393839969747032,2.550591938155448,0.058986484223511625,0.017778049763077123,0.01498911464312445,115.0,115.0,0.008656702608467364
8,115,115,115,2.487350759425901,1306.0,0.006202102450090865,0.013214769066581688,2.547548063173172,0.058986484223511625,0.01777804976307712,0.01498911464312445,115.0,115.0,0.008228092173521873
9,115,115,115,2.4297404056642113,1271.0,0.006507547442295426,0.01308818591642079,2.54454736465824,0.058986484223511625,0.01777804976307712,0.014989114643124453,115.0,115.0,0.009292851304369675
10,115,115,115,2.443160098587803,1114.0,0.026447527289320913,0.029259339855591763,2.541423282338843,0.18154051000246965,0.11570267855600629,0.09980282006502487,115.0,115.0,0.015717307825916974
11,115,115,115,2.4107295216753326,1028.0,0.022523030154794038,0.03493193988355351,2.5385026616201407,0.12757323231998116,0.044261830498958835,0.04779303938340836,115.0,115.0,0.018049489565537837
12,115,115,115,2.4774072200565014,944.0,0.028347770763549166,0.03030948432202977,2.535897173863942,0.1275732323199812,0.04202281590058204,0.046659940148904795,115.0,115.0,0.012170209565121458
13,115,115,115,2.2812579243169355,865.0,0.01964886786172744,0.03074359630061767,2.5335723458610055,0.12831328782414403,0.042374778722435134,0.047884435083111805,115.0,115.0,0.02228485391299372
14,115,115,115,2.4705282554863404,805.0,0.06185085130411653,0.03190936558948242,2.530854237066366,0.12886832945226612,0.042586154932937124,0.04862215713426108,115.0,115.0,0.013176581739010188
15,115,115,115,2.47386494623758,821.0,0.009687057611630065,0.02157471985361746,2.5280373535654417,0.12942337108038823,0.042805420673717016,0.04924623656866663,115.0,115.0,0.014259259999506986
16,115,115,115,2.5013474086848695,831.0,0.019933169915813086,0.03362528182954987,2.52525239774541,0.12997841270851032,0.04296078439223064,0.04976624393883364,115.0,115.0,0.014483573043253272
17,115,115,115,2.4951924288931067,815.0,0.013762358773492227,0.03092470711619026,2.5224374344945097,0.13016342658455102,0.0429852819381528,0.04990258805095629,115.0,115.0,0.018655098260648588
18,115,115,115,2.483241083923359,799.0,0.02320860237832152,0.04815458022559223,2.5200407960584417,0.13053345433663244,0.043023564171817644,0.05018481015896789,115.0,115.0,0.02504333478263225
19,115,115,115,2.4880340601423105,812.0,0.02447152832532343,0.045737604064495,2.5176995920601395,0.12960838495642893,0.0426697401034515,0.049392293789096306,115.0,115.0,0.019103339130980085
20,115,115,115,2.4809798143180135,812.0,0.05461836748629157,0.03563200209427674,2.5153225123317395,0.12900314576503996,0.04249006120304565,0.04884553712551226,115.0,115.0,0.01550592260894558
21,115,115,115,2.425656362872599,782.0,0.01049308286430618,0.025532813555573065,2.512850844576737,0.12898736938801325,0.04254453848737711,0.0489854572491288,115.0,115.0,0.01454064956487855
22,115,115,115,2.504413342288651,764.0,0.01826697251273885,0.024806470811166357,2.5102885307175886,0.12842036273325122,0.042646022377750684,0.048004640147065514,115.0,115.0,0.009194073913006477
23,115,115,115,2.521285503946674,764.0,0.010087482722403594,0.0222512616478168,2.5071838965855267,0.12862258720241201,0.04283766416088948,0.04829534841327382,115.0,115.0,0.012463369565628692
24,115,115,115,2.5438525319254848,767.0,0.0730594388543617,0.012281937156998563,2.504207065333769,0.12842036273325125,0.04284912805080897,0.04801299775687242,115.0,115.0,0.008578078261115993
25,115,115,115,2.5527973361556193,767.0,0.00780529230841781,0.014608030900179446,2.5013104736152623,0.12821813826409043,0.042826363116568816,0.047718951618705825,115.0,115.0,0.00830108173888774
26,115,115,115,2.5413135835733365,756.0,0.006557290213220373,0.012166301984916332,2.498450100849642,0.1280833219513166,0.042752227481359664,0.04752166047644755,115.0,115.0,0.008016752173779937
27,115,115,115,2.524309017727869,719.0,0.007827622671145703,0.012947591376124645,2.495038240052487,0.12794850563854276,0.042678120506000436,0.04729679952197598,115.0,115.0,0.007884884348048059
28,115,115,115,2.5154232700278927,719.0,0.006678452989790749,0.012587631850765927,2.491187905152301,0.1279485056385428,0.042700199627419944,0.04729081244908417,115.0,115.0,0.009429362608795561
29,115,115,115,2.491084242066024,719.0,0.00888447552289223,0.017965701251072237,2.4882114345609923,0.12795361104198116,0.04289329790745824,0.047401424157430636,115.0,115.0,0.027364588695142984
30,115,115,115,2.4797740042710505,714.0,0.023106526050759683,0.037411616806981754,2.48491896027215,0.12876992455739067,0.04350718425408486,0.04881928338914985,115.0,115.0,0.020965528695302528
31,115,115,115,2.3857221261201524,641.0,0.021130690170285276,0.03044458517923745,2.481713450866951,0.12965364622918713,0.04395307939669302,0.05008573137918012,115.0,115.0,0.015008446956863222
32,115,115,115,2.4463686252895154,608.0,0.01714696579227549,0.03429150526292352,2.4787270005680426,0.1321949124962337,0.04480966440934246,0.053472356582138794,115.0,115.0,0.016422675652037193
33,115,115,115,2.4413736142610247,570.0,0.013988584211083913,0.02772620421080654,2.475754543091991,0.13561409525509152,0.045762886983117985,0.05766478877069225,115.0,115.0,0.017843133043345956
34,115,115,115,2.4500705715368003,526.0,0.013572068821892014,0.017029636881184522,2.4726117813926214,0.14022644614344706,0.047741382295323646,0.06376611745648732,115.0,115.0,0.015524402608634377
35,115,115,115,2.3932071685791017,480.0,0.014672740000969497,0.021912169998540777,2.47002311378909,0.1445645896409383,0.0492203942024619,0.06830787528684527,115.0,115.0,0.019381528695331603
36,115,115,115,2.407952904701233,480.0,0.012339939999219496,0.022241960001701956,2.467029802899188,0.15001217706303285,0.051516427492739755,0.07430105933884196,115.0,115.0,0.015228327826290574
37,115,115,115,2.4110870361328125,480.0,0.014661540001543471,0.02089207000171882,2.463994180079348,0.15628760100296252,0.05448326668333076,0.08141987766663214,115.0,115.0,0.014111144347470659
38,115,115,115,2.2650567259550614,461.0,0.010433929501638755,0.015656917569829922,2.460621399311331,0.16316021637601444,0.05803054880555369,0.08934449677125057,115.0,115.0,0.014349275652025624
39,115,115,115,2.4364448388417563,432.0,0.09352336666698749,0.017181366666692257,2.456443390642881,0.17072181175462853,0.06113095884886596,0.09744092048001642,115.0,115.0,0.007437900869484545
40,115,115,115,2.4197579754723444,432.0,0.00914566666647766,0.012836233331957677,2.4520261571648674,0.17663523815636514,0.06411640716720056,0.10362263474162703,115.0,115.0,0.00818317391309867
41,115,115,115,2.4263205263349743,432.0,0.010286044446628593,0.012885366666725732,2.447709633498506,0.1829886953018368,0.06872585446968571,0.10965867929129779,115.0,115.0,0.008324062608374769
42,115,115,115,2.4251003424705924,419.0,0.007976963960957104,0.01128812792304201,2.4430482599206287,0.19394595859604183,0.07609173877617496,0.12157523694581418,115.0,115.0,0.008321781739093991
43,115,115,115,2.2936734111369157,357.0,0.006372072268888832,0.01098702605142397,2.4391288163214915,0.20079759801275834,0.08030439066862322,0.12783144046664877,115.0,115.0,0.008367410434521329
44,115,115,115,2.4100187165396556,336.0,0.006844985713541973,0.010202728571519921,2.435597929395404,0.20602068924911734,0.08415476073349709,0.1329851705177511,115.0,115.0,0.007735971304140074
45,115,115,115,2.3941805022103444,336.0,0.008397014282568957,0.013394357143884658,2.4313018606348735,0.21422587015730937,0.088756544537431,0.14116980033671572,115.0,115.0,0.008859482608829199
46,115,115,115,2.4017292772020613,336.0,0.007648499999569529,0.011632157142490282,2.426578383080597,0.21872736440140844,0.09204045463168471,0.1451677367521148,115.0,115.0,0.009271040869340219
47,115,115,115,2.381182333960462,335.0,0.012538850446315935,0.0267833585077471,2.421621876682044,0.22758092503052899,0.09669460317042211,0.1516842165614126,115.0,115.0,0.017032985217583306
48,115,115,115,2.3903141513838038,281.0,0.016644964414530432,0.024472519217797074,2.4163339726116226,0.22899650961226656,0.09920902824559417,0.15277887517059996,115.0,115.0,0.018155065217528635
49,115,115,115,2.343628168106079,192.0,0.01493237499926181,0.026035225002488005,2.4105060592406624,0.23259121421750079,0.10249260105406,0.15427069078122277,115.0,115.0,0.017170164347803423
