server_round,client_id,num_train_examples,train_loss,fit_duration_sec,local_eval_duration_sec,train_val_loss,train_val_accuracy,train_val_macro_f1,train_val_weighted_f1,chunk_start_idx,chunk_end_idx,chunk_class_counts,chunk_present_class_ids,chunk_present_class_names,chunk_majority_class_id,chunk_majority_class_name,num_present_classes_in_chunk,global_model_total_l2,val_class_counts,val_present_class_ids,val_present_class_names,val_majority_class_id,val_majority_class_name,replay_windows_used,replay_buffer_size_after_update,num_train_examples_actual,num_train_examples_with_replay,replay_missing_class_windows_used,replay_class_counts_used,replay_class_ids_used,replay_class_names_used,val_class_recall_per_class_named,num_absent_classes_restored,absent_class_ids_restored,absent_class_names_restored,num_val_examples,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,eval_duration_sec
1,0,32.0,2.578254461288452,5.413844299997436,0.0900197999944794,2.5063973002963595,0.013888888888888888,0.003424657534246575,0.000380517503805175,0.0,32.0,"[32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[0],['ascending stairs'],0.0,ascending stairs,1.0,27.79818200162716,"[1, 0, 65, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1]","[0, 2, 4, 5, 8, 10, 11, 12]","['ascending stairs', 'descending stairs', 'jumping', 'lying down', 'running', 'sitting', 'standing', 'walking']",2.0,descending stairs,0.0,16.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": NaN, ""descending stairs"": 0.0, ""jogging"": NaN, ""jumping"": 0.0, ""lying down"": 1.0, ""picking up"": NaN, ""push-ups"": NaN, ""running"": 0.0, ""sit-ups"": NaN, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],72,2.507267130745782,0.013888888888888888,0.003424657534246575,0.000380517503805175,0.028638699994189665
1,1,32.0,2.5752663612365723,5.414154900005087,0.07011900000361493,2.5065688910307706,0.012345679012345678,0.003048780487804878,0.00030111412225233364,0.0,32.0,"[32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[0],['ascending stairs'],0.0,ascending stairs,1.0,27.79818200162716,"[1, 0, 74, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1]","[0, 2, 4, 5, 8, 10, 11, 12]","['ascending stairs', 'descending stairs', 'jumping', 'lying down', 'running', 'sitting', 'standing', 'walking']",2.0,descending stairs,0.0,16.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": NaN, ""descending stairs"": 0.0, ""jogging"": NaN, ""jumping"": 0.0, ""lying down"": 1.0, ""picking up"": NaN, ""push-ups"": NaN, ""running"": 0.0, ""sit-ups"": NaN, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],81,2.506905726444574,0.012345679012345678,0.003048780487804878,0.00030111412225233364,0.027627099996607285
1,3,32.0,2.554365634918213,5.41592700000183,0.06973809999908553,2.58526144947922,0.017543859649122806,0.004310344827586207,0.0006049606775559588,0.0,32.0,"[32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[0],['ascending stairs'],0.0,ascending stairs,1.0,27.79818200162716,"[1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 50, 1]","[0, 2, 4, 5, 8, 10, 11, 12]","['ascending stairs', 'descending stairs', 'jumping', 'lying down', 'running', 'sitting', 'standing', 'walking']",11.0,standing,0.0,16.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": NaN, ""descending stairs"": 0.0, ""jogging"": NaN, ""jumping"": 0.0, ""lying down"": 1.0, ""picking up"": NaN, ""push-ups"": NaN, ""running"": 0.0, ""sit-ups"": NaN, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],57,2.5870003616600705,0.017543859649122806,0.004310344827586207,0.0006049606775559588,0.018003700002736878
1,4,32.0,2.5659985542297363,5.417920899999444,0.0775597000028938,2.5072871338237417,0.022727272727272728,0.006349206349206349,0.00101010101010101,0.0,32.0,"[32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[0],['ascending stairs'],0.0,ascending stairs,1.0,27.79818200162716,"[1, 0, 38, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]","[0, 2, 4, 5, 8, 10, 11]","['ascending stairs', 'descending stairs', 'jumping', 'lying down', 'running', 'sitting', 'standing']",2.0,descending stairs,0.0,16.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": NaN, ""descending stairs"": 0.0, ""jogging"": NaN, ""jumping"": 0.0, ""lying down"": 1.0, ""picking up"": NaN, ""push-ups"": NaN, ""running"": 0.0, ""sit-ups"": NaN, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": NaN}",0.0,[],[],44,2.5078759626908735,0.022727272727272728,0.006349206349206349,0.00101010101010101,0.02279149999958463
1,5,32.0,2.704169988632202,0.010963200002152007,0.00935810000373749,2.5599026679992676,0.07142857142857142,0.022222222222222223,0.009523809523809523,0.0,32.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32]",[12],['walking'],12.0,walking,1.0,27.79818200162716,"[0, 0, 0, 0, 1, 1, 0, 0, 9, 0, 1, 1, 1]","[4, 5, 8, 10, 11, 12]","['jumping', 'lying down', 'running', 'sitting', 'standing', 'walking']",8.0,running,0.0,16.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": NaN, ""cycling"": NaN, ""descending stairs"": NaN, ""jogging"": NaN, ""jumping"": 0.0, ""lying down"": 1.0, ""picking up"": NaN, ""push-ups"": NaN, ""running"": 0.0, ""sit-ups"": NaN, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],14,2.5600640773773193,0.07142857142857142,0.022222222222222223,0.009523809523809523,0.018314000000827946
1,6,32.0,2.5763373374938965,0.007071499996527564,0.009902199999487493,2.505043903986613,0.010416666666666666,0.002577319587628866,0.0002147766323024055,0.0,32.0,"[32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[0],['ascending stairs'],0.0,ascending stairs,1.0,27.79818200162716,"[1, 0, 89, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1]","[0, 2, 4, 5, 8, 10, 11, 12]","['ascending stairs', 'descending stairs', 'jumping', 'lying down', 'running', 'sitting', 'standing', 'walking']",2.0,descending stairs,0.0,16.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": NaN, ""descending stairs"": 0.0, ""jogging"": NaN, ""jumping"": 0.0, ""lying down"": 1.0, ""picking up"": NaN, ""push-ups"": NaN, ""running"": 0.0, ""sit-ups"": NaN, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],96,2.5055744647979736,0.010416666666666666,0.002577319587628866,0.0002147766323024055,0.01795799999672454
1,8,32.0,2.571669101715088,0.006590299999515992,0.016421400003309827,2.4569785112067115,0.9113924050632911,0.11920529801324503,0.869142426020622,0.0,32.0,"[32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[0],['ascending stairs'],0.0,ascending stairs,1.0,27.79818200162716,"[1, 0, 1, 0, 1, 72, 0, 0, 1, 0, 1, 1, 1]","[0, 2, 4, 5, 8, 10, 11, 12]","['ascending stairs', 'descending stairs', 'jumping', 'lying down', 'running', 'sitting', 'standing', 'walking']",5.0,lying down,0.0,16.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": NaN, ""descending stairs"": 0.0, ""jogging"": NaN, ""jumping"": 0.0, ""lying down"": 1.0, ""picking up"": NaN, ""push-ups"": NaN, ""running"": 0.0, ""sit-ups"": NaN, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],79,2.4554214356820796,0.9113924050632911,0.11920529801324503,0.869142426020622,0.01597629999741912
1,9,32.0,2.548349380493164,0.0066356000024825335,0.02336250000371365,2.447588921756279,0.9804878048780488,0.1980295566502463,0.970827826504866,0.0,32.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0]",[11],['standing'],11.0,standing,1.0,27.79818200162716,"[0, 0, 0, 0, 1, 201, 0, 0, 1, 0, 1, 1, 0]","[4, 5, 8, 10, 11]","['jumping', 'lying down', 'running', 'sitting', 'standing']",5.0,lying down,0.0,16.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": NaN, ""cycling"": NaN, ""descending stairs"": NaN, ""jogging"": NaN, ""jumping"": 0.0, ""lying down"": 1.0, ""picking up"": NaN, ""push-ups"": NaN, ""running"": 0.0, ""sit-ups"": NaN, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": NaN}",0.0,[],[],205,2.4456195854559177,0.9804878048780488,0.1980295566502463,0.970827826504866,0.033172600000398234
1,10,32.0,2.5715932846069336,0.007334800000535324,0.023024200003419537,2.73148371545892,0.005263157894736842,0.0013089005235602095,5.511160099200882e-05,0.0,32.0,"[32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[0],['ascending stairs'],0.0,ascending stairs,1.0,27.79818200162716,"[1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 183, 1, 1]","[0, 2, 4, 5, 8, 10, 11, 12]","['ascending stairs', 'descending stairs', 'jumping', 'lying down', 'running', 'sitting', 'standing', 'walking']",10.0,sitting,0.0,16.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": NaN, ""descending stairs"": 0.0, ""jogging"": NaN, ""jumping"": 0.0, ""lying down"": 1.0, ""picking up"": NaN, ""push-ups"": NaN, ""running"": 0.0, ""sit-ups"": NaN, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],190,2.7295839359885767,0.005263157894736842,0.0013089005235602095,5.511160099200882e-05,0.031299499998567626
1,11,32.0,2.5736045837402344,0.008397199999308214,0.011933399997360539,2.5068253528240114,0.023255813953488372,0.006493506493506494,0.0010570824524312897,0.0,32.0,"[32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[0],['ascending stairs'],0.0,ascending stairs,1.0,27.79818200162716,"[1, 0, 37, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1]","[0, 2, 4, 5, 8, 11, 12]","['ascending stairs', 'descending stairs', 'jumping', 'lying down', 'running', 'standing', 'walking']",2.0,descending stairs,0.0,16.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": NaN, ""descending stairs"": 0.0, ""jogging"": NaN, ""jumping"": 0.0, ""lying down"": 1.0, ""picking up"": NaN, ""push-ups"": NaN, ""running"": 0.0, ""sit-ups"": NaN, ""sitting"": NaN, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],43,2.5070480745892194,0.023255813953488372,0.006493506493506494,0.0010570824524312897,0.021762100004707463
