round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,114,114,114,1.10843877884692,3615.0,0.11232618633532503,0.015077593997186068,1.090732576875725,0.3932704283444497,0.20624434812725567,0.3161188358868625,113.0,113.0,0.01646006902560295
2,114,114,114,1.0939303104402798,3526.0,0.012244881168599833,0.014441544525758472,1.0890074817637556,0.4036176985051132,0.21254553046040406,0.3295897346358791,113.0,113.0,0.016116492036344746
3,114,114,114,1.052452361915893,3481.0,0.012912570698844012,0.015849502096929334,1.0871147094205311,0.4349105074592164,0.23134240046587382,0.3628204903654565,113.0,113.0,0.014943062831195425
4,114,114,114,1.0118457436823913,3181.0,0.013327206098247477,0.01747643596311406,1.0853613841182932,0.4485938670845716,0.2435289625838828,0.37494793504442275,113.0,113.0,0.01381149469123766
5,114,114,114,1.004687599052007,2873.0,0.01172828475622236,0.016271877409303963,1.0834300851733805,0.44249282305735615,0.2403416826317918,0.36961342035563555,113.0,113.0,0.012623771680627158
6,114,114,114,0.9706532125314955,2534.0,0.010542055485563738,0.014143314523330758,1.0814210756016724,0.4280285415910967,0.23609578141210294,0.36159106635015703,113.0,113.0,0.012253150441895025
7,114,114,114,0.9935226492733581,2188.0,0.012777834689691348,0.019201386335619894,1.0799942502339441,0.4312634674049236,0.23619409514846626,0.36628348817408224,113.0,113.0,0.012792772566461812
8,114,114,114,0.8434575602394547,1686.0,0.011050995314382746,0.020941392823384756,1.0787162578944005,0.43466699965215755,0.24334431089962177,0.36796317608785606,113.0,113.0,0.012372378760328583
9,114,114,114,1.0137869941912863,1212.0,0.012246916829801446,0.02324509835074327,1.0774207281690416,0.43313606095364143,0.23704455152822396,0.3654083750411411,113.0,113.0,0.011287010619566216
10,114,114,114,1.0328059977826236,1129.0,0.010995623648399282,0.021507254738933026,1.0760580622385134,0.44284185164265194,0.24216365690696612,0.37679780670129426,113.0,113.0,0.013083598229300594
11,114,114,114,0.9247263756069987,983.0,0.011761877723223537,0.028352713020131634,1.074670772316011,0.44480779611072563,0.24339265553334452,0.3824239277321727,113.0,113.0,0.013689551326555438
12,114,114,114,0.9916029975301309,802.0,0.012048164340046158,0.027057997503544626,1.0732767869803157,0.45074856062316765,0.24715721219634382,0.3903452522715067,113.0,113.0,0.01340929911635709
13,114,114,114,0.9998642102058739,767.0,0.012130260235343719,0.029412418121976366,1.0717088942876334,0.4510539955153751,0.2483186493966253,0.3940042618615945,113.0,113.0,0.012546260176309944
14,114,114,114,1.0463780423869258,736.0,0.010699999998905696,0.0242632913027394,1.0700965342716244,0.4581081255763932,0.25356755717295393,0.4029473209465431,113.0,113.0,0.011492562831319721
15,114,114,114,1.0306745663933132,736.0,0.01233334782528286,0.027666491303218365,1.0683906310438769,0.4616244054949476,0.25885575128611,0.4078816746178621,113.0,113.0,0.012870364601593012
16,114,114,114,0.9955084152333712,681.0,0.011707363879144337,0.02777262290853104,1.0664226068715355,0.46411922909146835,0.2597466520835485,0.41242379260494977,113.0,113.0,0.012847616813975938
17,114,114,114,0.874780088276058,616.0,0.010964709900915071,0.033199721103891855,1.0648168403492237,0.46844317581934963,0.262377865545069,0.41841439417733634,113.0,113.0,0.008792400884233926
18,114,114,114,0.8975698329784252,540.0,0.008685937036406594,0.02682135777819591,1.062756239679314,0.47229359248163494,0.2676519337852595,0.4251232671347823,113.0,113.0,0.007229505309503344
19,114,114,114,0.9331398924191793,480.0,0.007594900001034451,0.01927893333292256,1.0601110322546528,0.4817180879372296,0.2663416699475424,0.4349720985791347,113.0,113.0,0.008137868141546326
20,114,114,114,0.9889716664950053,480.0,0.00831762000064676,0.024072579999725955,1.0580560244778918,0.4828310563408817,0.27063643735911375,0.4396408985128603,113.0,113.0,0.007959137167688871
21,114,114,114,1.0271512031555177,480.0,0.007848273334093391,0.02165671999876698,1.0563389838398125,0.48536954716387914,0.2686113090000072,0.44228821026646126,113.0,113.0,0.008479954866590431
22,114,114,114,1.0076698104540507,480.0,0.008010880000074393,0.023194326666998676,1.0544957566153106,0.4851170868863359,0.2649587936096974,0.4441537207825866,113.0,113.0,0.007507576106865149
23,114,114,114,0.9779369950294494,480.0,0.008805086668386745,0.025276286667212843,1.0511425860328747,0.49538571515445157,0.2744068327141391,0.45568707434793687,113.0,113.0,0.009661239823244051
24,114,114,114,0.9382107933362325,480.0,0.011236693335619444,0.03441625333410533,1.0475052093424644,0.4991862898104915,0.2775395017528026,0.4606153364600818,113.0,113.0,0.008370302653994074
25,114,114,114,0.9156030654907227,480.0,0.008462019999084684,0.021031933333142662,1.0436235055485927,0.4977491316421084,0.2766170722702608,0.4624715820396959,113.0,113.0,0.007396879645483774
26,114,114,114,0.900006170738528,471.0,0.0071343588124344725,0.02145327261114328,1.0386048404171748,0.5124226586196451,0.2819192399174304,0.4784681768837466,113.0,113.0,0.012023997345508644
27,114,114,114,0.9508291089363645,418.0,0.011281546412699224,0.03381110861393095,1.0352821963211176,0.5164751302179731,0.28568130554158483,0.4825436013749428,113.0,113.0,0.013055799999382486
28,114,114,114,0.9122609954613906,416.0,0.016717576921039905,0.04998452307504172,1.0306828009817084,0.5142713168769903,0.2842152831675298,0.48189101111341737,113.0,113.0,0.01691301504383894
29,114,114,114,0.8436858608172491,416.0,0.013999415384695077,0.042046938460911266,1.0250436410969896,0.5189316167349476,0.29013511079151194,0.4874577695995379,113.0,113.0,0.014488110619862936
30,114,114,114,0.8184493181182118,410.0,0.012906318536545036,0.04095823219707576,1.0207220939716206,0.5135288563237295,0.2929892832172536,0.4821110686543551,113.0,113.0,0.013587824779560592
31,114,114,114,0.7821936246727695,357.0,0.011335847338029583,0.038377928851276354,1.0140606557629157,0.5163438765103571,0.28479281293194175,0.48250350986471185,113.0,113.0,0.012983298229864403
32,114,114,114,0.9655599176883698,320.0,0.01300570000166772,0.045944159997452515,1.0119258079951423,0.5146375979500933,0.2805933572250563,0.48277927569769374,113.0,113.0,0.013080959291757802
33,114,114,114,0.9701190948486328,320.0,0.012617950001731515,0.04573753000149736,1.0091033600304185,0.5167816542824746,0.28064444296134256,0.483089292921896,113.0,113.0,0.011769998230893098
34,114,114,114,0.9099573850631714,320.0,0.010706889998982661,0.04154727999703027,1.0025598820020774,0.5211751578620459,0.28281621802363766,0.48680631047766615,113.0,113.0,0.012975510620343111
35,114,114,114,0.8561467051506042,320.0,0.012169959998573177,0.043670169997494665,0.9943395699592893,0.5276251168475796,0.28333480342392675,0.49278386053482076,113.0,113.0,0.01351931061934622
36,114,114,114,0.8865498781204224,320.0,0.01206755999737652,0.03646621999941999,0.9863492382498209,0.5276459234148387,0.28352326184269494,0.49357826896219226,113.0,113.0,0.013460872566071957
37,114,114,114,0.8261356985332161,302.0,0.012365747680108908,0.048071737743591095,0.9873099462665121,0.5227287494671957,0.2872836965340993,0.49029647027240525,113.0,113.0,0.013565692919526926
38,114,114,114,0.8790099687046475,288.0,0.011895022222435929,0.047246277773714006,0.9854227251911238,0.5158118049167368,0.27526008649518185,0.4833305265245397,113.0,113.0,0.015210517699391359
39,114,114,114,0.9391115771399604,288.0,0.014676588886585604,0.04785615555657488,0.985472344565023,0.523776157989862,0.28133255594012624,0.48824038442508844,113.0,113.0,0.013462511504628382
40,114,114,114,0.989077197180854,288.0,0.01307108888835905,0.04739046666590083,0.9849227196731152,0.5240268798037762,0.28112481452047194,0.48679243633848013,113.0,113.0,0.01362894690236019
41,114,114,114,0.8841486043400235,288.0,0.012063488888088614,0.04669576666492503,0.9809411535530967,0.5209254001809631,0.27465996058765163,0.48506895135458133,113.0,113.0,0.014578212388951859
42,114,114,114,0.7864897514153205,281.0,0.012293144843089096,0.05205348220399458,0.9799604004086947,0.5102709274699712,0.271374398079193,0.4748125000128753,113.0,113.0,0.011325946017049986
43,114,114,114,0.825688399374485,256.0,0.011968787497607991,0.04003736249978829,0.9808706930411334,0.5137559787605208,0.2691340983665656,0.47957910419802513,113.0,113.0,0.01133150619413988
44,114,114,114,0.820359043776989,256.0,0.009165587498500827,0.034813412497896934,0.9815537772957884,0.5100589768936592,0.27214045825464644,0.4795844843247138,113.0,113.0,0.009989907963905047
45,114,114,114,0.7790232550713324,248.0,0.008277293553786171,0.03595277419709976,0.9812318495115846,0.5127206588126717,0.27368644494584793,0.4801502614915543,113.0,113.0,0.009134961062536444
46,114,114,114,0.8912436451230731,224.0,0.010076157141676438,0.032446285715975264,0.979817457422805,0.5082390551936863,0.2739703802421996,0.4749002075889451,113.0,113.0,0.009682615045499287
47,114,114,114,0.8426915407180786,208.0,0.008864946154062636,0.036511084608859025,0.9756023162056533,0.5120697470867189,0.2799160186084391,0.4780626086098549,113.0,113.0,0.009132700000371396
48,114,114,114,0.8450372616449991,192.0,0.0112363333319081,0.031264983333433825,0.9756799380807543,0.5171796988984603,0.28336183743877785,0.48436192101030723,113.0,113.0,0.010261428318618987
49,114,114,114,0.8026299774646759,192.0,0.008886383334659817,0.03545576666995961,0.9777221222035622,0.5138567834771758,0.2845341086022431,0.48053290843591956,113.0,113.0,0.009123125663686511
50,114,114,114,0.7325923244158427,192.0,0.008209250001527835,0.028464516666038737,0.9751884584574143,0.5248934699500246,0.28883538013320026,0.49311046132932795,113.0,113.0,0.008161833628536144
51,114,114,114,0.7368804762760798,192.0,0.00725668333810366,0.027724816667614505,0.9770347336075562,0.5118487856746334,0.2784262674143507,0.4789031969274167,113.0,113.0,0.008792227434547642
52,114,114,114,0.6792919238408407,192.0,0.008171400001932247,0.03393614999610387,0.9841835494297543,0.5140094731379946,0.28070957624885573,0.4805008943210895,113.0,113.0,0.010728338052852459
53,114,114,114,0.5595492332212386,155.0,0.010795801286979939,0.041079881936011295,0.9950973335798929,0.5073414429644122,0.2802294991083291,0.47281238418703503,113.0,113.0,0.013702641592558837
54,114,114,114,0.6298011094331741,128.0,0.013896249995013932,0.06198325000150362,1.0277702755632756,0.5081982879166524,0.28211529263090523,0.4723795053011773,113.0,113.0,0.013824561946928517
55,114,114,114,0.6140688718375513,118.0,0.010313518649712994,0.0528953627084374,1.0334341025016398,0.499259547672725,0.27107143798920075,0.46076898305937697,113.0,113.0,0.015790211504523075
56,114,114,114,0.3368742254715932,79.0,0.006613907595260858,0.06628551518804647,1.0195537243529091,0.4894157443622731,0.2693247352489652,0.4543394602248943,113.0,113.0,0.016338895576227194
57,114,114,114,0.4152459502220154,32.0,0.013465500000165775,0.038318200007779524,1.0446495837415093,0.48817247924125495,0.27697555317228284,0.4538108686977773,113.0,113.0,0.0158879575226868
58,114,114,114,0.40184980630874634,32.0,0.012891599995782599,0.03897249999863561,1.066099007193491,0.49784516365830145,0.2790807683851181,0.46519866631044676,113.0,113.0,0.013224098229893087
59,114,114,114,0.38224518299102783,32.0,0.010793099994771183,0.04149160000088159,1.1111450041822968,0.4967153468120822,0.28865288714521503,0.46662143897948594,113.0,113.0,0.014342304424998821
60,114,114,114,0.5620689392089844,32.0,0.011615899988100864,0.044251699990127236,1.169730418662926,0.49800880105043227,0.2855354534449928,0.4629308582545474,113.0,113.0,0.013742892034645439
61,114,114,114,0.631331205368042,32.0,0.009191999997710809,0.03304310000385158,1.2969270983948087,0.49617906669644846,0.28492981952326524,0.45930271211863866,113.0,113.0,0.012730955751896094
62,114,114,114,0.4527552127838135,32.0,0.009707699995487928,0.027924699999857694,1.1846291439012804,0.5072563554238165,0.29392343327700376,0.4664993350778536,113.0,113.0,0.01376209823031955
63,114,114,114,0.35811978578567505,32.0,0.012689700000919402,0.04636979999486357,1.2089812462468468,0.5089001162460106,0.28713208410770513,0.4642264032980356,113.0,113.0,0.015094640707896931
64,114,114,114,0.3277148902416229,32.0,0.016761599996243604,0.06990580000274349,1.3340708891508206,0.5036918923721873,0.28412436202756797,0.4616337570164015,113.0,113.0,0.015588104425217603
65,114,114,114,0.5578569173812866,32.0,0.010812900000018999,0.0430832999991253,1.3443601994251004,0.5008077161026738,0.3008510426395309,0.4613150145635654,113.0,113.0,0.014198882301055735
66,114,114,114,0.30501800775527954,32.0,0.011379299990949221,0.04222250000748318,1.4541512991802252,0.5018462486626791,0.2930856182275913,0.46463895615782813,113.0,113.0,0.015413522122678165
67,114,114,114,0.0,14.0,0.0013329000066732988,0.03898650000337511,1.4541512991802252,0.5018462486626791,0.2930856182275914,0.4646389561578281,113.0,113.0,0.009820501769499326
