round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,114,114,114,1.128689791519777,3615.0,0.07415330022111996,0.013114493582930665,1.129622352774478,0.14954170728826682,0.08432309567747434,0.06944930960359105,113.0,113.0,0.01050213362869139
2,114,114,114,1.1329382968012833,3730.0,0.005131422332722079,0.009417655147087289,1.1283587633815948,0.14954170728826682,0.08432309567747434,0.06944930960359105,113.0,113.0,0.009276785840645053
3,114,114,114,1.129662571930545,3855.0,0.005146415980559038,0.009852951361324993,1.127622531302023,0.14954170728826688,0.08432309567747434,0.06944930960359105,113.0,113.0,0.008676103540192425
4,114,114,114,1.0715909118099451,3674.0,0.00563105933572931,0.01177053606369751,1.126959235986668,0.14954170728826685,0.08432309567747436,0.06944930960359108,113.0,113.0,0.009481633628179748
5,114,114,114,1.0987264116025874,3430.0,0.007959120670652034,0.01605894970825538,1.1265066127343533,0.14954170728826682,0.08432309567747436,0.06944930960359107,113.0,113.0,0.013659480531376465
6,114,114,114,1.0284965592594923,2998.0,0.008096223750313308,0.018159540559228204,1.1262554533563063,0.14954170728826682,0.08432309567747434,0.06944930960359105,113.0,113.0,0.015570558406813359
7,114,114,114,1.058681248564327,2827.0,0.00873703951182476,0.02027933233239921,1.1258512479962655,0.14954170728826685,0.08432309567747436,0.06944930960359107,113.0,113.0,0.014845570797524086
8,114,114,114,1.0137282867096737,2392.0,0.00807045334488711,0.02007753833511919,1.125016229333676,0.14954170728826685,0.08432309567747436,0.06944930960359105,113.0,113.0,0.014080907965070708
9,114,114,114,1.0039910671948529,1666.0,0.008085715005664537,0.022290257020721183,1.1243189914032625,0.14954170728826685,0.08432309567747436,0.06944930960359105,113.0,113.0,0.013735107964458999
10,114,114,114,1.0350821702156385,1553.0,0.008600842564590368,0.024273371666020904,1.1235660279546515,0.14954170728826682,0.08432309567747436,0.06944930960359107,113.0,113.0,0.014830429202890377
11,114,114,114,0.9910359612901174,1434.0,0.00835310906415792,0.027433208369094172,1.1228968596142734,0.14954170728826685,0.08432309567747436,0.06944930960359105,113.0,113.0,0.01499095132684673
12,114,114,114,1.0229648470770327,1101.0,0.008545272660560755,0.027816926158213275,1.1223598592255657,0.14954170728826685,0.08432309567747438,0.06944930960359104,113.0,113.0,0.014502666371903358
13,114,114,114,1.0349470571526942,1060.0,0.008325409906518751,0.028060512830649354,1.1219304343567138,0.14954170728826688,0.08432309567747436,0.06944930960359105,113.0,113.0,0.014037247787490364
14,114,114,114,1.0250629294795317,1047.0,0.0076484361987939255,0.02899580993399392,1.12157649724823,0.14954170728826685,0.08432309567747434,0.06944930960359108,113.0,113.0,0.013348211504831144
15,114,114,114,1.0263411834923148,1026.0,0.008123421734796321,0.029240177096788236,1.121225837132106,0.14958425323789246,0.08435173238064175,0.06953399238826075,113.0,113.0,0.01444403185875905
16,114,114,114,0.9730762033898214,985.0,0.008662040508041976,0.030390209340366896,1.120958749774347,0.14979698298602045,0.08449090279353112,0.06994542346494441,113.0,113.0,0.015059164602776157
17,114,114,114,0.943785377356875,891.0,0.008724158921548297,0.03350620965322968,1.1204342153730606,0.15149882097104428,0.08540799221357831,0.07264915004636714,113.0,113.0,0.014846935397064503
18,114,114,114,0.9975852993818429,780.0,0.008361411282590454,0.03647795884451345,1.118990624234556,0.15464161638769908,0.08658698636100344,0.07599202652084226,113.0,113.0,0.012878143362777176
19,114,114,114,0.9958159541315774,683.0,0.00832583762686236,0.03579911683662385,1.1169332542692278,0.15767399803541637,0.08805579379082713,0.07903067340937182,113.0,113.0,0.013140167256603965
