server_round,client_id,num_train_examples,train_loss,fit_duration_sec,local_eval_duration_sec,train_val_loss,train_val_accuracy,train_val_macro_f1,train_val_weighted_f1,chunk_start_idx,chunk_end_idx,chunk_class_counts,chunk_present_class_ids,chunk_present_class_names,chunk_majority_class_id,chunk_majority_class_name,num_present_classes_in_chunk,global_model_total_l2,val_class_counts,val_present_class_ids,val_present_class_names,val_majority_class_id,val_majority_class_name,replay_windows_used,replay_buffer_size_after_update,num_train_examples_actual,num_train_examples_with_replay,replay_missing_class_windows_used,replay_class_counts_used,replay_class_ids_used,replay_class_names_used,val_class_recall_per_class_named,num_absent_classes_restored,absent_class_ids_restored,absent_class_names_restored,num_val_examples,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,eval_duration_sec
1,0,32.0,0.9491598010063171,2.3696813999995356,0.060575399998924695,1.1083219560658988,0.014084507042253521,0.009259259259259259,0.00039123630672926443,0.0,32.0,"[0, 32, 0]",[1],['standing'],1.0,standing,1.0,30.310632510422554,"[209, 3, 1]","[0, 1, 2]","['sitting', 'standing', 'walking']",0.0,sitting,0.0,16.0,32.0,32.0,0.0,{},[],[],"{""sitting"": 0.0, ""standing"": 1.0, ""walking"": 0.0}",0.0,[],[],213,1.1081361865773447,0.014084507042253521,0.009259259259259259,0.00039123630672926443,0.011657900002319366
1,2,32.0,1.141007661819458,2.4052426000125706,0.05133439999190159,1.0315526723861694,0.7857142857142857,0.29333333333333333,0.6914285714285714,0.0,32.0,"[20, 10, 2]","[0, 1, 2]","['sitting', 'standing', 'walking']",0.0,sitting,3.0,30.310632510422554,"[1, 22, 5]","[0, 1, 2]","['sitting', 'standing', 'walking']",1.0,standing,0.0,28.0,32.0,32.0,0.0,{},[],[],"{""sitting"": 0.0, ""standing"": 1.0, ""walking"": 0.0}",0.0,[],[],28,1.0344802141189575,0.7857142857142857,0.29333333333333333,0.6914285714285714,0.0039874999929452315
1,3,32.0,1.0430467128753662,2.3851471999951173,0.0752853000012692,1.169029520806812,0.1738095238095238,0.09871534820824883,0.05147300299430117,0.0,32.0,"[3, 29, 0]","[0, 1]","['sitting', 'standing']",1.0,standing,2.0,30.310632510422554,"[4, 73, 343]","[0, 1, 2]","['sitting', 'standing', 'walking']",2.0,walking,0.0,19.0,32.0,32.0,0.0,{},[],[],"{""sitting"": 0.0, ""standing"": 1.0, ""walking"": 0.0}",0.0,[],[],420,1.1679036776224772,0.1738095238095238,0.09871534820824883,0.05147300299430117,0.020829500004765578
1,4,32.0,1.2101428508758545,2.3928672000038205,0.0779424999927869,1.087749821799142,0.17857142857142858,0.10101010101010101,0.05411255411255411,0.0,32.0,"[32, 0, 0]",[0],['sitting'],0.0,sitting,1.0,30.310632510422554,"[434, 95, 3]","[0, 1, 2]","['sitting', 'standing', 'walking']",0.0,sitting,0.0,16.0,32.0,32.0,0.0,{},[],[],"{""sitting"": 0.0, ""standing"": 1.0, ""walking"": 0.0}",0.0,[],[],532,1.0892475395274341,0.17857142857142858,0.10101010101010101,0.05411255411255411,0.02316509999218397
1,5,32.0,1.1652376651763916,0.004994500006432645,0.028896000003442168,1.0995620663307573,0.07990867579908675,0.04933051444679352,0.011825808257792968,0.0,32.0,"[19, 0, 13]","[0, 2]","['sitting', 'walking']",0.0,sitting,2.0,30.310632510422554,"[400, 35, 3]","[0, 1, 2]","['sitting', 'standing', 'walking']",0.0,sitting,0.0,29.0,32.0,32.0,0.0,{},[],[],"{""sitting"": 0.0, ""standing"": 1.0, ""walking"": 0.0}",0.0,[],[],438,1.1009228327502942,0.07990867579908675,0.04933051444679352,0.011825808257792968,0.02256259998830501
1,6,32.0,1.08596670627594,0.004535300002316944,0.02842170000076294,1.1130040942820734,0.03139013452914798,0.02028985507246377,0.0019107038409046598,0.0,32.0,"[1, 14, 17]","[0, 1, 2]","['sitting', 'standing', 'walking']",2.0,walking,3.0,30.310632510422554,"[413, 14, 19]","[0, 1, 2]","['sitting', 'standing', 'walking']",0.0,sitting,0.0,31.0,32.0,32.0,0.0,{},[],[],"{""sitting"": 0.0, ""standing"": 1.0, ""walking"": 0.0}",0.0,[],[],446,1.110123085334162,0.03139013452914798,0.02028985507246377,0.0019107038409046598,0.01993120000406634
1,7,32.0,0.9126977920532227,0.0046547000092687085,0.04631239999434911,1.1108871818657948,0.28475336322869954,0.14776032577079698,0.12622574914500817,0.0,32.0,"[0, 32, 0]",[1],['standing'],1.0,standing,1.0,30.310632510422554,"[160, 127, 159]","[0, 1, 2]","['sitting', 'standing', 'walking']",0.0,sitting,0.0,16.0,32.0,32.0,0.0,{},[],[],"{""sitting"": 0.0, ""standing"": 1.0, ""walking"": 0.0}",0.0,[],[],446,1.110605890440834,0.28475336322869954,0.14776032577079698,0.12622574914500817,0.01967200000945013
1,9,32.0,1.0246822834014893,0.006726199993863702,0.030990300001576543,1.1065759011677334,0.17142857142857143,0.09756097560975609,0.05017421602787456,0.0,32.0,"[4, 25, 3]","[0, 1, 2]","['sitting', 'standing', 'walking']",1.0,standing,3.0,30.310632510422554,"[275, 72, 73]","[0, 1, 2]","['sitting', 'standing', 'walking']",0.0,sitting,0.0,23.0,32.0,32.0,0.0,{},[],[],"{""sitting"": 0.0, ""standing"": 1.0, ""walking"": 0.0}",0.0,[],[],420,1.106289227803548,0.17142857142857143,0.09756097560975609,0.05017421602787456,0.021275399994920008
1,10,32.0,0.9997045993804932,0.0044347999937599525,0.03290950000518933,1.1665687696662492,0.09580838323353294,0.058287795992714025,0.016753378488923793,0.0,32.0,"[0, 31, 1]","[1, 2]","['standing', 'walking']",1.0,standing,2.0,30.310632510422554,"[67, 32, 235]","[0, 1, 2]","['sitting', 'standing', 'walking']",2.0,walking,0.0,17.0,32.0,32.0,0.0,{},[],[],"{""sitting"": 0.0, ""standing"": 1.0, ""walking"": 0.0}",0.0,[],[],334,1.1660790686121958,0.09580838323353294,0.058287795992714025,0.016753378488923793,0.01755460001004394
1,11,32.0,1.0693702697753906,0.003652899991720915,0.02569759999460075,1.1252531758899795,0.05027932960893855,0.031914893617021274,0.004813978366813265,0.0,32.0,"[0, 12, 20]","[1, 2]","['standing', 'walking']",2.0,walking,2.0,30.310632510422554,"[267, 18, 73]","[0, 1, 2]","['sitting', 'standing', 'walking']",0.0,sitting,0.0,28.0,32.0,32.0,0.0,{},[],[],"{""sitting"": 0.0, ""standing"": 1.0, ""walking"": 0.0}",0.0,[],[],358,1.123356272388437,0.05027932960893855,0.031914893617021274,0.004813978366813265,0.023121699996409006
