server_round,client_id,num_train_examples,train_loss,fit_duration_sec,local_eval_duration_sec,train_val_loss,train_val_accuracy,train_val_macro_f1,train_val_weighted_f1,chunk_start_idx,chunk_end_idx,chunk_class_counts,chunk_present_class_ids,chunk_present_class_names,chunk_majority_class_id,chunk_majority_class_name,num_present_classes_in_chunk,global_model_total_l2,val_class_counts,val_present_class_ids,val_present_class_names,val_majority_class_id,val_majority_class_name,replay_windows_used,replay_buffer_size_after_update,num_train_examples_actual,num_train_examples_with_replay,replay_missing_class_windows_used,replay_class_counts_used,replay_class_ids_used,replay_class_names_used,val_class_recall_per_class_named,num_absent_classes_restored,absent_class_ids_restored,absent_class_names_restored,num_val_examples,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,eval_duration_sec
1,0,32.0,2.1288130283355713,2.0355432000069413,0.05311720000463538,2.197010618267637,0.0,0.0,0.0,0.0,32.0,"[0, 0, 0, 0, 0, 0, 0, 32, 0]",[7],['standing'],7.0,standing,1.0,27.776343701788004,"[0, 64, 0, 0, 1, 0, 177, 1, 21]","[1, 4, 6, 7, 8]","['cycling', 'lying down', 'sitting', 'standing', 'walking']",6.0,sitting,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": NaN, ""cycling"": 0.0, ""descending stairs"": NaN, ""jogging"": NaN, ""lying down"": 0.0, ""running"": NaN, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],264,2.1957775751749673,0.0,0.0,0.0,0.021697800009860657
1,2,32.0,2.216193675994873,1.9090544000064256,0.042554700004984625,2.1928780232000786,0.0,0.0,0.0,0.0,32.0,"[1, 18, 0, 0, 0, 0, 0, 11, 2]","[0, 1, 7, 8]","['ascending stairs', 'cycling', 'standing', 'walking']",1.0,cycling,4.0,27.776343701788004,"[0, 169, 1, 0, 0, 0, 10, 22, 16]","[1, 2, 6, 7, 8]","['cycling', 'descending stairs', 'sitting', 'standing', 'walking']",1.0,cycling,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": NaN, ""cycling"": 0.0, ""descending stairs"": 0.0, ""jogging"": NaN, ""lying down"": NaN, ""running"": NaN, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],218,2.1928613382741946,0.0,0.0,0.0,0.025374999997438863
1,3,32.0,2.1368730068206787,2.025795299996389,0.06264820000797044,2.173091299393598,0.0,0.0,0.0,0.0,32.0,"[0, 0, 0, 0, 0, 0, 3, 29, 0]","[6, 7]","['sitting', 'standing']",7.0,standing,2.0,27.776343701788004,"[23, 0, 3, 0, 0, 0, 4, 72, 323]","[0, 2, 6, 7, 8]","['ascending stairs', 'descending stairs', 'sitting', 'standing', 'walking']",8.0,walking,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": NaN, ""descending stairs"": 0.0, ""jogging"": NaN, ""lying down"": NaN, ""running"": NaN, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],425,2.172499166937435,0.0,0.0,0.0,0.030373299989150837
1,4,32.0,2.304863929748535,1.9233690999972168,0.06489769999461714,2.1962257655209334,0.0,0.0,0.0,0.0,32.0,"[0, 0, 0, 0, 0, 0, 32, 0, 0]",[6],['sitting'],6.0,sitting,1.0,27.776343701788004,"[1, 0, 0, 0, 1, 1, 467, 94, 3]","[0, 4, 5, 6, 7, 8]","['ascending stairs', 'lying down', 'running', 'sitting', 'standing', 'walking']",6.0,sitting,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": NaN, ""descending stairs"": NaN, ""jogging"": NaN, ""lying down"": 0.0, ""running"": 0.0, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],567,2.1972074971207447,0.0,0.0,0.0,0.03524019999895245
1,5,32.0,2.3038926124572754,0.005344600009266287,0.041463300003670156,2.1957520961761476,0.0,0.0,0.0,0.0,32.0,"[2, 0, 0, 0, 0, 0, 17, 0, 13]","[0, 6, 8]","['ascending stairs', 'sitting', 'walking']",6.0,sitting,3.0,27.776343701788004,"[1, 1, 0, 0, 1, 1, 418, 35, 3]","[0, 1, 4, 5, 6, 7, 8]","['ascending stairs', 'cycling', 'lying down', 'running', 'sitting', 'standing', 'walking']",6.0,sitting,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": 0.0, ""descending stairs"": NaN, ""jogging"": NaN, ""lying down"": 0.0, ""running"": 0.0, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],460,2.198209743914397,0.0,0.0,0.0,0.02864469999622088
1,6,32.0,2.202646493911743,0.005380000002332963,0.035883600008673966,2.20391810720212,0.0,0.0,0.0,0.0,32.0,"[0, 0, 0, 0, 14, 0, 0, 13, 5]","[4, 7, 8]","['lying down', 'standing', 'walking']",4.0,lying down,3.0,27.776343701788004,"[3, 1, 0, 0, 23, 1, 383, 6, 11]","[0, 1, 4, 5, 6, 7, 8]","['ascending stairs', 'cycling', 'lying down', 'running', 'sitting', 'standing', 'walking']",6.0,sitting,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": 0.0, ""descending stairs"": NaN, ""jogging"": NaN, ""lying down"": 0.0, ""running"": 0.0, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],428,2.2030054185992087,0.0,0.0,0.0,0.0330991999944672
1,7,32.0,2.124861478805542,0.005831699992995709,0.03011720000358764,2.2245214369989212,0.0,0.0,0.0,0.0,32.0,"[0, 0, 0, 0, 0, 0, 0, 32, 0]",[7],['standing'],7.0,standing,1.0,27.776343701788004,"[1, 1, 1, 0, 215, 1, 1, 127, 149]","[0, 1, 2, 4, 5, 6, 7, 8]","['ascending stairs', 'cycling', 'descending stairs', 'lying down', 'running', 'sitting', 'standing', 'walking']",4.0,lying down,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": 0.0, ""descending stairs"": 0.0, ""jogging"": NaN, ""lying down"": 0.0, ""running"": 0.0, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],496,2.2246975129650486,0.0,0.0,0.0,0.0342670999962138
1,9,32.0,2.1764330863952637,0.007033500005491078,0.2195477000059327,2.2148951302403987,0.0,0.0,0.0,0.0,32.0,"[0, 0, 0, 0, 0, 0, 4, 25, 3]","[6, 7, 8]","['sitting', 'standing', 'walking']",7.0,standing,3.0,27.776343701788004,"[14, 1, 4, 0, 110, 17, 171, 71, 72]","[0, 1, 2, 4, 5, 6, 7, 8]","['ascending stairs', 'cycling', 'descending stairs', 'lying down', 'running', 'sitting', 'standing', 'walking']",6.0,sitting,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": 0.0, ""descending stairs"": 0.0, ""jogging"": NaN, ""lying down"": 0.0, ""running"": 0.0, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],460,2.214577171076899,0.0,0.0,0.0,0.0362918000028003
1,10,32.0,2.127336025238037,0.005001400000764988,0.033254100009799004,2.2098637391285725,0.0,0.0,0.0,0.0,32.0,"[0, 0, 0, 0, 0, 0, 0, 31, 1]","[7, 8]","['standing', 'walking']",7.0,standing,2.0,27.776343701788004,"[1, 1, 0, 0, 123, 31, 14, 29, 216]","[0, 1, 4, 5, 6, 7, 8]","['ascending stairs', 'cycling', 'lying down', 'running', 'sitting', 'standing', 'walking']",8.0,walking,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": 0.0, ""descending stairs"": NaN, ""jogging"": NaN, ""lying down"": 0.0, ""running"": 0.0, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],415,2.2092653487102094,0.0,0.0,0.0,0.029670700008864515
1,11,32.0,2.250579357147217,0.005829400004586205,0.02326349999930244,2.1911145247665105,0.0,0.0,0.0,0.0,32.0,"[0, 0, 0, 0, 0, 0, 0, 12, 20]","[7, 8]","['standing', 'walking']",8.0,walking,2.0,27.776343701788004,"[2, 1, 0, 0, 1, 15, 151, 17, 68]","[0, 1, 4, 5, 6, 7, 8]","['ascending stairs', 'cycling', 'lying down', 'running', 'sitting', 'standing', 'walking']",6.0,sitting,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": 0.0, ""descending stairs"": NaN, ""jogging"": NaN, ""lying down"": 0.0, ""running"": 0.0, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],255,2.1908714789970247,0.0,0.0,0.0,0.022030699998140335
1,12,32.0,2.2021303176879883,0.007084099997882731,0.022723499991116114,2.1964343643188475,0.0,0.0,0.0,0.0,32.0,"[0, 0, 0, 0, 0, 0, 16, 16, 0]","[6, 7]","['sitting', 'standing']",6.0,sitting,2.0,27.776343701788004,"[1, 1, 0, 0, 5, 1, 352, 23, 42]","[0, 1, 4, 5, 6, 7, 8]","['ascending stairs', 'cycling', 'lying down', 'running', 'sitting', 'standing', 'walking']",6.0,sitting,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": 0.0, ""descending stairs"": NaN, ""jogging"": NaN, ""lying down"": 0.0, ""running"": 0.0, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],425,2.196283203012803,0.0,0.0,0.0,0.026635200003511272
1,14,32.0,2.2901229858398438,0.00595679999969434,0.017247299998416565,2.200963073847245,0.0,0.0,0.0,0.0,32.0,"[0, 0, 0, 0, 0, 0, 29, 1, 2]","[6, 7, 8]","['sitting', 'standing', 'walking']",6.0,sitting,3.0,27.776343701788004,"[5, 0, 0, 0, 1, 123, 1, 6, 60]","[0, 4, 5, 6, 7, 8]","['ascending stairs', 'lying down', 'running', 'sitting', 'standing', 'walking']",5.0,running,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": NaN, ""descending stairs"": NaN, ""jogging"": NaN, ""lying down"": 0.0, ""running"": 0.0, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],196,2.2008235211275062,0.0,0.0,0.0,0.016362199996365234
1,15,32.0,2.2223403453826904,0.00556049999431707,0.022883699988597073,2.203103683349934,0.0,0.0,0.0,0.0,32.0,"[0, 0, 0, 0, 25, 0, 2, 3, 2]","[4, 6, 7, 8]","['lying down', 'sitting', 'standing', 'walking']",4.0,lying down,4.0,27.776343701788004,"[4, 0, 1, 0, 1, 156, 1, 11, 61]","[0, 2, 4, 5, 6, 7, 8]","['ascending stairs', 'descending stairs', 'lying down', 'running', 'sitting', 'standing', 'walking']",5.0,running,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": NaN, ""descending stairs"": 0.0, ""jogging"": NaN, ""lying down"": 0.0, ""running"": 0.0, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],235,2.2023628214572337,0.0,0.0,0.0,0.020346600009361282
1,16,32.0,2.306014060974121,0.006148200001916848,0.029786800005240366,2.2010815517575133,0.0,0.0,0.0,0.0,32.0,"[0, 0, 0, 0, 0, 0, 32, 0, 0]",[6],['sitting'],6.0,sitting,1.0,27.776343701788004,"[1, 155, 1, 0, 1, 117, 1, 6, 24]","[0, 1, 2, 4, 5, 6, 7, 8]","['ascending stairs', 'cycling', 'descending stairs', 'lying down', 'running', 'sitting', 'standing', 'walking']",1.0,cycling,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": 0.0, ""descending stairs"": 0.0, ""jogging"": NaN, ""lying down"": 0.0, ""running"": 0.0, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],306,2.2015771741181416,0.0,0.0,0.0,0.019740800009458326
1,17,32.0,2.227574586868286,0.004573099999106489,0.025332700010039844,2.1921613452998736,0.0,0.0,0.0,0.0,32.0,"[13, 0, 12, 0, 0, 0, 2, 0, 5]","[0, 2, 6, 8]","['ascending stairs', 'descending stairs', 'sitting', 'walking']",0.0,ascending stairs,4.0,27.776343701788004,"[18, 166, 17, 0, 0, 1, 5, 9, 46]","[0, 1, 2, 5, 6, 7, 8]","['ascending stairs', 'cycling', 'descending stairs', 'running', 'sitting', 'standing', 'walking']",1.0,cycling,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": 0.0, ""descending stairs"": 0.0, ""jogging"": NaN, ""lying down"": NaN, ""running"": 0.0, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],262,2.192376773775989,0.0,0.0,0.0,0.01955870000529103
1,19,32.0,2.2771401405334473,0.005553900002269074,0.019685300008859485,2.1675479074162762,0.0,0.0,0.0,0.0,32.0,"[0, 0, 0, 0, 10, 0, 18, 1, 3]","[4, 6, 7, 8]","['lying down', 'sitting', 'standing', 'walking']",6.0,sitting,4.0,27.776343701788004,"[1, 0, 1, 0, 1, 0, 1, 1, 249]","[0, 2, 4, 6, 7, 8]","['ascending stairs', 'descending stairs', 'lying down', 'sitting', 'standing', 'walking']",8.0,walking,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": NaN, ""descending stairs"": 0.0, ""jogging"": NaN, ""lying down"": 0.0, ""running"": NaN, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],254,2.167531452779695,0.0,0.0,0.0,0.02003349999722559
1,20,32.0,2.288449764251709,0.00438919999578502,0.02247939999506343,2.1693800412691555,0.0,0.0,0.0,0.0,32.0,"[0, 0, 0, 0, 7, 0, 25, 0, 0]","[4, 6]","['lying down', 'sitting']",6.0,sitting,2.0,27.776343701788004,"[0, 1, 1, 0, 1, 1, 1, 1, 254]","[1, 2, 4, 5, 6, 7, 8]","['cycling', 'descending stairs', 'lying down', 'running', 'sitting', 'standing', 'walking']",8.0,walking,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": NaN, ""cycling"": 0.0, ""descending stairs"": 0.0, ""jogging"": NaN, ""lying down"": 0.0, ""running"": 0.0, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],260,2.1693411900446966,0.0,0.0,0.0,0.015248199997586198
1,21,32.0,2.2624547481536865,0.005173500001546927,0.01787710000644438,2.1523128283225885,0.3644067796610169,0.13354037267080746,0.19465206863880408,0.0,32.0,"[0, 0, 0, 0, 0, 0, 0, 0, 32]",[8],['walking'],8.0,walking,1.0,27.776343701788004,"[12, 0, 12, 43, 0, 0, 0, 0, 51]","[0, 2, 3, 8]","['ascending stairs', 'descending stairs', 'jogging', 'walking']",8.0,walking,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": NaN, ""descending stairs"": 0.0, ""jogging"": 1.0, ""lying down"": NaN, ""running"": NaN, ""sitting"": NaN, ""standing"": NaN, ""walking"": 0.0}",0.0,[],[],118,2.152552661249193,0.3644067796610169,0.13354037267080746,0.19465206863880408,0.009951900006853975
1,22,32.0,2.2576303482055664,0.006128499997430481,0.020588600003975444,2.1549367833493362,0.35074626865671643,0.10386740331491713,0.1821555207388472,0.0,32.0,"[0, 0, 0, 0, 0, 0, 0, 0, 32]",[8],['walking'],8.0,walking,1.0,27.776343701788004,"[16, 0, 14, 47, 0, 0, 0, 6, 51]","[0, 2, 3, 7, 8]","['ascending stairs', 'descending stairs', 'jogging', 'standing', 'walking']",8.0,walking,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": NaN, ""descending stairs"": 0.0, ""jogging"": 1.0, ""lying down"": NaN, ""running"": NaN, ""sitting"": NaN, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],134,2.155367708917874,0.35074626865671643,0.10386740331491713,0.1821555207388472,0.010320200002752244
1,23,32.0,2.2669780254364014,0.0058169999974779785,0.014030499994987622,2.148727368500273,0.4152542372881356,0.1467065868263473,0.24368212727088195,0.0,32.0,"[0, 0, 0, 0, 0, 0, 0, 0, 32]",[8],['walking'],8.0,walking,1.0,27.776343701788004,"[15, 0, 8, 49, 0, 0, 0, 0, 46]","[0, 2, 3, 8]","['ascending stairs', 'descending stairs', 'jogging', 'walking']",3.0,jogging,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": NaN, ""descending stairs"": 0.0, ""jogging"": 1.0, ""lying down"": NaN, ""running"": NaN, ""sitting"": NaN, ""standing"": NaN, ""walking"": 0.0}",0.0,[],[],118,2.148834891238455,0.4152542372881356,0.1467065868263473,0.24368212727088195,0.012507799998275004
1,24,32.0,2.2716712951660156,0.005201299994951114,0.011039299992262386,2.149196429686113,0.2878787878787879,0.14901960784313725,0.128698752228164,0.0,32.0,"[0, 0, 0, 0, 0, 0, 0, 0, 32]",[8],['walking'],8.0,walking,1.0,27.776343701788004,"[0, 0, 0, 19, 0, 0, 6, 0, 41]","[3, 6, 8]","['jogging', 'sitting', 'walking']",8.0,walking,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": NaN, ""cycling"": NaN, ""descending stairs"": NaN, ""jogging"": 1.0, ""lying down"": NaN, ""running"": NaN, ""sitting"": 0.0, ""standing"": NaN, ""walking"": 0.0}",0.0,[],[],66,2.150013389009418,0.2878787878787879,0.14901960784313725,0.128698752228164,0.011533800003235228
