round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,114,114,114,2.242661292574047,3616.0,0.07481949822990062,0.016428650442208988,2.189498176664642,0.3533890976945593,0.13381978782165316,0.2285181422289521,113.0,113.0,0.01157862212394562
2,114,114,114,2.22033653950924,3585.0,0.005432961283119641,0.01111092253769501,2.1876769654090977,0.3499417560464308,0.13245037570347745,0.2261246558442991,113.0,113.0,0.011161343363629844
3,114,114,114,2.2199525133060476,3501.0,0.0056334319902251505,0.010653415996191701,2.1870776418468276,0.3424259601352366,0.1297025911037428,0.2254929571660426,113.0,113.0,0.01066570177023192
4,114,114,114,2.1992700224343347,3469.0,0.00553936154483145,0.012243069759818061,2.1875432309709306,0.3390890580020839,0.1266337272909454,0.23221927674516746,113.0,113.0,0.011604366371504946
5,114,114,114,2.234831052405812,3424.0,0.005560492522384597,0.011485407475592072,2.187953856470874,0.3422522259207274,0.1275238325980946,0.23416776446386037,113.0,113.0,0.014240616814421894
6,114,114,114,2.1821413304203143,3359.0,0.008294328133581925,0.017593879934216496,2.1885865358477163,0.35680354021721633,0.13258661298847174,0.23578236401405137,113.0,113.0,0.016831559291705944
7,114,114,114,2.132551426666782,3154.0,0.008760306846791917,0.020043592136763513,2.1893017278219737,0.3598930117595134,0.13497809480257605,0.23063945409371311,113.0,113.0,0.017523431858285823
8,114,114,114,2.1669356026132993,3019.0,0.008965959489035443,0.02063494286229972,2.1895785586566405,0.3603531231376332,0.13494320356251144,0.2308410948925703,113.0,113.0,0.019130816814784308
9,114,114,114,2.143007775781555,2884.0,0.008251548786037488,0.019296442476316088,2.189622678204852,0.36068528910579434,0.13533594090244316,0.23109236848164774,113.0,113.0,0.016118289381255337
10,114,114,114,2.1305337077327096,2744.0,0.007728949636965073,0.018339506923624942,2.189468465251867,0.36074065010048795,0.1353117378073106,0.23116310300722687,113.0,113.0,0.01826271592921153
11,114,114,114,2.1188264425982717,2443.0,0.008550648998158753,0.021769885427143247,2.189297346084866,0.3607066133407874,0.13470774841235683,0.2311597481345132,113.0,113.0,0.018216762831589142
12,114,114,114,2.0117050012669337,2218.0,0.008401732417450196,0.0228818095128378,2.1888432001049614,0.3605770694501054,0.12801127848557173,0.2342674925678027,113.0,113.0,0.01816567433603928
13,114,114,114,2.068034692196952,1839.0,0.007913682654298955,0.023604478357521063,2.1881657242251205,0.3603900957956635,0.12820589298438725,0.23866045284453466,113.0,113.0,0.016740666371816565
14,114,114,114,2.063342436099249,1577.0,0.007956185607209263,0.023696791438823823,2.1873762095492157,0.35987982000073926,0.12601370913156398,0.24060093483730366,113.0,113.0,0.01814372831890133
15,114,114,114,2.10358803045182,1344.0,0.008369292262235225,0.027775559375500268,2.18652720776526,0.3591518847034821,0.12613162176690165,0.24193697423108326,113.0,113.0,0.01789308053083858
16,114,114,114,2.1307771782469906,1224.0,0.008789722875543008,0.028236114541690695,2.1856737964431554,0.35724821745960994,0.12455330043711509,0.24140819727876156,113.0,113.0,0.01816878318518763
17,114,114,114,1.9932288189616805,1062.0,0.008289994349935147,0.0317828260832715,2.1848762969577944,0.35571897924526663,0.12592085052201135,0.24084279240460366,113.0,113.0,0.01644192743336625
18,114,114,114,2.1536785758025823,911.0,0.007967072886680115,0.026409949835258358,2.1837404716988935,0.35421031755285465,0.12650537818290464,0.23884547530575512,113.0,113.0,0.01633676637231426
19,114,114,114,2.1352969546390725,853.0,0.008990211723121085,0.03447786107755761,2.1828918579862364,0.35205134641193525,0.12469392908915262,0.2367826851804186,113.0,113.0,0.02049337345110026
20,114,114,114,2.1873561043051346,804.0,0.008997061693318657,0.03609136218944708,2.1816270193734444,0.35105531186569344,0.12768605432710095,0.23216970930631328,113.0,113.0,0.02007341592928572
21,114,114,114,2.120038012189877,797.0,0.00833976637264068,0.03589402258585597,2.1805089548043304,0.34967774329378914,0.12676831302429184,0.22841955993558732,113.0,113.0,0.01870775044240486
