round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,114,114,114,2.2056082919635602,3616.0,0.09479085575254527,0.02129109734574032,2.2045426909376116,0.07839989732747521,0.023789489044978136,0.04477708690009615,113.0,113.0,0.012750592035348568
2,114,114,114,2.167418807919554,3585.0,0.008932830376115905,0.012969456457607954,2.2038103951037513,0.07456607297492093,0.02303400866607814,0.04449016446953006,113.0,113.0,0.012819923007957621
3,114,114,114,2.1692207824567564,3501.0,0.014705508512315477,0.019113661868613647,2.2028213753030355,0.07929692667332626,0.02294309288291875,0.04843444928291424,113.0,113.0,0.018663978760838466
4,114,114,114,2.1468008717118785,3469.0,0.014142327386720336,0.019462333438685198,2.2011908514717433,0.08430310192074336,0.02691558763339667,0.05308869496435276,113.0,113.0,0.017000400884807382
5,114,114,114,2.1699291779616168,3424.0,0.014030052336867438,0.019876011215758545,2.1993115066748574,0.09393702195273161,0.02950096589861783,0.06092642500205583,113.0,113.0,0.0165443610623005
6,114,114,114,2.1194373264522843,3359.0,0.014494181601351259,0.0203491807381238,2.197150530241797,0.09766597390337954,0.031396361117114586,0.06399855891613637,113.0,113.0,0.019140119468885993
7,114,114,114,2.067751794354252,3154.0,0.014881250000243837,0.02195323792025593,2.194887668412317,0.11892632239790189,0.03992161791310374,0.08197559504038852,113.0,113.0,0.01712259469013991
8,114,114,114,2.098778208188957,3019.0,0.015399488903906662,0.02290332295443926,2.192355957403456,0.13797862654748214,0.04779981307762365,0.09617186922683357,113.0,113.0,0.02149967787569941
9,114,114,114,2.081881093251391,2884.0,0.014890030374546526,0.022810493653949396,2.18961940884378,0.14678134173554813,0.05086378946075313,0.1016363068705277,113.0,113.0,0.018895795574747604
10,114,114,114,2.0568495992321316,2744.0,0.015182775546636761,0.022476797266822345,2.1869334827192892,0.1549890508920036,0.054117335488054336,0.10731853443709789,113.0,113.0,0.018576258406881655
11,114,114,114,2.0370363929551787,2443.0,0.013357259025214457,0.02244571453069425,2.184463548280261,0.1714396410962174,0.05893254724355131,0.12287128373004123,113.0,113.0,0.016707114158280655
12,114,114,114,1.9284115302014502,2218.0,0.014518171821426082,0.02489576312019373,2.182062113772152,0.17990320409398358,0.06254328189417059,0.12645822091902123,113.0,113.0,0.017765899999602902
13,114,114,114,2.0065836883096866,1839.0,0.01511342767755503,0.027214345079408304,2.1796320636990694,0.18721344681956317,0.06699208496205063,0.13319270700263725,113.0,113.0,0.018278274336928683
14,114,114,114,1.9947064532157206,1577.0,0.014902789980067105,0.027456415851569684,2.1774099390999546,0.1897445885320259,0.06904156679449426,0.13461642138489413,113.0,113.0,0.019702900000961202
15,114,114,114,2.00363780770983,1344.0,0.01366905513425211,0.030175955877417608,2.1748256257549774,0.1925949960903225,0.07021891492268009,0.13698237884369707,113.0,113.0,0.01886826017778779
