round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,114,114,114,2.219125118930783,3616.0,0.07574599469041934,0.017525284071901064,2.1890954054983887,0.36878726815883434,0.13646307347771375,0.23736069809202268,113.0,113.0,0.012333343362340918
2,114,114,114,2.1842317926361905,3861.0,0.005340704687745638,0.012294085728726194,2.1896714845341885,0.36834479028272815,0.13640435902234369,0.23723405604526515,113.0,113.0,0.011128476991645778
3,114,114,114,2.189640461894159,4018.0,0.0051370563214053035,0.01201648593810497,2.1905345544659616,0.3679363491663224,0.13636559139033202,0.23698215567880362,113.0,113.0,0.010537999115118848
4,114,114,114,2.226742022615305,4279.0,0.005539695583732667,0.013072099439245541,2.190914633846628,0.36176585370592407,0.13559782843622648,0.23275126242480682,113.0,113.0,0.011209878760938062
5,114,114,114,2.230136446100398,4408.0,0.007808024591533546,0.01785558046863042,2.1912133121957065,0.3570284088293155,0.13458658496489592,0.2301364970726061,113.0,113.0,0.017085144248125513
6,114,114,114,2.194926014458485,4359.0,0.008147175085544864,0.018259009382523717,2.191050441913342,0.35158594341761784,0.13385084207464318,0.2272327391429618,113.0,113.0,0.019256000000230384
7,114,114,114,2.1276950601779805,4333.0,0.009484879113862059,0.024107605147078177,2.1911778264050525,0.3435437056425469,0.12506365253439514,0.23441838742514878,113.0,113.0,0.020233590266202674
8,114,114,114,2.1934345305566265,4071.0,0.008496193417315626,0.02036482149482188,2.1916185503035,0.2366752690439882,0.09252109744315741,0.19503782942854386,113.0,113.0,0.017147092919526787
9,114,114,114,2.1510325789244895,4037.0,0.008323211221546115,0.01962820862029867,2.191893516445717,0.054325945641320796,0.02080187958853471,0.04319547322191627,113.0,113.0,0.018068215045078648
10,114,114,114,2.1454502568485156,3831.0,0.00858186460474339,0.021180530254042422,2.191964463533314,0.03553228903568064,0.012286843317930826,0.027595436328094154,113.0,113.0,0.018873469026700545
11,114,114,114,2.0561573984628265,3592.0,0.007529092372626924,0.02058195150313424,2.192134133907987,0.02792619845430235,0.006022475940291471,0.020862379685228555,113.0,113.0,0.016387462831798743
12,114,114,114,2.1237319844330362,3241.0,0.00782292437691107,0.020368212217216696,2.192362005406118,0.07930736057672201,0.021501241689851062,0.05522467386759149,113.0,113.0,0.01807348318583439
13,114,114,114,2.043138938209399,2722.0,0.008275911132300811,0.023127649412652305,2.192275966594854,0.08056105187076056,0.021086076839471987,0.0547154687458485,113.0,113.0,0.01884795398249464
14,114,114,114,2.033265231620698,2352.0,0.008242237755488916,0.026148055356810997,2.1918259547199583,0.08144962002999412,0.021058828362168717,0.055403240484798666,113.0,113.0,0.018412157522300177
15,114,114,114,2.0514796204435495,1995.0,0.00808848797072765,0.024737624912883067,2.191242063445025,0.0821384958576199,0.02133317111629054,0.056141652991418406,113.0,113.0,0.01590117964694231
16,114,114,114,2.0554451634891766,1814.0,0.007461801709860033,0.025350238312598108,2.1903129745069987,0.0832552286238741,0.02192040819721004,0.0577967001233888,113.0,113.0,0.016547126548320457
17,114,114,114,1.9757201601739536,1604.0,0.008327689713277643,0.029388872255539832,2.188944903666339,0.08472703606738645,0.022670670883790295,0.05984240946373421,113.0,113.0,0.018429476991723356
18,114,114,114,2.0145816025910555,1350.0,0.008265553406672552,0.03489514755481785,2.1870664636770325,0.08777592723795259,0.024110235271116644,0.06335965117961792,113.0,113.0,0.018128574336466866
19,114,114,114,1.9908013057634408,1283.0,0.008179528371080961,0.03240338830899869,2.1846858593125216,0.09097222524046462,0.025283528464848545,0.06743065146773586,113.0,113.0,0.01721776106144483
20,114,114,114,2.036843084687946,1190.0,0.007506459832466364,0.028479626723819516,2.1817667653955093,0.09367083836558986,0.026731413937342022,0.07116896874304209,113.0,113.0,0.016311246902394456
21,114,114,114,2.0677263353847795,1152.0,0.007861877688305362,0.03068360989521403,2.178363920335603,0.09659604109062672,0.02890982313204332,0.0755273635891565,113.0,113.0,0.017948698229903345
