round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,6,6,6,2.0800647338231406,192.0,3.681532133331833,0.1465008500041828,2.0872177799718106,0.06846505739489685,0.013643976048475198,0.027778306401992095,6.0,6.0,0.11510366667062044
2,6,6,6,2.052504539489746,192.0,0.014521883334964514,0.049786133337571904,2.0860323729793055,0.06846505739489685,0.013643976048475198,0.027778306401992095,6.0,6.0,0.052015783333141975
3,6,6,6,2.026244878768921,192.0,0.012677383342330964,0.03433936667473366,2.0852074763728603,0.06846505739489685,0.013643976048475198,0.027778306401992095,6.0,6.0,0.10192198333485673
4,6,6,6,2.0076473156611123,192.0,0.030171616657753475,0.06465785000182223,2.084885127790835,0.06846505739489685,0.013643976048475198,0.027778306401992095,6.0,6.0,0.037639783331542276
5,6,6,6,2.014125483376639,224.0,0.014944421433028765,0.03690634999241281,2.0848390005586004,0.06846505739489685,0.013643976048475198,0.027778306401992095,6.0,6.0,0.038686183329749234
6,6,6,6,2.0070127222961163,231.0,0.01470068008202991,0.037249389615563025,2.085008105026183,0.06846505739489685,0.013643976048475203,0.027778306401992095,6.0,6.0,0.17431986666148683
7,6,6,6,2.0154349327087404,240.0,0.04572749999933876,0.09835166667083589,2.085104388877076,0.06846505739489685,0.0136439760484752,0.027778306401992095,6.0,6.0,0.035062566666359395
8,6,6,6,1.9994896979835945,246.0,0.011838227234794038,0.027963501227924,2.085271890435807,0.06846505739489685,0.013643976048475198,0.027778306401992095,6.0,6.0,0.03417623333613543
9,6,6,6,1.9693445467481425,255.0,0.013807420390224376,0.036910836461945165,2.0854016366136294,0.06846505739489685,0.013643976048475198,0.027778306401992095,6.0,6.0,0.033929283328082725
10,6,6,6,1.9851810230928308,255.0,0.02359107254123242,0.1320187564697299,2.0856612887613415,0.06846505739489685,0.013643976048475203,0.027778306401992095,6.0,6.0,0.036541749999742024
11,6,6,6,1.989512875676155,256.0,0.014557556245563319,0.0305676624939224,2.0856771134095466,0.06846505739489685,0.013643976048475198,0.027778306401992095,6.0,6.0,0.0355302333337022
12,6,6,6,1.98945818344752,288.0,0.01154139999319644,0.03304698333280006,2.08556425232678,0.06846505739489685,0.013643976048475198,0.027778306401992095,6.0,6.0,0.14297395000176039
13,6,6,6,1.9950522581736247,288.0,0.014437966674449854,0.036883900000248104,2.0852677702529427,0.06846505739489685,0.0136439760484752,0.027778306401992095,6.0,6.0,0.21654776667128317
14,6,6,6,2.0250813364982605,288.0,0.016800850004074164,0.03591453333501704,2.0846742827061226,0.06846505739489685,0.013643976048475198,0.027778306401992095,6.0,6.0,0.2133641333299844
15,6,6,6,2.0387301047643027,288.0,0.01359976666572038,0.03229311667382717,2.083992668329847,0.06846505739489685,0.013643976048475198,0.027778306401992095,6.0,6.0,0.20672779999828586
16,6,6,6,2.0440103973041883,275.0,0.016063582902054556,0.03878321600347673,2.0836631866213824,0.06846505739489685,0.013643976048475203,0.027778306401992095,6.0,6.0,0.12147293332479119
17,6,6,6,1.997728157043457,240.0,0.017390659998636693,0.03764002000098117,2.0834252368084214,0.06846505739489685,0.013643976048475198,0.027778306401992095,6.0,6.0,0.20035384999937378
18,6,6,6,1.9711279273033142,224.0,0.01614754999588643,0.037034300002103136,2.082593609104142,0.06846505739489685,0.013643976048475198,0.027778306401992095,6.0,6.0,0.17873388333343124
19,6,6,6,1.9881168618986877,237.0,0.013910824061987355,0.03723415696169721,2.081733361494401,0.06846505739489685,0.0136439760484752,0.027778306401992095,6.0,6.0,0.17438663333693208
20,6,6,6,2.063780304751819,237.0,0.014670192410276402,0.03233419492165853,2.0804172126784364,0.06846505739489685,0.013643976048475203,0.027778306401992095,6.0,6.0,0.18635271667153575
21,6,6,6,1.9081850777501645,207.0,0.013887821740565309,0.03326823913021539,2.079599140548526,0.06846505739489685,0.013643976048475198,0.027778306401992095,6.0,6.0,0.03367823332761569
22,6,6,6,2.0638680533757285,189.0,0.01529654922030334,0.036527247626855525,2.077923667109145,0.06846505739489685,0.013643976048475198,0.027778306401992095,6.0,6.0,0.06311438333068509
23,6,6,6,2.0584056226034013,189.0,0.28848131745961303,0.04289487935787451,2.076536632110246,0.06846505739489685,0.013643976048475198,0.027778306401992095,6.0,6.0,0.032332666664539524
24,6,6,6,2.0989202857017517,192.0,0.012154124997323379,0.036645774998760317,2.0751628206168786,0.06846505739489685,0.013643976048475198,0.027778306401992095,6.0,6.0,0.057494816666197344
25,6,6,6,2.136865258216858,192.0,0.26758752499881666,0.04259192499011988,2.073057852072788,0.06846505739489685,0.013643976048475198,0.027778306401992095,6.0,6.0,0.02911554999203266
26,6,6,6,2.1265639066696167,192.0,0.015359000004536938,0.04193149999628076,2.071313807839959,0.07126617784307611,0.017618115139139714,0.03284739618479787,6.0,6.0,0.03187888332953056
27,6,6,6,2.1221797466278076,192.0,0.014756225005839951,0.03487279999535531,2.0696847672638756,0.07816040840351736,0.024160767243815967,0.043106015960228734,6.0,6.0,0.033158466661310136
28,6,6,6,2.1058900952339172,192.0,0.1549428749931394,0.044734400005836505,2.0674686251044547,0.08731290661210311,0.028198795664854632,0.058917518873195664,6.0,6.0,0.13009358333268514
29,6,6,6,2.0921810269355774,192.0,0.015922124992357567,0.03621807500894647,2.0649812687555826,0.08472892728393773,0.027320059112337595,0.054421972242840934,6.0,6.0,0.13164310000623422
30,6,6,6,2.1002033948898315,192.0,0.016868425002030563,0.04256562500086147,2.0613762618155165,0.09730676566604611,0.033988061738103696,0.07267975180572846,6.0,6.0,0.03390210000119017
31,6,6,6,1.822351384607161,161.0,0.013235369565794013,0.0411897397544799,2.0585992038492127,0.09668254594070276,0.03299598568374237,0.07135382797147434,6.0,6.0,0.031970433323294856
32,6,6,6,2.0176135301589966,128.0,0.015917487493425142,0.03430718748859363,2.0555149823986385,0.09808310616479242,0.03390942248772013,0.07251636559492343,6.0,6.0,0.033337916674402855
