round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,6,6,6,2.25386635462443,192.0,2.7527373333335468,0.20855265000621634,2.0476871022818575,0.25000524045119127,0.050727808335019164,0.10850953230314575,6.0,6.0,0.034419033331990555
2,6,6,6,2.2304848035176597,192.0,0.04842294999980368,0.03347124999951726,2.0477575490892606,0.25000524045119127,0.050727808335019164,0.10850953230314575,6.0,6.0,0.059037566674912036
3,6,6,6,2.210565368334452,192.0,0.10145041667177186,0.02471629998763092,2.047459853804936,0.2525892197793566,0.05180408433545427,0.11372238790870444,6.0,6.0,0.05804291666330149
4,6,6,6,2.2242661714553833,192.0,0.008764716675311016,0.024748116673436016,2.0473741728956267,0.2525892197793566,0.05180408433545427,0.11372238790870444,6.0,6.0,0.02236886665923521
5,6,6,6,2.1704888343811035,224.0,0.007015357139087948,0.01791924285186854,2.0474162971599825,0.25388120944343934,0.05232605640601201,0.116242419525032,6.0,6.0,0.021385366659766685
6,6,6,6,2.1262114739521243,231.0,0.006896445023206373,0.018713237227518234,2.0477548163970094,0.25584796294018053,0.07394870258294411,0.12132267627417838,6.0,6.0,0.018235500004569378
7,6,6,6,2.1413422584533692,240.0,0.16918639332676927,0.025084933335892855,2.047991588737078,0.25517319910752195,0.06689655839487758,0.12087799519587444,6.0,6.0,0.019993066666453767
8,6,6,6,2.172690222902996,246.0,0.005979800814638724,0.01827680773058683,2.0482467937121314,0.2590491680997701,0.06832994305616076,0.12774092942736032,6.0,6.0,0.018323166664534558
9,6,6,6,2.1513086749058146,255.0,0.005672178028023564,0.017856145886403014,2.048700709098615,0.2629251370920181,0.06968858539217626,0.13419782866969057,6.0,6.0,0.020775583335004438
10,6,6,6,2.135676509258794,255.0,0.006082149408072891,0.01706718862405978,2.0492402345498157,0.26881889213977994,0.06996088393623094,0.14470876811733427,6.0,6.0,0.021126883337274194
11,6,6,6,2.0958919376134872,256.0,0.006142356247437419,0.015791293744769064,2.0493548994324637,0.2725712524039499,0.07448078896802092,0.15389742791852337,6.0,6.0,0.2048823833320057
12,6,6,6,2.0608957807223,288.0,0.006253083338378929,0.017901883334464703,2.0492278385880374,0.2739142746268051,0.07196184378324134,0.1574743316359856,6.0,6.0,0.02058913334136984
13,6,6,6,2.062722603480021,288.0,0.006188583342009224,0.01721026666443019,2.0496998297913698,0.27216650000924975,0.07103938393339769,0.1627728276775572,6.0,6.0,0.01811101666438238
14,6,6,6,2.1041245460510254,288.0,0.007437233337744449,0.020894866669550538,2.0499938669875406,0.27512883588521664,0.07051245411460164,0.17394649999844858,6.0,6.0,0.020209849991564017
15,6,6,6,2.1027210553487143,288.0,0.006790049994985263,0.020679083337502863,2.0503452389883283,0.26850532817890493,0.07276755074666166,0.1800144718075323,6.0,6.0,0.020758616665261798
16,6,6,6,2.1038886989246715,275.0,0.059233743629778145,0.079263053819516,2.0511033436004493,0.27250636876815304,0.07655074742209851,0.18835416285711912,6.0,6.0,0.020830233333981596
17,6,6,6,2.1141114234924316,240.0,0.0076106599997729065,0.02226983999717049,2.052088977242317,0.280822436815965,0.07673926611627542,0.19030030052363844,6.0,6.0,0.021484166665080313
18,6,6,6,2.075112666402544,224.0,0.007745214282684694,0.02300445714666109,2.0529739091240438,0.2821800087554341,0.07539756132415609,0.19162941087678478,6.0,6.0,0.02106193333262733
19,6,6,6,2.0869722607769545,237.0,0.0058291303727015424,0.017948056968692335,2.0540877936918016,0.2743142681134157,0.07631017452962786,0.19175919680286083,6.0,6.0,0.020652550010709092
20,6,6,6,2.0865410309803636,237.0,0.00682256835117889,0.021991249366185947,2.0546454448158133,0.2783655489115974,0.08067129486335713,0.19829275234084565,6.0,6.0,0.15297216666901173
21,6,6,6,1.9598159997359565,207.0,0.005296007253860623,0.01788295796891823,2.0560746853349223,0.2795639711180644,0.08098594604702421,0.2000566818047084,6.0,6.0,0.020493049994305085
22,6,6,6,2.125526609874907,189.0,0.007867753967210385,0.021802223817397295,2.05620727266769,0.25333449811755887,0.07853602492539413,0.19463478366840078,6.0,6.0,0.01982268334541004
23,6,6,6,2.1160307157607305,189.0,0.006803968255611373,0.026806328579181037,2.0567434728637344,0.23594105385985134,0.07325664580957054,0.1874533201026404,6.0,6.0,0.022498016667668708
24,6,6,6,2.1391488909721375,192.0,0.00765467499877559,0.02325734999612905,2.0575130774615467,0.2323240393058341,0.0724774997991323,0.18668812198814244,6.0,6.0,0.08247991667788786
25,6,6,6,2.1312279105186462,192.0,0.006310324999503791,0.02436259999376489,2.058875444539516,0.21404613488970084,0.06602295594106594,0.1710266945848752,6.0,6.0,0.022086366666674923
26,6,6,6,2.0774530172348022,192.0,0.006965600005059969,0.02167725000617793,2.0596365593949773,0.21350600783647353,0.06698816791326027,0.1735843939526882,6.0,6.0,0.020648916659411043
27,6,6,6,2.050103545188904,192.0,0.006763475001207553,0.02374219999910565,2.059394726601647,0.21133482269171053,0.0694725948131551,0.17569518730805536,6.0,6.0,0.021483249996284332
28,6,6,6,2.0212698578834534,192.0,0.007931800006190315,0.02153922499564942,2.0595439675552623,0.2053342613657955,0.06686697514866004,0.17053890960493803,6.0,6.0,0.018079966665633645
29,6,6,6,2.0942997336387634,192.0,0.11164862501027528,0.024104174997773953,2.059738780738931,0.19540718445486735,0.06290899497105755,0.15932867784211224,6.0,6.0,0.019136766670271754
30,6,6,6,2.091387450695038,192.0,0.008125825006572995,0.02656159999605734,2.060393958090605,0.1897091028793544,0.061018026879817305,0.1574550556241071,6.0,6.0,0.019154200000533212
31,6,6,6,1.8932043513896302,161.0,0.006073900608538204,0.02298058012355067,2.0600016667731587,0.18349734394711195,0.05823655063612377,0.1494105820490568,6.0,6.0,0.018156733325061698
32,6,6,6,2.091876119375229,128.0,0.009285449999879347,0.020404562495969003,2.058242079679932,0.1958637567872793,0.0674655557714726,0.1668381754963173,6.0,6.0,0.019504550005270477
33,6,6,6,2.107294797897339,90.0,0.0060947266640141605,0.013959960006953527,2.0565288813091174,0.19571665561373877,0.06733630310874365,0.16879939518370826,6.0,6.0,0.017883583340638626
34,6,6,6,2.127453565597534,46.0,0.006347799993818626,0.010379199986346066,2.059081180108544,0.2191041582403492,0.07832502389682507,0.19201254476164362,6.0,6.0,0.2047383499884745
