server_round,client_id,num_train_examples,train_loss,fit_duration_sec,local_eval_duration_sec,train_val_loss,train_val_accuracy,train_val_macro_f1,train_val_weighted_f1,chunk_start_idx,chunk_end_idx,chunk_class_counts,chunk_present_class_ids,chunk_present_class_names,chunk_majority_class_id,chunk_majority_class_name,num_present_classes_in_chunk,global_model_total_l2,val_class_counts,val_present_class_ids,val_present_class_names,val_majority_class_id,val_majority_class_name,replay_windows_used,replay_buffer_size_after_update,num_train_examples_actual,num_train_examples_with_replay,replay_missing_class_windows_used,replay_class_counts_used,replay_class_ids_used,replay_class_names_used,val_class_recall_per_class_named,num_absent_classes_restored,absent_class_ids_restored,absent_class_names_restored,num_val_examples,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,eval_duration_sec
1,0,32.0,2.0071394443511963,2.041566799998691,0.0562253000025521,2.1347437699635825,0.003787878787878788,0.0015094339622641509,2.858776443682104e-05,0.0,32.0,"[0, 0, 0, 0, 0, 0, 32, 0]",[6],['standing'],6.0,standing,1.0,27.343949793813476,"[0, 64, 0, 1, 0, 177, 1, 21]","[1, 3, 5, 6, 7]","['cycling', 'lying down', 'sitting', 'standing', 'walking']",5.0,sitting,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": NaN, ""cycling"": 0.0, ""descending stairs"": NaN, ""lying down"": 1.0, ""running"": NaN, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],264,2.135065591696537,0.003787878787878788,0.0015094339622641509,2.858776443682104e-05,0.03482829999848036
1,2,32.0,1.9299015998840332,2.142491400001745,0.045121700000890996,2.0467941957876223,0.10091743119266056,0.03666666666666667,0.018501529051987767,0.0,32.0,"[1, 18, 0, 0, 0, 0, 11, 2]","[0, 1, 6, 7]","['ascending stairs', 'cycling', 'standing', 'walking']",1.0,cycling,4.0,27.343949793813476,"[0, 169, 1, 0, 0, 10, 22, 16]","[1, 2, 5, 6, 7]","['cycling', 'descending stairs', 'sitting', 'standing', 'walking']",1.0,cycling,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": NaN, ""cycling"": 0.0, ""descending stairs"": 0.0, ""lying down"": NaN, ""running"": NaN, ""sitting"": 0.0, ""standing"": 1.0, ""walking"": 0.0}",0.0,[],[],218,2.0480977504625235,0.0963302752293578,0.02928870292887029,0.01773444397527926,0.028146699994977098
1,3,32.0,2.071747064590454,2.1268091999954777,0.06536290000076406,2.023489938623765,0.05411764705882353,0.020535714285714286,0.00555672268907563,0.0,32.0,"[0, 0, 0, 0, 0, 3, 29, 0]","[5, 6]","['sitting', 'standing']",6.0,standing,2.0,27.343949793813476,"[23, 0, 3, 0, 0, 4, 72, 323]","[0, 2, 5, 6, 7]","['ascending stairs', 'descending stairs', 'sitting', 'standing', 'walking']",7.0,walking,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 1.0, ""cycling"": NaN, ""descending stairs"": 0.0, ""lying down"": NaN, ""running"": NaN, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],425,2.0235478322646197,0.05411764705882353,0.020535714285714286,0.00555672268907563,0.04422080000222195
1,4,32.0,1.9779834747314453,2.071752199997718,0.06933069999649888,2.101257529839006,0.0,0.0,0.0,0.0,32.0,"[0, 0, 0, 0, 0, 32, 0, 0]",[5],['sitting'],5.0,sitting,1.0,27.343949793813476,"[1, 0, 0, 1, 1, 467, 94, 3]","[0, 3, 4, 5, 6, 7]","['ascending stairs', 'lying down', 'running', 'sitting', 'standing', 'walking']",5.0,sitting,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": NaN, ""descending stairs"": NaN, ""lying down"": 0.0, ""running"": 0.0, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],567,2.101233761567077,0.0,0.0,0.0,0.04736050000065006
1,5,32.0,2.098872184753418,0.009747500000230502,0.05284590000519529,2.0330182303553044,0.002173913043478261,0.0006211180124223603,9.45179584120983e-06,0.0,32.0,"[2, 0, 0, 0, 0, 17, 0, 13]","[0, 5, 7]","['ascending stairs', 'sitting', 'walking']",5.0,sitting,3.0,27.343949793813476,"[1, 1, 0, 1, 1, 418, 35, 3]","[0, 1, 3, 4, 5, 6, 7]","['ascending stairs', 'cycling', 'lying down', 'running', 'sitting', 'standing', 'walking']",5.0,sitting,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": 0.0, ""descending stairs"": NaN, ""lying down"": 1.0, ""running"": 0.0, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],460,2.0327332952748174,0.002173913043478261,0.0006211180124223603,9.45179584120983e-06,0.029400500003248453
1,6,32.0,2.1302990913391113,0.01558610000211047,0.03615179999906104,2.1206155759151852,0.002336448598130841,0.000666000666000666,1.0892534257020238e-05,0.0,32.0,"[0, 0, 0, 14, 0, 0, 13, 5]","[3, 6, 7]","['lying down', 'standing', 'walking']",3.0,lying down,3.0,27.343949793813476,"[3, 1, 0, 23, 1, 383, 6, 11]","[0, 1, 3, 4, 5, 6, 7]","['ascending stairs', 'cycling', 'lying down', 'running', 'sitting', 'standing', 'walking']",5.0,sitting,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": 0.0, ""descending stairs"": NaN, ""lying down"": 0.0, ""running"": 1.0, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],428,2.121614099662995,0.002336448598130841,0.000666000666000666,1.0892534257020238e-05,0.034503299997595605
1,7,32.0,2.1285171508789062,0.010805500001879409,0.04766169999493286,2.1436822491307415,0.0020161290322580645,0.0005030181086519115,8.113195300837282e-06,0.0,32.0,"[0, 0, 0, 0, 0, 0, 32, 0]",[6],['standing'],6.0,standing,1.0,27.343949793813476,"[1, 1, 1, 215, 1, 1, 127, 149]","[0, 1, 2, 3, 4, 5, 6, 7]","['ascending stairs', 'cycling', 'descending stairs', 'lying down', 'running', 'sitting', 'standing', 'walking']",3.0,lying down,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": 0.0, ""descending stairs"": 1.0, ""lying down"": 0.0, ""running"": 0.0, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],496,2.142666055310157,0.0020161290322580645,0.0005030181086519115,8.113195300837282e-06,0.03874150000046939
1,9,32.0,2.110002040863037,0.009705999997095205,0.04504319999978179,2.0952994450278903,0.008695652173913044,0.0021551724137931034,0.00014992503748125936,0.0,32.0,"[0, 0, 0, 0, 0, 4, 25, 3]","[5, 6, 7]","['sitting', 'standing', 'walking']",6.0,standing,3.0,27.343949793813476,"[14, 1, 4, 110, 17, 171, 71, 72]","[0, 1, 2, 3, 4, 5, 6, 7]","['ascending stairs', 'cycling', 'descending stairs', 'lying down', 'running', 'sitting', 'standing', 'walking']",5.0,sitting,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": 0.0, ""descending stairs"": 1.0, ""lying down"": 0.0, ""running"": 0.0, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],460,2.0953273628069007,0.008695652173913044,0.0021551724137931034,0.00014992503748125936,0.03472969999711495
1,10,32.0,2.053485870361328,0.013047599997662473,0.23449390000314452,2.1240131969911507,0.0024096385542168677,0.0006868131868131869,1.1584800741427247e-05,0.0,32.0,"[0, 0, 0, 0, 0, 0, 31, 1]","[6, 7]","['standing', 'walking']",6.0,standing,2.0,27.343949793813476,"[1, 1, 0, 123, 31, 14, 29, 216]","[0, 1, 3, 4, 5, 6, 7]","['ascending stairs', 'cycling', 'lying down', 'running', 'sitting', 'standing', 'walking']",7.0,walking,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": 1.0, ""descending stairs"": NaN, ""lying down"": 0.0, ""running"": 0.0, ""sitting"": 0.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],415,2.1237646372921497,0.0024096385542168677,0.0006868131868131869,1.1584800741427247e-05,0.025864300005196128
1,11,32.0,2.162724018096924,0.01073089999408694,0.019727500002773013,2.0751746215072333,0.592156862745098,0.10626319493314566,0.44047136095817635,0.0,32.0,"[0, 0, 0, 0, 0, 0, 12, 20]","[6, 7]","['standing', 'walking']",7.0,walking,2.0,27.343949793813476,"[2, 1, 0, 1, 15, 151, 17, 68]","[0, 1, 3, 4, 5, 6, 7]","['ascending stairs', 'cycling', 'lying down', 'running', 'sitting', 'standing', 'walking']",5.0,sitting,0.0,0.0,32.0,32.0,0.0,{},[],[],"{""ascending stairs"": 0.0, ""cycling"": 0.0, ""descending stairs"": NaN, ""lying down"": 0.0, ""running"": 0.0, ""sitting"": 1.0, ""standing"": 0.0, ""walking"": 0.0}",0.0,[],[],255,2.075240166982015,0.592156862745098,0.10626319493314566,0.44047136095817635,0.02690539999457542
