round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,16,16,16,2.0656440183520317,512.0,0.5296633499992822,0.024147400000856578,2.0625527235465655,0.14007586695542384,0.09030503169333505,0.13889950049284827,16.0,16.0,0.041315550000490475
2,16,16,16,2.1074703825198537,615.0,0.004401895446145369,0.019864646341082377,2.0616589167104573,0.19347361474836183,0.1033924528729088,0.18738108943349469,16.0,16.0,0.02074717499954204
3,16,16,16,2.0992798721089083,680.0,0.00444591794094937,0.019490585883528075,2.0607939276682825,0.20789893287055297,0.08970345819591778,0.1854778665120881,16.0,16.0,0.01999330624948925
4,16,16,16,2.1042230631175793,684.0,0.004041982163652238,0.020936665497126677,2.0589585077029517,0.19917285071508156,0.0698414632713666,0.16641725804049715,16.0,16.0,0.01846306875177106
5,16,16,16,2.1094714820132774,709.0,0.0037940981655146164,0.02000213751763101,2.0571733991180423,0.13588717899810304,0.03233896508830578,0.12205433638127021,16.0,16.0,0.018947743750231894
6,16,16,16,2.1029898080636156,704.0,0.004221019742978818,0.019724580824314133,2.0554281780359838,0.1296948920680998,0.028665285448575432,0.11394182970450668,16.0,16.0,0.016928549998738163
7,16,16,16,2.0950759554507843,717.0,0.003939032356907137,0.01963020808865447,2.0543148419469794,0.13194895402357648,0.029426667126943702,0.11770309303088448,16.0,16.0,0.01718760000039765
8,16,16,16,2.100028018979631,676.0,0.005657057691629912,0.027249136242778135,2.0529375881617176,0.1332224825289837,0.0306758629268167,0.1209435257315557,16.0,16.0,0.02490076875028535
9,16,16,16,2.1067380023237354,711.0,0.00518460337580352,0.02498809071697952,2.0506906545566386,0.13385625365590245,0.03270414180275438,0.12430040127261896,16.0,16.0,0.023724362500615825
10,16,16,16,2.0944684520569057,726.0,0.005439510331214944,0.02711235344335259,2.0493255313092473,0.13211924554662002,0.03315837120471249,0.12533204373527485,16.0,16.0,0.024377856249429897
11,16,16,16,2.0780248581875895,734.0,0.006100371118341284,0.02647886634917314,2.0479788389208307,0.12866304496285577,0.032697619109980675,0.12353351312270391,16.0,16.0,0.029146243751256407
12,16,16,16,2.0897872183057995,720.0,0.0076031580555940715,0.03502721763888985,2.0463915420111705,0.12953162792988276,0.03469844449367555,0.1262437156823433,16.0,16.0,0.026383856250504323
13,16,16,16,2.0933394615205896,703.0,0.006193812517592088,0.034161507680340326,2.0445923316800636,0.12729564478234065,0.03555757031135166,0.12645789770157806,16.0,16.0,0.029958931249893794
14,16,16,16,2.0662732870228546,708.0,0.00614880367115314,0.03315575946285439,2.0434199820466494,0.12953890497014148,0.038638195881859794,0.1327464387915831,16.0,16.0,0.02989709374969607
15,16,16,16,2.0887993615940945,713.0,0.006452554837940734,0.0261026929874686,2.0415374413699814,0.13132509351038663,0.044297455260705144,0.13891841535489813,16.0,16.0,0.030218281247925916
16,16,16,16,2.0742298238030794,725.0,0.005952410483231029,0.028219676689146454,2.039405639294866,0.14137711163432284,0.05074932116865319,0.15227614551073693,16.0,16.0,0.033373081249010283
17,16,16,16,2.074556596742736,720.0,0.007003169722055544,0.030968159442879065,2.0364110695202675,0.14413413079359916,0.05471600865243171,0.15793859523203277,16.0,16.0,0.02938152499973512
18,16,16,16,2.059056331235736,727.0,0.005751037415290928,0.025450454883352597,2.033073658443509,0.4334291469308652,0.11794428652974631,0.44648999353501984,16.0,16.0,0.026606318750509672
19,16,16,16,2.064443192799886,750.0,0.006182644533536707,0.0279045098675997,2.029780497367693,0.45639182551972013,0.1271428684544393,0.46004770777681053,16.0,16.0,0.024826587499774178
20,16,16,16,2.0447338054287654,754.0,0.005473591512893123,0.028395648541464563,2.0256632128265606,0.4706761747156774,0.1365678951149248,0.4669532727484643,16.0,16.0,0.02859393124936105
21,16,16,16,2.0556949155578197,732.0,0.006238853415456245,0.029308285792492207,2.0211016564532227,0.47650999971602076,0.1412851352397436,0.4708170848718654,16.0,16.0,0.02957659999901807
