round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,7,7,7,1.733145798955645,224.0,3.389954714279156,0.21012759999887617,1.7796782165735405,0.44494793083825485,0.21117469398786728,0.2820995127207238,7.0,7.0,0.08950137142424605
2,7,7,7,1.6916869708469935,224.0,0.09063807142748763,0.03867717142566107,1.7798045730812062,0.44494793083825485,0.2073621143073833,0.2767444884814556,7.0,7.0,0.02541901428568443
3,7,7,7,1.6617031267711095,224.0,0.019190028571756557,0.029728342853819152,1.7796592594479645,0.29524961581509984,0.12622609982956698,0.16716754313552656,7.0,7.0,0.026621442853606174
4,7,7,7,1.6684824909482683,224.0,0.11063105714440878,0.027445457139817466,1.7790517237753707,0.2162857411690937,0.05905401046287612,0.0782474195609306,7.0,7.0,0.1143416571389285
5,7,7,7,1.678787418774196,224.0,0.018603285712223232,0.027546699998700724,1.778411333428513,0.21628574116909366,0.05905401046287612,0.07824741956093059,7.0,7.0,0.10298348572022016
6,7,7,7,1.731791411127363,224.0,0.016556714287227287,0.02885034286217498,1.7777326956669322,0.2162857411690937,0.05905401046287612,0.0782474195609306,7.0,7.0,0.03154917142819613
7,7,7,7,1.7936722551073347,224.0,0.016777400006373813,0.02493124285579792,1.7771501838995312,0.2162857411690937,0.05905401046287612,0.0782474195609306,7.0,7.0,0.01922188571188599
8,7,7,7,1.8288061789103918,224.0,0.0191181571447357,0.027903557143872604,1.7763079943023532,0.21628574116909366,0.05905401046287612,0.0782474195609306,7.0,7.0,0.10094558571914344
9,7,7,7,1.6228495417414486,222.0,0.013090005400643038,0.020269181086159486,1.7755910807769204,0.21628574116909366,0.05905401046287612,0.0782474195609306,7.0,7.0,0.02398651428354372
10,7,7,7,1.6096270743836747,188.0,0.012538746813005035,0.022325812767140886,1.7752482011847965,0.21628574116909366,0.05905401046287612,0.0782474195609306,7.0,7.0,0.023613900000262738
11,7,7,7,0.8943958282470703,132.0,0.007133130302518663,0.02702923712852432,1.7747359931024924,0.21628574116909366,0.05905401046287612,0.0782474195609306,7.0,7.0,0.025465028568370535
12,7,7,7,1.0606338237893993,58.0,0.005607393089529319,0.018055468969295958,1.7748186132471917,0.2162857411690937,0.05905401046287612,0.0782474195609306,7.0,7.0,0.18892574285356595
13,7,7,7,0.0,8.0,0.0009365000005345792,0.016071699996246025,1.7748186132471917,0.21628574116909366,0.05905401046287612,0.0782474195609306,7.0,7.0,0.026284357146193673
