round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,7,7,7,1.7675245659691947,224.0,3.3888861000014003,0.21841605714455778,1.793132244898916,0.18133900516079274,0.05076891226677899,0.058064536720911476,7.0,7.0,0.03586248571186194
2,7,7,7,1.739360077040536,224.0,0.02491487143561244,0.03265914286021143,1.7932348852163327,0.18133900516079268,0.05076891226677898,0.05806453672091146,7.0,7.0,0.06495658571449374
3,7,7,7,1.7361291817256383,224.0,0.025139957138370455,0.0294768428513115,1.7930922574418442,0.18699671378879837,0.05224967698645998,0.06049536565883693,7.0,7.0,0.027283571431845694
4,7,7,7,1.7783427579062325,224.0,0.0236440142866091,0.022423128572492197,1.7926801113826538,0.18699671378879837,0.05224967698645996,0.06049536565883694,7.0,7.0,0.17037169999925286
5,7,7,7,1.8164551598685128,224.0,0.025772999997051165,0.02539462857280991,1.7923315466857257,0.18699671378879837,0.05224967698645996,0.06049536565883694,7.0,7.0,0.022355957139682556
6,7,7,7,1.823628238269261,224.0,0.0267506714236723,0.027492514291744947,1.7913611505624885,0.18699671378879837,0.052303221642703276,0.06054307871885572,7.0,7.0,0.06839884285000153
7,7,7,7,1.8339522906712122,224.0,0.02857297142950951,0.02597758571417736,1.7904635703834333,0.18699671378879837,0.05241315403428245,0.06064103827570845,7.0,7.0,0.07879375713777595
8,7,7,7,1.8287464891161238,224.0,0.144913199993815,0.023854657146979923,1.789718703389472,0.162506917870431,0.04633840761850431,0.05426983295984348,7.0,7.0,0.08686965714358459
9,7,7,7,1.560523677516628,222.0,0.019356076586215448,0.02081429190054821,1.789626343054514,0.15810198758148375,0.051035423012212165,0.058067939867002615,7.0,7.0,0.0262749428594751
10,7,7,7,1.4975639708498691,188.0,0.022795402121041565,0.026297055312402624,1.789352131109221,0.19678993800917957,0.06574843947093248,0.0722994831928062,7.0,7.0,0.016958457139220888
11,7,7,7,0.8744584574843898,132.0,0.012281934845139569,0.022712780299832848,1.789325501898085,0.1897178022241725,0.06347273278423875,0.07035287374323675,7.0,7.0,0.020218371430278888
12,7,7,7,1.0566139221191406,58.0,0.009083572410825833,0.014958051715752688,1.7891125107585744,0.19254665653817535,0.06674601722853023,0.0730783301012676,7.0,7.0,0.17909454286564142
13,7,7,7,0.0,8.0,0.0014109999756328762,0.012010299979010597,1.7891125107585744,0.19254665653817535,0.06674601722853024,0.0730783301012676,7.0,7.0,0.02157952857669443
