round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,7,7,7,1.7603786843163627,224.0,3.325935228578081,0.20324685713941498,1.7896364658824624,0.16165948425805365,0.04593162298735266,0.047729230591991294,7.0,7.0,0.15253424285661563
2,7,7,7,1.7163881301879882,240.0,0.015593953331699596,0.03158219333466453,1.7893923377978838,0.16165948425805365,0.04593162298735266,0.04772923059199129,7.0,7.0,0.021080071426695213
3,7,7,7,1.6648847308902233,263.0,0.01713061710178211,0.02815965703410139,1.7890926604998902,0.16165948425805363,0.04593162298735266,0.047729230591991294,7.0,7.0,0.09414625713751386
4,7,7,7,1.6643126192547026,315.0,0.01762221904798588,0.02762080666614652,1.789221304856035,0.16165948425805363,0.04593162298735266,0.047729230591991294,7.0,7.0,0.10887165714354653
5,7,7,7,1.6341931467964537,315.0,0.01683111714138206,0.027440630475480465,1.789725486548149,0.16165948425805365,0.04593162298735267,0.047729230591991294,7.0,7.0,0.02912544286144631
6,7,7,7,1.616974643298558,336.0,0.01548262857665707,0.02234877142888893,1.7892974585675148,0.16165948425805365,0.04607838629201071,0.04784257255004403,7.0,7.0,0.023081257145219882
7,7,7,7,1.656366501535688,336.0,0.01563648571443212,0.022440742850968882,1.7881816384230231,0.15775694633880696,0.04762805448534966,0.04797415871746364,7.0,7.0,0.13715607142408512
8,7,7,7,1.6867577859333582,336.0,0.01830369999515824,0.02606289999675937,1.7869279621850536,0.1559254445073051,0.04517208345078439,0.044315880916307414,7.0,7.0,0.025555657148028592
9,7,7,7,1.746442851906051,334.0,0.014549788019813676,0.021844728740209624,1.784598734790553,0.15592544450730514,0.04510578338448433,0.04424892441370735,7.0,7.0,0.01710247142805851
10,7,7,7,1.7914197109114955,284.0,0.01831947042013217,0.030062978878997688,1.7820053932624682,0.1559254445073051,0.0451720834507844,0.044315880916307414,7.0,7.0,0.12171871428810326
11,7,7,7,1.5457017939045745,212.0,0.012472252819999034,0.020918596691599133,1.779752198664997,0.15775694633880696,0.0475592875970109,0.04790471096884431,7.0,7.0,0.023990014276932925
12,7,7,7,1.8008184432983398,90.0,0.011417060007806868,0.020705200002218285,1.7776073286820375,0.15775694633880696,0.047559287597010905,0.04790471096884431,7.0,7.0,0.019986128567584922
13,7,7,7,0.0,24.0,0.000744799996027723,0.012886200012871996,1.7776073286820375,0.15775694633880696,0.0475592875970109,0.047904710968844307,7.0,7.0,0.02487544285915127
