round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,7,7,7,1.7403908627373832,224.0,2.085174957136457,0.036150700001079325,1.8140724513351816,0.11581938414881278,0.03451601569937426,0.026808723492502493,7.0,7.0,0.02103252856925662
2,7,7,7,1.7741910219192505,240.0,0.009739059997567285,0.02186417333044422,1.813603285607057,0.11257345516030952,0.03374721754955218,0.026291024634938282,7.0,7.0,0.13429542856673443
3,7,7,7,1.8458959942988116,263.0,0.0071985399263765765,0.016582393923047542,1.812899893213593,0.0968959915280686,0.0389153574571679,0.029492405121109195,7.0,7.0,0.023884871425772353
4,7,7,7,1.8221508389427548,315.0,0.007806180000659965,0.016914235234781656,1.8124550006045705,0.07451987063752388,0.034537930243095434,0.02652860901470274,7.0,7.0,0.0165884142874607
5,7,7,7,1.8835170723143078,315.0,0.009623514291264915,0.018268671429749313,1.8122147861848816,0.11102736703408275,0.05740811461226126,0.04528380062901185,7.0,7.0,0.05235498571502311
6,7,7,7,1.8384383405957903,336.0,0.00923152857077574,0.022745557150171538,1.8121334194022474,0.12430092083411073,0.060778963134554234,0.048200392263886095,7.0,7.0,0.021403657143569683
7,7,7,7,1.841281567301069,336.0,0.009644557139836252,0.01936612857805033,1.8114216523373619,0.12160357362607141,0.05314753591749339,0.04070899247647331,7.0,7.0,0.01646551428296204
8,7,7,7,1.829567892210824,336.0,0.006031385714387787,0.012437771427877513,1.809756714303438,0.12160357362607137,0.05168944051488868,0.03982332014028965,7.0,7.0,0.06879131429013796
9,7,7,7,1.841082979819018,334.0,0.007578025156357409,0.0143761467104945,1.8082320004954782,0.1186580655259241,0.04643037445396203,0.036498832442118455,7.0,7.0,0.013872671435819939
10,7,7,7,1.7968320410016556,284.0,0.006382408450623239,0.01352265915213625,1.806601879156954,0.11865806552592413,0.04656643989652188,0.03659891546536622,7.0,7.0,0.01189327142700287
11,7,7,7,1.5321912405625828,212.0,0.004962926421765862,0.011686607079337712,1.8055669818934608,0.11729752130823703,0.04422218079976207,0.03412892112589873,7.0,7.0,0.012064871423977561
12,7,7,7,1.7570822397867838,90.0,0.20246370000725922,0.012013126657499621,1.8044022682961902,0.11729752130823703,0.04440175354570649,0.03430805853651919,7.0,7.0,0.013269085715624638
13,7,7,7,0.0,24.0,0.0005543000006582588,0.010010600002715364,1.8044022682961902,0.11729752130823703,0.04440175354570649,0.03430805853651919,7.0,7.0,0.01402490000223874
