round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,66,66,66,2.352224554334368,2016.0,0.20374321755745825,0.022148865276283194,2.4010508422034724,0.10987057360183082,0.0441888882759601,0.04817974916157692,65.0,65.0,0.007877624615167196
2,66,66,66,2.312500511227971,1955.0,0.011720657955421626,0.009060079389093373,2.4000508977703667,0.09130761609150487,0.027967423883035643,0.03565516637084891,65.0,65.0,0.006283015383926865
3,66,66,66,1.6275249063152157,1460.0,0.006548420961269286,0.006723224592202962,2.3996684832899673,0.08372408850797729,0.02344977491129238,0.027277639645514076,65.0,65.0,0.0067625153867993506
4,66,66,66,1.9542753545625053,743.0,0.008599388156759003,0.008127792459365148,2.3993644523774917,0.08179069622975743,0.023766783064332928,0.02584075155724634,65.0,65.0,0.006348035381569599
5,66,66,66,1.812560341574929,506.0,0.00843763853665561,0.009669601385978147,2.3991411186606064,0.07926980940866776,0.021967580113429384,0.024590062294485827,65.0,65.0,0.006231075384689925
6,66,66,66,1.736089834389976,313.0,0.007895892658739532,0.009042519812428276,2.3990012905819,0.07606468120353956,0.020949539940772973,0.023538555403156906,65.0,65.0,0.0066783692338503895
7,66,66,66,2.2522197028099025,203.0,0.00945930492610033,0.010703091622614692,2.3987737092893866,0.07544929658815495,0.020753864946710873,0.0230911818008181,65.0,65.0,0.0067741184593894735
8,66,66,66,1.8436226477989783,169.0,0.008599924258564009,0.012819716566519195,2.3986801174518386,0.0789659888227959,0.021990900582206964,0.024839650680822303,65.0,65.0,0.006807713848628247
9,66,66,66,0.805829311938996,94.0,0.0038383574320369975,0.009043700014057748,2.3986560873125637,0.07896598882279589,0.021990900582206967,0.024839650680822303,65.0,65.0,0.00644288615260918
10,66,66,66,0.0,3.0,0.0008314999868161976,0.009133099985774606,2.3986560873125633,0.07896598882279587,0.021990900582206964,0.024839650680822296,65.0,65.0,0.007851210771164355
