round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,66,66,66,2.2770090405903165,2016.0,0.1763791655742078,0.03381674013152882,2.3722310029713207,0.1611876808047019,0.05157527009413498,0.05224316454459932,65.0,65.0,0.00943736923374952
2,66,66,66,2.253192257728223,2806.0,0.006670794831125029,0.008259429865403792,2.3721674902618606,0.16118768080470186,0.05157527009413498,0.052243164544599326,65.0,65.0,0.007695661536238801
3,66,66,66,2.0407639088461527,2368.0,0.0062301781237102975,0.007331343031145897,2.371516622625236,0.16118768080470183,0.05157527009413498,0.052243164544599326,65.0,65.0,0.00739124769371791
4,66,66,66,1.953960443931686,1219.0,0.005303042082697989,0.007799546106577521,2.3706309426019465,0.16118768080470183,0.05157527009413497,0.052243164544599326,65.0,65.0,0.006310190769951218
5,66,66,66,2.2673392758261346,794.0,0.00575708589181996,0.00838750995054427,2.3685136485472684,0.1611876808047019,0.051575270094134984,0.052243164544599326,65.0,65.0,0.007789430768640998
6,66,66,66,2.197412237373243,491.0,0.006021511005206876,0.009311048472238527,2.365935139793002,0.16118768080470186,0.051575270094134984,0.05224316454459932,65.0,65.0,0.006962024614823839
7,66,66,66,2.110530126662481,315.0,0.008730692384276716,0.011391592380823568,2.3629346450697915,0.16118768080470183,0.05157527009413497,0.05224316454459932,65.0,65.0,0.008311973847538377
8,66,66,66,2.3559327665364966,265.0,0.006885352823553818,0.010824158499105218,2.359201010514488,0.16118768080470186,0.05157527009413497,0.05224316454459932,65.0,65.0,0.00737058923069316
9,66,66,66,1.8977139810972576,158.0,0.004573720262704205,0.01028507468150634,2.3561192048834507,0.16118768080470186,0.05157527009413498,0.05224316454459932,65.0,65.0,0.006597655384729688
10,66,66,66,0.0,19.0,0.0005293000140227377,0.010026700008893386,2.3561192048834516,0.16118768080470186,0.05157527009413497,0.05224316454459932,65.0,65.0,0.007842109231009649
