round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,66,66,66,2.415383675741771,2016.0,0.1724357793170225,0.010384571130839865,2.4361065752036475,0.015806506612471044,0.003106494274584164,0.002360172551223376,65.0,65.0,0.007079510768212808
2,66,66,66,2.3980270849324428,2806.0,0.005492767318626846,0.006680724627379589,2.433607702017124,0.015806506612471044,0.0031064942745841644,0.002360172551223376,65.0,65.0,0.007109675384932556
3,66,66,66,2.1205785860483712,2368.0,0.005422006081897888,0.008227861489890406,2.431285396143423,0.015806506612471048,0.0031064942745841636,0.0023601725512233758,65.0,65.0,0.007022098462151077
4,66,66,66,2.0358221879056284,1219.0,0.004756452915224516,0.008704266857165405,2.4298108590393452,0.015806506612471044,0.0031064942745841636,0.002360172551223376,65.0,65.0,0.007314760001519552
5,66,66,66,2.2576049881557974,794.0,0.006076885267403927,0.010663129223900043,2.4283112663156774,0.015806506612471048,0.0031064942745841636,0.002360172551223376,65.0,65.0,0.007122335383274521
6,66,66,66,2.2147566441848663,491.0,0.0048335356421009,0.008666179425276574,2.425822682013248,0.17800643740788827,0.06117944882511278,0.06227520613214512,65.0,65.0,0.007721166153295109
7,66,66,66,2.2379261198497953,315.0,0.00539531429004412,0.010624498097569726,2.422659119505723,0.17800643740788824,0.06126563714659523,0.06225365905177451,65.0,65.0,0.007264809230288777
8,66,66,66,2.4594710844867635,265.0,0.005581187919871706,0.012083056226333181,2.4201135629191373,0.1780064374078882,0.06126563714659523,0.0622536590517745,65.0,65.0,0.008100689230755402
9,66,66,66,1.9770275278936458,158.0,0.004727311391837282,0.009590036075494452,2.417059738342564,0.17800643740788824,0.06126563714659522,0.06225365905177451,65.0,65.0,0.006896423077425704
10,66,66,66,0.0,19.0,0.000523599999723956,0.007767199975205585,2.4170597383425645,0.1780064374078882,0.06126563714659522,0.0622536590517745,65.0,65.0,0.007053803077612358
