round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,12,12,12,2.152876059214274,384.0,1.1706241249970237,0.03474731666938169,2.022079413998887,0.45452187383860676,0.0628816725746947,0.42803595360694996,12.0,12.0,0.014506074997674053
2,12,12,12,2.1404799024264016,384.0,0.006964541666093282,0.0137656166649928,2.0194275504812764,0.45452187383860676,0.0628816725746947,0.42803595360694985,12.0,12.0,0.01013055833755061
3,12,12,12,2.129936774571737,384.0,0.006826849991436272,0.013722516669076867,2.017635189711252,0.45452187383860676,0.0628816725746947,0.42803595360694996,12.0,12.0,0.010730850000982173
4,12,12,12,2.123137573401133,384.0,0.006099891671813869,0.0122759083363538,2.016175026510212,0.45452187383860676,0.06288167257469468,0.42803595360694996,12.0,12.0,0.012099191670131404
5,12,12,12,2.114530781904856,384.0,0.00677387500036275,0.013015333327833408,2.0167475643467587,0.45452187383860676,0.0628816725746947,0.42803595360694996,12.0,12.0,0.012059383329566723
6,12,12,12,2.097798744837443,384.0,0.007009733334901587,0.011693116672783313,2.018034250915894,0.45452187383860676,0.0628816725746947,0.42803595360694996,12.0,12.0,0.01176139167121922
7,12,12,12,2.099953055381775,416.0,0.007238930765127476,0.010976307694083797,2.018617402503411,0.45452187383860676,0.0628816725746947,0.42803595360694996,12.0,12.0,0.014482083337497897
8,12,12,12,2.118260375313137,460.0,0.013757845218566692,0.017232771298301447,2.019002369779138,0.45452187383860676,0.0628816725746947,0.42803595360694996,12.0,12.0,0.013770950000131657
9,12,12,12,2.1160782123434134,522.0,0.017816140421691183,0.01538713160456003,2.0195050934515306,0.4545218738386068,0.0628816725746947,0.42803595360694985,12.0,12.0,0.010676683336593365
10,12,12,12,2.1109370906690983,522.0,0.006501454985252282,0.010242172603859383,2.020161065943818,0.45452187383860676,0.0628816725746947,0.42803595360694996,12.0,12.0,0.010475025002961047
11,12,12,12,2.1037888344220277,522.0,0.006289914758631538,0.0100884496186297,2.0208838705209398,0.4545218738386068,0.0628816725746947,0.42803595360695,12.0,12.0,0.010218774996853123
12,12,12,12,2.10159090104231,522.0,0.006079565132192026,0.00955367720344905,2.0215671074814967,0.45452187383860676,0.0628816725746947,0.42803595360694996,12.0,12.0,0.012975450001249555
13,12,12,12,2.095552138441824,522.0,0.0651705352470954,0.010325087160335932,2.02288750243779,0.4545218738386067,0.06288167257469468,0.42803595360695,12.0,12.0,0.009516249997735335
14,12,12,12,2.089873065436937,522.0,0.005070627968028184,0.009297512070076465,2.0239821781546143,0.45452187383860676,0.0628816725746947,0.42803595360694996,12.0,12.0,0.009752933328854851
15,12,12,12,2.0834750616958386,526.0,0.008346398860495449,0.013571026993013774,2.0246198262069477,0.4545218738386068,0.0628816725746947,0.42803595360694996,12.0,12.0,0.01531852499950522
16,12,12,12,2.0876812145864365,556.0,0.009300537407607603,0.01524351510636361,2.024836933767639,0.45452187383860676,0.0628816725746947,0.42803595360694996,12.0,12.0,0.01685647500077418
17,12,12,12,2.082224575125653,575.0,0.01028199878647802,0.01703988990695823,2.0250585063065,0.45452187383860676,0.06288167257469468,0.42803595360694996,12.0,12.0,0.01445652500357634
18,12,12,12,2.0780802536010743,575.0,0.011220070088596042,0.018551989570766203,2.0249082333486315,0.45452187383860676,0.0628816725746947,0.42803595360694996,12.0,12.0,0.018155458329905134
19,12,12,12,2.0650235333650007,575.0,0.011428849386942127,0.018636670610968673,2.0249279628560335,0.4545218738386068,0.0628816725746947,0.42803595360694996,12.0,12.0,0.01803562500087234
20,12,12,12,2.0584262565944504,575.0,0.07883291252337031,0.016315101910807678,2.024525228598636,0.4320276708695976,0.06110124749928498,0.416227761087442,12.0,12.0,0.017351799998626422
21,12,12,12,2.053136266625446,575.0,0.008446012525060012,0.014995869736278268,2.023725118173365,0.3953834477549288,0.058011501251672336,0.3953445768890844,12.0,12.0,0.012550374995043967
22,12,12,12,2.052777899866519,575.0,0.008454570268058096,0.015027817562424942,2.0228970029609843,0.35894519644264644,0.054559052330074125,0.37199272575934494,12.0,12.0,0.012653925000146652
23,12,12,12,2.0415982014199963,575.0,0.009761945219285301,0.015004840000816014,2.021302689635022,0.31942140376962896,0.05024171311870107,0.3436446985291415,12.0,12.0,0.018554891663370654
24,12,12,12,2.0247694243555485,575.0,0.01135459200089352,0.01767521252546905,2.0190076220772446,0.2946318607509193,0.047480952021938784,0.32492496343539795,12.0,12.0,0.015483374998439103
25,12,12,12,2.0222509500254757,575.0,0.023574669567372083,0.01621879199590615,2.0155046704166897,0.28393893211824667,0.04616380604065035,0.3170663504736736,12.0,12.0,0.014624333331691256
26,12,12,12,2.021315931005681,564.0,0.01071627712413274,0.016154703363957437,2.0120822457510386,0.27855889548821006,0.047266240795369084,0.3205795690086242,12.0,12.0,0.015899933328910265
