round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,12,12,12,1.963902046283086,384.0,1.0428362583309838,0.06830974999805524,2.1022511168701064,0.011047891604934648,0.002849323811150781,0.0003714187908891178,12.0,12.0,0.011088341673409255
2,12,12,12,1.9606927335262299,384.0,0.123232416670362,0.012784391665870013,2.1018469168485576,0.011047891604934648,0.0028493238111507815,0.0003714187908891179,12.0,12.0,0.012985374999213187
3,12,12,12,1.9473843971888225,384.0,0.008172441669254718,0.01577591666864464,2.1014509269722224,0.011047891604934648,0.002849323811150781,0.0003714187908891179,12.0,12.0,0.011497625001842001
4,12,12,12,1.9371715287367504,384.0,0.00756625833309954,0.012602750005801985,2.1007823689721983,0.011047891604934648,0.002849323811150781,0.0003714187908891179,12.0,12.0,0.011078591657375606
5,12,12,12,1.9474353392918904,384.0,0.005868966664517454,0.011076633328533111,2.1000691432463676,0.011047891604934648,0.002849323811150781,0.0003714187908891178,12.0,12.0,0.014149575001889994
6,12,12,12,1.9468701382478077,384.0,0.00623191666090861,0.012146866664503856,2.0990719669613456,0.011047891604934648,0.0028493238111507815,0.0003714187908891179,12.0,12.0,0.010006299999076873
7,12,12,12,2.011615977837489,416.0,0.01395749999434114,0.03494475000031973,2.0986525342924502,0.011047891604934648,0.002849323811150781,0.0003714187908891179,12.0,12.0,0.03412468333651001
8,12,12,12,2.0519050681072732,460.0,0.014025018258911112,0.027171836521871308,2.0988782489253195,0.011047891604934648,0.002849323811150781,0.0003714187908891179,12.0,12.0,0.021152500004973263
9,12,12,12,2.0619646845192743,522.0,0.014532763787038567,0.035313319348227463,2.0985100585235124,0.011047891604934648,0.0028515610677372644,0.0003716052289379915,12.0,12.0,0.030407225000089966
10,12,12,12,2.0462884354865416,522.0,0.017073395019606776,0.03706753927578934,2.0985341978732914,0.011047891604934648,0.0028641453826471607,0.0003736538383419281,12.0,12.0,0.030186566667301424
11,12,12,12,2.0491768085180113,522.0,0.012501645404111748,0.02652592490550079,2.0983448044629553,0.011047891604934648,0.0028876797275277978,0.0003767562823136523,12.0,12.0,0.025400216664517455
12,12,12,12,2.028353718048768,522.0,0.014945486592857249,0.03044325229862368,2.098212663715103,0.011047891604934648,0.002935889386612524,0.00038325029238188576,12.0,12.0,0.03354734166593213
13,12,12,12,2.042215351400704,522.0,0.018348204403465802,0.03681710670070796,2.098086043891812,0.011047891604934648,0.0029939204223276335,0.0003906409469442249,12.0,12.0,0.03289185000176076
14,12,12,12,2.0511176476533386,522.0,0.016749063792742852,0.03176046627841513,2.097518192819205,0.011047891604934648,0.0030493501414457715,0.00039690205828168376,12.0,12.0,0.03889414999866858
15,12,12,12,2.0542875795763256,526.0,0.01356953365356217,0.02497599467709519,2.096459494656591,0.011047891604934648,0.003018450556216814,0.0004022504606592344,12.0,12.0,0.02694629166702119
16,12,12,12,2.070976653545023,556.0,0.013388599278723566,0.024536320865748907,2.0940311444274227,0.011047891604934648,0.0031071428974582486,0.000414964119257121,12.0,12.0,0.022358924996903323
17,12,12,12,2.081435613217561,575.0,0.011327517390322022,0.02138306017271648,2.0924930791132983,0.011047891604934648,0.0031523128508572987,0.0004200014753927229,12.0,12.0,0.022437133329124965
18,12,12,12,2.073356475830078,575.0,0.014368823823245728,0.026683292343362194,2.0903211528583516,0.011047891604934646,0.0031520822208539723,0.0004192640824860203,12.0,12.0,0.02368209999743461
19,12,12,12,2.0592044581537663,575.0,0.010816045567474288,0.016458603134783714,2.0880705047720807,0.011047891604934648,0.0031869198194179743,0.00042382177289479965,12.0,12.0,0.01813922500150511
20,12,12,12,2.0601351261138916,575.0,0.014976220694269337,0.021342292695113903,2.0858303015822717,0.011047891604934648,0.0031996572336375185,0.00042647262528166613,12.0,12.0,0.01908249999542022
21,12,12,12,2.066703346501226,575.0,0.010820104869123062,0.01976541217613925,2.0833874950726936,0.011442836312675564,0.003282614292082938,0.0012203697127058776,12.0,12.0,0.015712666672091775
22,12,12,12,2.056578432166058,575.0,0.010701235999231753,0.01923595460779641,2.0816854719516775,0.01224428508545713,0.0036103194525973163,0.002815259821512583,12.0,12.0,0.01470579166925745
23,12,12,12,2.0691835527834685,575.0,0.009023346263135824,0.014969700000896726,2.0791910533663014,0.013034174500938965,0.003959929376341068,0.004368275158600498,12.0,12.0,0.014110650001384784
24,12,12,12,2.06867290828539,575.0,0.007777911999070531,0.01677031912957318,2.0761434205095677,0.1648357397594664,0.036818282152417996,0.1616898354395301,12.0,12.0,0.016304658330530703
25,12,12,12,2.0585695880392323,575.0,0.008792653559737474,0.014335037743439898,2.074047198334529,0.16429620168760775,0.03659706230165325,0.1559223575321584,12.0,12.0,0.018159891667892225
26,12,12,12,2.0398928239835916,564.0,0.010902224998720525,0.020929025361388312,2.0720999271549023,0.16313190063327268,0.03755141193436538,0.1530995130492202,12.0,12.0,0.016147758333924383
27,12,12,12,2.0403899766462352,527.0,0.010578527703381583,0.01848467589935652,2.0697347395510834,0.16380399952188443,0.03687388112353967,0.1513151266845502,12.0,12.0,0.016339741669071373
28,12,12,12,2.044578851739641,527.0,0.008980469645915087,0.01582068652730829,2.068537378968727,0.16278060770901892,0.03622574608335553,0.15145944090444124,12.0,12.0,0.014499766664812341
29,12,12,12,2.061080370275074,527.0,0.014126545732760929,0.024666589184220617,2.066163604203212,0.16584516011567657,0.03664895367598954,0.15229771865191896,12.0,12.0,0.02229532500253602
30,12,12,12,2.087345759073893,522.0,0.014025664371478468,0.026492022982819927,2.062385864010931,0.16540656362444853,0.029399019712681548,0.15175957038046917,12.0,12.0,0.0218814000011965
31,12,12,12,2.0967538952827454,480.0,0.011921300002723002,0.01730905000003986,2.058495360777339,0.1777499220204385,0.033504647851418067,0.17143871852392223,12.0,12.0,0.030797691661670495
32,12,12,12,2.095758628845215,480.0,0.012017899996135385,0.019719189990428276,2.0547489314614196,0.1777499220204385,0.033704819105138346,0.17145427463302487,12.0,12.0,0.020432091662466217
33,12,12,12,2.10949592590332,480.0,0.010243709996575489,0.015669989999150858,2.050530872829007,0.18370230297281945,0.03565846911654765,0.17879805256880058,12.0,12.0,0.019265483325095072
34,12,12,12,2.085917603969574,480.0,0.012994999997317791,0.023539810004876927,2.047082772065185,0.18330735826507852,0.0356936949824404,0.17824065743700757,12.0,12.0,0.024852099993343774
35,12,12,12,2.0635416388511656,480.0,0.01617815999488812,0.025953809995553457,2.042231574603084,0.18330735826507852,0.03627235341890022,0.17829069028549835,12.0,12.0,0.026090208334305014
36,12,12,12,2.069097340106964,480.0,0.015425709998817183,0.023330929994699545,2.037602297197697,0.18330735826507852,0.03729380169246463,0.17910728667536416,12.0,12.0,0.030900183330231812
37,12,12,12,2.0501444697380067,480.0,0.015354439997463488,0.02605757999990601,2.0342410383920577,0.18370230297281942,0.03788794439187049,0.17994032176381292,12.0,12.0,0.02573892500367947
38,12,12,12,1.9070889230922607,461.0,0.01499654143433028,0.02450093709609427,2.0302370843706803,0.18370230297281945,0.0381016196055457,0.1799761689860675,12.0,12.0,0.024626233333644148
39,12,12,12,2.0634828541013928,432.0,0.01338170000558926,0.020268399989516992,2.0247395381951976,0.18330735826507852,0.03846901536767831,0.1792389977646073,12.0,12.0,0.02221004166494822
40,12,12,12,2.069223960240682,432.0,0.01047961111827236,0.019886277774478205,2.0195038950525657,0.17774992202043846,0.03709880297772907,0.17269849740551133,12.0,12.0,0.02600759166913728
41,12,12,12,2.0357793039745755,432.0,0.01588847776939575,0.02439464444372182,2.0154540493715314,0.1777499220204385,0.03748811274203884,0.17272951919579235,12.0,12.0,0.01692452499749682
42,12,12,12,2.010159598899058,419.0,0.011300570408892562,0.017263730789041858,2.010115594479861,0.17606005435090008,0.03797229663923815,0.17304910231576665,12.0,12.0,0.01420756666387509
43,12,12,12,1.8883311808610164,357.0,0.00887617647492311,0.013555519327329582,2.0049340990839486,0.18618221898142243,0.05883705979724957,0.18992468734960713,12.0,12.0,0.016392225001861032
44,12,12,12,1.9833670003073556,336.0,0.011551542864513717,0.017237371424146528,2.0004952392547453,0.18323790727161968,0.04189973327113842,0.18330362968781977,12.0,12.0,0.017196066675145023
45,12,12,12,1.9540609121322632,336.0,0.00906108571715387,0.013226257146535707,1.9949824255016537,0.18518520409450892,0.05839645625124173,0.18622884461434921,12.0,12.0,0.018893824999395292
46,12,12,12,1.9582914113998413,336.0,0.009545085710539882,0.015450428580931787,1.9910494916577022,0.184790259386768,0.042905589585729674,0.18583392459401638,12.0,12.0,0.01758434166792237
47,12,12,12,1.9918127741132463,336.0,0.007253200002846175,0.013912828568468935,1.9867739441226249,0.18518520409450892,0.05847912820891368,0.1861966944085879,12.0,12.0,0.016504758333515685
48,12,12,12,1.8402650532175282,305.0,0.008633230164738707,0.014557964261430393,1.984405310167759,0.184790259386768,0.05348518264644403,0.1857834911454259,12.0,12.0,0.01776232499832986
49,12,12,12,1.9952152247996058,227.0,0.005332929951098793,0.013651865203444342,1.9778328503741418,0.18750001890932375,0.05875190145962811,0.19047141302920115,12.0,12.0,0.01562887500525297
50,12,12,12,1.3004792795314655,143.0,0.003429339850407706,0.013779627971499312,1.9714046154756284,0.18750001890932375,0.05875190145962811,0.19047141302920115,12.0,12.0,0.013002491660396723
51,12,12,12,2.0988874435424805,48.0,0.003800500009674579,0.009702600014861673,1.9597454495659214,0.19750478230556,0.06178919944956269,0.20975595536354005,12.0,12.0,0.015242950003691172
52,12,12,12,2.041135549545288,38.0,0.0037293999921530485,0.009680499992100522,1.9519455314300824,0.20278346545488268,0.06303528437133311,0.21928064076944032,12.0,12.0,0.019835433338206105
