round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,8,8,8,1.8880607634782791,256.0,1.3217849249995197,0.04889803750120336,1.932266741991043,0.0627905472854322,0.01737478617177865,0.009909972320794772,8.0,8.0,0.014470924998022383
2,8,8,8,1.8746508210897446,256.0,0.006444250002459739,0.009922512495904812,1.9328503161668777,0.0627905472854322,0.01737478617177865,0.009909972320794774,8.0,8.0,0.006526812496304046
3,8,8,8,2.0123971700668335,256.0,0.00807087499924819,0.008160712501194212,1.9331247955560684,0.0627905472854322,0.01737478617177865,0.009909972320794772,8.0,8.0,0.005289337497742963
4,8,8,8,2.0136415362358093,256.0,0.007855675001337659,0.00532008750087698,1.933397501707077,0.0627905472854322,0.01737478617177865,0.009909972320794774,8.0,8.0,0.005498237498613889
5,8,8,8,1.8585649132728577,256.0,0.008775600002991268,0.00947428749896062,1.9351006597280502,0.0627905472854322,0.01737478617177865,0.009909972320794774,8.0,8.0,0.005959000000075321
6,8,8,8,1.8744494915008545,256.0,0.005623824999929639,0.004645749995688675,1.9375421851873398,0.0627905472854322,0.01737478617177865,0.009909972320794772,8.0,8.0,0.005164237500139279
7,8,8,8,1.8685882091522217,256.0,0.00787582500379358,0.005728100002670544,1.939457967877388,0.0627905472854322,0.017374786171778654,0.009909972320794772,8.0,8.0,0.0044684374988719355
8,8,8,8,1.801856517791748,256.0,0.006730400002197712,0.005494400000316091,1.942088559269905,0.06279054728543218,0.01737478617177865,0.009909972320794774,8.0,8.0,0.005389950001699617
9,8,8,8,1.868712678551674,256.0,0.007620875001521199,0.005146987497937516,1.9442463964223862,0.06279054728543218,0.017374786171778654,0.009909972320794774,8.0,8.0,0.005685037500370527
10,8,8,8,1.9915726482868195,256.0,0.009657387498009484,0.005628599999909056,1.9454450905323029,0.0627905472854322,0.01737478617177865,0.009909972320794772,8.0,8.0,0.0052965874965593684
11,8,8,8,1.8709914646451435,252.0,0.008705133336849347,0.00598801428587028,1.9463096857070923,0.0627905472854322,0.01737478617177865,0.009909972320794772,8.0,8.0,0.005594674999883864
12,8,8,8,1.869884800266575,222.0,0.07744314324510335,0.0050659270293492535,1.9480122476816177,0.0627905472854322,0.01737478617177865,0.009909972320794774,8.0,8.0,0.005587412499153288
13,8,8,8,1.168032953294657,118.0,0.0032692203369490817,0.004724789823709308,1.949124202132225,0.06279054728543221,0.01737478617177865,0.009909972320794774,8.0,8.0,0.005038662506194669
14,8,8,8,0.0,10.0,0.0004566999996313825,0.003975300001911819,1.949124202132225,0.0627905472854322,0.01737478617177865,0.009909972320794772,8.0,8.0,0.005236799997874186
