round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,8,8,8,2.002872049808502,256.0,1.5339905375003582,0.07475813749988447,1.9464294761419296,0.0627905472854322,0.020356198034769464,0.012482501671546855,8.0,8.0,0.007773512497806223
2,8,8,8,1.9796392321586609,256.0,0.1209339875022124,0.00698876250135072,1.9467289596796036,0.0627905472854322,0.02414354630741185,0.015094315318100484,8.0,8.0,0.005516800001714728
3,8,8,8,1.96279476583004,256.0,0.009643737499573035,0.006027150000591064,1.9464065730571747,0.057355764676736545,0.024494520030234314,0.01765465104659478,8.0,8.0,0.00607457500154851
4,8,8,8,1.921459287405014,256.0,0.00893697500032431,0.006156175004434772,1.9481535106897354,0.06198539430636617,0.01822862983577269,0.018568774645903563,8.0,8.0,0.0057840749959723325
5,8,8,8,1.9446875602006912,256.0,0.009066487496966147,0.006890337499498855,1.9514249712228775,0.06198539430636617,0.017909752284752285,0.018444766709395627,8.0,8.0,0.00628026249796676
6,8,8,8,1.941321313381195,256.0,0.011290287500742124,0.0073601625008450355,1.9539384841918945,0.06933833548283676,0.020871353591941828,0.031922155213817,8.0,8.0,0.006318375002592802
7,8,8,8,1.9215073138475418,256.0,0.008445312500043656,0.005599812500804546,1.9560148417949677,0.06933833548283676,0.020871353591941824,0.031922155213817,8.0,8.0,0.004754912499265629
8,8,8,8,1.9641548842191696,256.0,0.00829368749873538,0.005216900002778857,1.9589648693799973,0.06933833548283676,0.03563559262088674,0.025749315707644167,8.0,8.0,0.005995412502670661
9,8,8,8,1.9925899356603622,256.0,0.012597862501934287,0.005281262498101569,1.9598261415958405,0.07628277992728119,0.047937179922474045,0.030403508539460986,8.0,8.0,0.0070395624952652724
10,8,8,8,2.048271670937538,256.0,0.012268724998648395,0.005585437502304558,1.9585319608449936,0.07669127665930735,0.02866062314591726,0.034186816734533894,8.0,8.0,0.006098899999415153
11,8,8,8,1.8323931164211698,252.0,0.011409914286877399,0.006579258729101321,1.9580818563699722,0.06198539430636617,0.019416925666925666,0.030383258274112687,8.0,8.0,0.006177200002639438
12,8,8,8,1.6619509619635504,222.0,0.010605165767268412,0.006149224325781688,1.9609171897172928,0.06198539430636617,0.019416925666925666,0.030383258274112687,8.0,8.0,0.006362475003697909
13,8,8,8,1.0258818480928065,118.0,0.005938921189226676,0.005898294915268553,1.962839812040329,0.0689298387508106,0.0220846594270964,0.042333408704655275,8.0,8.0,0.005667575002007652
14,8,8,8,0.0,10.0,0.0008488000021316111,0.005751400007284246,1.962839812040329,0.0689298387508106,0.0220846594270964,0.042333408704655275,8.0,8.0,0.007130950001737801
