round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,29,29,29,1.7785416543483734,896.0,0.30558485714313327,0.01996385000061959,1.7865675577427658,0.23142257085900694,0.07590841389642188,0.12730248038337885,28.0,28.0,0.01310132500007707
2,29,29,29,1.778368047305516,896.0,0.011238192856970792,0.01316120714311962,1.7861518227773734,0.2309497200383764,0.07387436436033375,0.124485340132466,28.0,28.0,0.012367417857344012
3,29,29,29,1.7629910835197993,896.0,0.01106301071454904,0.014533735714784208,1.7845385610428093,0.2347439206454485,0.0743786924853919,0.12737051709151032,28.0,28.0,0.012181778570655817
4,29,29,29,1.7662220299243927,896.0,0.010104125000517732,0.011809146428536874,1.7824571896455865,0.26606529184517963,0.08359797000696809,0.15001104227137937,28.0,28.0,0.010819989286184344
5,29,29,29,1.7457856025014604,896.0,0.009107546428952316,0.010278042857472818,1.7799554873291252,0.2708940090463458,0.08219544665014426,0.14933523041765265,28.0,28.0,0.010651803570778742
6,29,29,29,1.7489817004831503,866.0,0.009090618937447432,0.00993014341730753,1.7770576358474242,0.27904341625934187,0.08776143069626303,0.15476994382991088,28.0,28.0,0.009608789285266539
7,29,29,29,1.7097031241732576,849.0,0.008878215548411797,0.011077754535235877,1.7740112425200407,0.2763249046122587,0.08579629398674525,0.15112422220994176,28.0,28.0,0.011248664286280732
8,29,29,29,1.7261870411726146,832.0,0.008787799999901416,0.0107056730770497,1.7710016458782312,0.2805572793803478,0.088596776126588,0.1629102656811078,28.0,28.0,0.014037560713924384
9,29,29,29,1.6681874624112758,820.0,0.013516440488420791,0.01714380634189072,1.7677277944147516,0.28151391203340903,0.08897081325177722,0.16383282896377646,28.0,28.0,0.01773948928608401
10,29,29,29,1.6850702335897167,799.0,0.015097371590013694,0.018755883228763235,1.7653015921916606,0.3032613610130009,0.09422618848873272,0.17670758809851378,28.0,28.0,0.01852713214222084
11,29,29,29,1.7662212094005083,714.0,0.015412608122763535,0.020258957142878065,1.7637994994664956,0.2996787437555716,0.09351721572545954,0.174568639419739,28.0,28.0,0.02028748214278104
12,29,29,29,1.6134252619922609,665.0,0.013582130677711841,0.019888458346914765,1.7630067445189999,0.3026101794877592,0.0958148750594388,0.1773075613196792,28.0,28.0,0.018434749999609527
13,29,29,29,1.7711748784902144,588.0,0.017714956462985938,0.022588125169350447,1.7631153162414983,0.30937038356939184,0.09902716522286202,0.18692721382544744,28.0,28.0,0.017372489286052378
14,29,29,29,1.665941573162468,490.0,0.014157987958071539,0.01899728408093417,1.7633361271933041,0.3121098757156636,0.1010616594515227,0.19252503253900252,28.0,28.0,0.01598234285847866
15,29,29,29,1.438393190292056,353.0,0.012026346459616736,0.018694508497620718,1.7624947328376788,0.3183602482760762,0.10947854044396015,0.2057355016796559,28.0,28.0,0.013112239285484455
16,29,29,29,1.6240702259297273,245.0,0.011267225713230317,0.01951643755039965,1.7609715467306484,0.31985637806500317,0.10399682664798549,0.2086938356740377,28.0,28.0,0.016890000000005654
17,29,29,29,1.2520558086793814,134.0,0.010017816419865233,0.017240964178796926,1.7593461663468617,0.3180891789956367,0.10359861745706411,0.2082236564332855,28.0,28.0,0.015160539285716368
18,29,29,29,1.719562570254008,96.0,0.012722433333692607,0.021405833336757496,1.7562167889649278,0.3196871737401223,0.11360369380731761,0.21226022874166867,28.0,28.0,0.016348203571137025
19,29,29,29,1.6052205827501085,72.0,0.01220833333597208,0.017433144444819644,1.752119897274129,0.30907137702122256,0.11485310486485296,0.21052440860974322,28.0,28.0,0.01570270714208683
20,29,29,29,1.8045387268066406,64.0,0.012708449998172,0.017117399998824112,1.7468996361444027,0.300197362024866,0.10994051847277743,0.20226321862991523,28.0,28.0,0.015143967857251741
21,29,29,29,0.8482927416191727,61.0,0.011420760658468487,0.024836050818238187,1.743778947263232,0.2809396421689057,0.1010741239076307,0.18863471909682142,28.0,28.0,0.018409214286033863
22,29,29,29,1.837726354598999,32.0,0.014861199997540098,0.017457000001741108,1.7381513274934481,0.2833393895042349,0.10403233193382745,0.1908691093671576,28.0,28.0,0.01739212500069698
23,29,29,29,2.078925848007202,32.0,0.014355100000102539,0.025696999997308012,1.7327674633765182,0.2758953824948838,0.09582347546788796,0.1800223043936149,28.0,28.0,0.01763896071419627
24,29,29,29,2.0398495197296143,32.0,0.016606299999693874,0.022274599999946076,1.7263618012485122,0.31751044067985223,0.10486670488167851,0.2166658695394372,28.0,28.0,0.01811876428629538
25,29,29,29,0.0,4.0,0.0013164999982109293,0.0191768000004231,1.7263618012485122,0.3175104406798521,0.10486670488167849,0.21666586953943726,28.0,28.0,0.018015339285609246
