round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,29,29,29,1.803567303078515,896.0,0.2833057107145578,0.019661642858149468,1.7968613971607785,0.2939635859829477,0.0904479414856096,0.15547256566575224,28.0,28.0,0.011692825000084537
2,29,29,29,1.8143154820012306,965.0,0.005779143314622524,0.013358805077726509,1.797265885958377,0.29396358598294764,0.09044794148560957,0.15547256566575227,28.0,28.0,0.011477989284685464
3,29,29,29,1.8116138314550785,1027.0,0.005738191138613473,0.01220341275628533,1.7980492876402752,0.2939635859829477,0.0904479414856096,0.1554725656657522,28.0,28.0,0.011332039286311815
4,29,29,29,1.7857215479016304,1104.0,0.005384409512013614,0.010922448188664377,1.7969174094528209,0.2939635859829477,0.09044794148560956,0.15547256566575227,28.0,28.0,0.010633121428846997
5,29,29,29,1.765821849475904,1143.0,0.00571650297494089,0.010818203412263366,1.7951041588678538,0.2939635859829477,0.09044794148560957,0.15547256566575227,28.0,28.0,0.0104223428570549
6,29,29,29,1.7162362713336514,1109.0,0.005124047970927224,0.010582685661776687,1.7928957763905422,0.29396358598294764,0.0904479414856096,0.15547256566575224,28.0,28.0,0.010320739285816671
7,29,29,29,1.6833099797561237,1157.0,0.005381174503472233,0.0102189139150789,1.7902607317947443,0.2939635859829477,0.0904479414856096,0.15547256566575224,28.0,28.0,0.010161407141952492
8,29,29,29,1.710109407587569,1161.0,0.005936932557668931,0.010545768648170969,1.7869400787723895,0.2939635859829477,0.0904479414856096,0.15547256566575227,28.0,28.0,0.010840628571323967
9,29,29,29,1.6928835251312655,1149.0,0.005697240731589236,0.010782981811229502,1.7833724062661969,0.2939635859829477,0.0904479414856096,0.15547256566575224,28.0,28.0,0.010476621429136555
10,29,29,29,1.6872830876320466,1115.0,0.006152828431084246,0.011878162690747901,1.7800073219060413,0.2939635859829477,0.0904479414856096,0.15547256566575227,28.0,28.0,0.013241971429774171
11,29,29,29,1.6073960650135095,1065.0,0.008266983004347006,0.019709421314453236,1.7762510428735379,0.29396358598294764,0.0904479414856096,0.15547256566575224,28.0,28.0,0.015576800000417279
12,29,29,29,1.6161663591800965,981.0,0.008832925178488445,0.01761244006149102,1.7724375605569327,0.2939635859829477,0.09044794148560957,0.15547256566575227,28.0,28.0,0.01740611428587207
13,29,29,29,1.6314189491403062,873.0,0.00970110297825646,0.022393626346819132,1.7686932224730385,0.29396358598294764,0.09044794148560957,0.15547256566575224,28.0,28.0,0.016418253571048678
14,29,29,29,1.5608919382407813,763.0,0.008646758192340596,0.01971210760160088,1.7653817426229705,0.2957643062710629,0.0966707113708827,0.1672568864746237,28.0,28.0,0.01665750357174797
15,29,29,29,1.5131753466731712,562.0,0.007638231137805963,0.018881495906838304,1.7621040846788198,0.3236621433586742,0.12866768251547353,0.19519602084366627,28.0,28.0,0.015200517857010709
16,29,29,29,1.4705268300897358,389.0,0.006983555269532042,0.01705545938122182,1.7591891878468235,0.361395574639733,0.17200185021224254,0.2315338801921861,28.0,28.0,0.015293489285405875
17,29,29,29,1.2117341785896114,246.0,0.005717456096364942,0.017708387805931685,1.7558633899824723,0.36682070621825263,0.17567841097751286,0.2408798214640724,28.0,28.0,0.015919421428147222
18,29,29,29,1.6039256652196248,144.0,0.007561399999152248,0.01721930000106416,1.7509244281554355,0.36902852105150313,0.1788361051123267,0.2536714068883578,28.0,28.0,0.015587117856869424
19,29,29,29,1.277967596054077,120.0,0.0056781600011163395,0.016694840000127442,1.7463638073066312,0.4311814290398081,0.28343339863498024,0.3110397712161817,28.0,28.0,0.01579870357168797
20,29,29,29,1.6426451206207275,96.0,0.006975349999265745,0.019713549998414237,1.738889802178721,0.4215891857003976,0.2707802465846807,0.29969931974918695,28.0,28.0,0.01605197500014453
21,29,29,29,1.6472565743231005,93.0,0.009274225805946175,0.01939256774424012,1.7312252080855441,0.41433911426236375,0.2615389531255128,0.29172377713232095,28.0,28.0,0.0175614750008078
22,29,29,29,1.6579772233963013,48.0,0.010558900001342408,0.02347359999839682,1.724763166925462,0.4029936546972254,0.2535646766758986,0.2823414230338746,28.0,28.0,0.015931396428641165
23,29,29,29,1.6512316465377808,48.0,0.009578099998179823,0.02739350000047125,1.7138218126300122,0.40976630103588596,0.2663369300642161,0.2842258994112145,28.0,28.0,0.01856642499998478
24,29,29,29,1.6594343185424805,48.0,0.00948449999850709,0.025270899997849483,1.7035251060956167,0.4093811328175275,0.27167515382488006,0.28240178766520435,28.0,28.0,0.018491450000510667
25,29,29,29,0.0,20.0,0.0010847000012290664,0.02308199999970384,1.7035251060956165,0.4093811328175275,0.27167515382488,0.28240178766520435,28.0,28.0,0.016929046428621013
