round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,29,29,29,1.7677631080150604,896.0,0.296796210714092,0.011192182143141898,1.7744068564165076,0.295361325527724,0.09476264381589129,0.1579149770363237,28.0,28.0,0.00902002857167515
2,29,29,29,1.7455669597022891,965.0,0.004441827980254371,0.009401187978198128,1.7713058835577455,0.29396358598294764,0.09044794148560957,0.15547256566575227,28.0,28.0,0.008830142856822931
3,29,29,29,1.7393574288664448,1027.0,0.004303474488700506,0.008940026290742966,1.7674170092549841,0.29396358598294764,0.0904479414856096,0.15547256566575227,28.0,28.0,0.009395539285573509
4,29,29,29,1.690386821826299,1104.0,0.0041973964670749256,0.008572540308224246,1.7634959379350321,0.29396358598294764,0.09044794148560957,0.15547256566575224,28.0,28.0,0.00902319285757715
5,29,29,29,1.6834726397238169,1143.0,0.00411606071677821,0.008846004286586724,1.7601025983490006,0.2939635859829477,0.09044794148560957,0.15547256566575227,28.0,28.0,0.009017328571384755
6,29,29,29,1.6324488229854779,1109.0,0.004230480523648457,0.008424076374674891,1.7571440548864843,0.2939635859829477,0.09044794148560957,0.15547256566575224,28.0,28.0,0.009746539286165248
7,29,29,29,1.641099384764504,1157.0,0.004127524632460687,0.008785663785657108,1.7545073173999268,0.29396358598294764,0.0904479414856096,0.15547256566575224,28.0,28.0,0.01031742857100783
8,29,29,29,1.688779349577622,1161.0,0.004338165289229247,0.009012599913442498,1.7517618058983377,0.33520864869756467,0.17859899352649614,0.2007910069186836,28.0,28.0,0.009980082142906863
9,29,29,29,1.6769480330722035,1149.0,0.004298449086921624,0.008661355003526869,1.749212563641184,0.3500485156425218,0.19286092530036295,0.21156608391189252,28.0,28.0,0.009053653571754694
10,29,29,29,1.7054500607631666,1115.0,0.004814645290775945,0.009846402421547204,1.747280628788887,0.351160540901584,0.19382290568511887,0.21226043038369638,28.0,28.0,0.010417100000008108
11,29,29,29,1.613421956362299,1065.0,0.004748972676476592,0.01128665446065352,1.7452081027512636,0.3527509883080287,0.1927845281329941,0.21158252422003967,28.0,28.0,0.009291428571356977
12,29,29,29,1.6691658457970886,981.0,0.005375572476916314,0.01270922018397011,1.7433425053408096,0.3529341384911789,0.18755767992179265,0.21031326268089576,28.0,28.0,0.01071764999973571
13,29,29,29,1.7020866730232282,873.0,0.004993987399374974,0.012503379954362594,1.7422887127472406,0.35293413849117894,0.18755767992179262,0.21031326268089576,28.0,28.0,0.012454492857744168
14,29,29,29,1.6536633121545474,763.0,0.004486838008073734,0.0124718682830797,1.74134298749938,0.3529341384911789,0.1875576799217926,0.21031326268089576,28.0,28.0,0.012633503572163005
15,29,29,29,1.5870006546855397,562.0,0.005303653202677731,0.016033248753386638,1.740388680459482,0.3529341384911789,0.18755767992179262,0.21031326268089576,28.0,28.0,0.015873199999987264
16,29,29,29,1.5438777511714357,389.0,0.00589689357333564,0.016699839847117176,1.7401160984829331,0.35311728867432907,0.18722007955014291,0.21029990633647003,28.0,28.0,0.015897310714665634
17,29,29,29,1.2956205935982186,246.0,0.004939902437355358,0.016581980486050706,1.739095172077415,0.3547784182424354,0.18889651691964154,0.2113350070074183,28.0,28.0,0.014812535714944326
18,29,29,29,1.7264941930770874,144.0,0.006195233334437944,0.013972199999746712,1.7370287378422316,0.35477841824243544,0.1884805329108701,0.21128614008995664,28.0,28.0,0.016784703571309883
19,29,29,29,1.406458854675293,120.0,0.004728720002458431,0.013418860000092537,1.7370157985957257,0.3547784182424354,0.18835265076834468,0.21127177367335612,28.0,28.0,0.015773053571267934
20,29,29,29,1.7886572480201721,96.0,0.006195799996930873,0.013570299997809343,1.7378234175597675,0.35477841824243544,0.1884805329108701,0.2112861400899566,28.0,28.0,0.014627542856552671
21,29,29,29,1.7315639449704079,93.0,0.005818567743136232,0.013675054838278166,1.7390522382727587,0.35441398675555497,0.18812977927872046,0.21108539480597485,28.0,28.0,0.01563802500017378
22,29,29,29,1.7765123844146729,48.0,0.006100899998273235,0.016441299994767178,1.7395314669110802,0.35275285718744864,0.1865972952251453,0.21006624000417107,28.0,28.0,0.012888317857557143
23,29,29,29,1.7637426853179932,48.0,0.004918200000247452,0.014477999997325242,1.7387391687738456,0.35265361153385216,0.18713392680233146,0.21073426347879312,28.0,28.0,0.013161160714714373
24,29,29,29,1.7861087322235107,48.0,0.005939200003922451,0.013997599999129307,1.736153543223441,0.3526480171908518,0.19161203202030877,0.2126092091727457,28.0,28.0,0.015077649999251921
25,29,29,29,0.0,20.0,0.0006559999965247698,0.02039419999346137,1.736153543223441,0.3526480171908518,0.19161203202030874,0.2126092091727457,28.0,28.0,0.014939935713950294
