round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,60,60,60,1.6423968613147735,1920.0,0.1991590899999816,0.020545428333086115,1.6090285788703853,0.06567481753279068,0.026350987091322855,0.02444999720116325,60.0,60.0,0.012814584999675086
2,60,60,60,1.6121159700441132,1889.0,0.005906595340346924,0.011874259133281998,1.6073230244126742,0.4272177547523364,0.18139127322981155,0.2880583326163977,60.0,60.0,0.008939506666501984
3,60,60,60,1.6251889842972524,1837.0,0.005611603211099586,0.00946738214322682,1.6053556106547064,0.4272177547523364,0.1813912732298116,0.2880583326163976,60.0,60.0,0.009462981667456915
4,60,60,60,1.5610953427527983,1798.0,0.005409870799494264,0.009330488654134926,1.603932662319511,0.4272177547523363,0.18139127322981155,0.2880583326163977,60.0,60.0,0.008509174999198876
5,60,60,60,1.6092313927286404,1708.0,0.0061030025755541084,0.009602199999875372,1.6022841515009385,0.4272177547523363,0.18139127322981158,0.2880583326163977,60.0,60.0,0.01048823333355055
6,60,60,60,1.550404263887575,1631.0,0.006312664499771376,0.011104239669379623,1.6007713569115418,0.42721775475233625,0.18139127322981158,0.2880583326163977,60.0,60.0,0.011366990000290874
7,60,60,60,1.4752162461695464,1472.0,0.005689620313413126,0.01168637309862551,1.5991246746929286,0.4272177547523363,0.18139127322981158,0.2880583326163977,60.0,60.0,0.00901747333361224
8,60,60,60,1.5323367176986322,1312.0,0.005726515168024024,0.011812314558583017,1.5970671332848583,0.4272177547523363,0.18139127322981158,0.2880583326163977,60.0,60.0,0.00956008499924792
9,60,60,60,1.5479661512744518,1161.0,0.0053156326439632315,0.010846027650708042,1.595395588071658,0.4272177547523364,0.18139127322981155,0.28805833261639774,60.0,60.0,0.009602620001290536
10,60,60,60,1.5318905661039264,1070.0,0.005455557291222427,0.010765746166936674,1.5941482314509194,0.4272177547523365,0.18139127322981158,0.28805833261639774,60.0,60.0,0.009402650000265567
11,60,60,60,1.4848039831433977,896.0,0.00528804062456142,0.011551112052269932,1.5933170869026505,0.4272177547523363,0.18139127322981158,0.2880583326163977,60.0,60.0,0.010407725000792805
