round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,60,60,60,1.6396714568138122,1920.0,0.23964480499877633,0.020615978333565484,1.6098359687805412,0.19075170717970824,0.08887094908199371,0.10157773029135007,60.0,60.0,0.010196530000636509
2,60,60,60,1.5773451740997944,1889.0,0.004914302381327205,0.00981787332009954,1.6091633103228526,0.19075170717970827,0.08887094908199371,0.10157773029135007,60.0,60.0,0.008924730000338362
3,60,60,60,1.5772120538585914,1837.0,0.005053905008254785,0.009512263854150787,1.608687980197596,0.19075170717970824,0.08887094908199372,0.10157773029135007,60.0,60.0,0.007856088332725145
4,60,60,60,1.5170705326407055,1798.0,0.005438556175902216,0.010530516073604718,1.6084911410805114,0.19057626858321702,0.08881904332100063,0.10151435062529535,60.0,60.0,0.009350853332822833
5,60,60,60,1.5695532166706594,1708.0,0.005654699531704431,0.011220365808854115,1.6083961436915486,0.19075170717970824,0.08887094908199371,0.10157773029135007,60.0,60.0,0.009232899999430326
6,60,60,60,1.5093862555788602,1631.0,0.005011305518716444,0.00930422777401019,1.6084762131085266,0.19035157537158323,0.08479804405734885,0.10139250839734608,60.0,60.0,0.008735648334065142
7,60,60,60,1.4488829400228418,1472.0,0.004521867187359812,0.010104572010860742,1.6090121018746713,0.1899667749867828,0.08301508699073017,0.10123359025992461,60.0,60.0,0.009142356666173631
8,60,60,60,1.5191579882691546,1312.0,0.004614900989941461,0.00980548399471312,1.609017024039465,0.18925590677885445,0.0828604876873464,0.10096018403905999,60.0,60.0,0.01137700000035693
9,60,60,60,1.5234439498283656,1161.0,0.005793741429801673,0.01262959552109386,1.6088997232183029,0.18712822046414415,0.07857933261023843,0.10021264589489362,60.0,60.0,0.00923707999997229
10,60,60,60,1.5227753291620272,1070.0,0.004546726447591018,0.01093890700934272,1.608954605647483,0.18254278003747534,0.07654210116935566,0.09831685952203892,60.0,60.0,0.008072976666638473
11,60,60,60,1.4987895318440028,896.0,0.003983608926416439,0.008753032585543354,1.6088682418575666,0.17232211032085473,0.07162398705370028,0.09462598229880194,60.0,60.0,0.008013988332337855
12,60,60,60,1.4568425067059405,770.0,0.00358512103888312,0.008567812079590195,1.6080400087100624,0.1610004373979138,0.0659722424648025,0.08974284398997977,60.0,60.0,0.008323270000012902
13,60,60,60,1.3293156176805496,512.0,0.003347124218294084,0.009171799998654251,1.6066527601673215,0.15410211814033886,0.06386852048601523,0.08734144462959119,60.0,60.0,0.00957731666591523
14,60,60,60,1.435496557326544,399.0,0.0036940962417701256,0.008945691229868621,1.6056873875019284,0.14807610026950804,0.06227666274583683,0.08489873173569862,60.0,60.0,0.010030625000217697
15,60,60,60,1.5567818060760001,307.0,0.004427134528870282,0.010720455370701588,1.6045979384065834,0.14149096496508795,0.05904449768668706,0.0823031466369796,60.0,60.0,0.00870265999910771
16,60,60,60,1.5568951832164417,275.0,0.003854889816826802,0.009883653089372356,1.6022406936492486,0.1408650985785126,0.06376532941265381,0.08579098530282683,60.0,60.0,0.007858679998995892
17,60,60,60,1.299488301179847,245.0,0.003143266940130662,0.012322304085697693,1.601330934099495,0.14533666139467627,0.06886388915581329,0.09043697136471132,60.0,60.0,0.008782013331801864
18,60,60,60,1.6201724781709559,170.0,0.004149694112814305,0.011290004705455537,1.5998147449989675,0.14861313800484807,0.07192541166167096,0.09395335847580566,60.0,60.0,0.010466271666761411
19,60,60,60,1.7482117414474487,160.0,0.00412032000022009,0.012181320003583096,1.59830867984434,0.306591083825327,0.1836284791067344,0.2062258506593236,60.0,60.0,0.008203978334495331
20,60,60,60,1.7071678400039674,160.0,0.0036865999980363997,0.009528300000238233,1.5971316650078324,0.15553877472911135,0.06662403171142778,0.09463041257298091,60.0,60.0,0.007292724999327523
21,60,60,60,1.7187390089035035,160.0,0.0035373199993046,0.010536539999884553,1.596687001687176,0.16408589778291813,0.07009244590217016,0.10234965769670337,60.0,60.0,0.008404256666593331
22,60,60,60,1.6469058036804198,160.0,0.003969760003383271,0.010859400001936591,1.5958469523542225,0.17544879466476038,0.0733457905056618,0.11002575666350808,60.0,60.0,0.010453935001714853
23,60,60,60,1.6246808767318726,160.0,0.004404359997715801,0.011349179997341707,1.5937452867273352,0.1877823976996823,0.0780936496505113,0.11713709318749384,60.0,60.0,0.009239761665958213
24,60,60,60,1.5487483248991125,136.0,0.004060276466428631,0.010155017642639852,1.5926070531456884,0.2439537286039256,0.11760124431808432,0.1582448090612975,60.0,60.0,0.008843713333286965
25,60,60,60,1.389690601720219,113.0,0.0033205920352345018,0.01039727876401729,1.590223025387729,0.24752072042209466,0.12157149260668884,0.166228716958056,60.0,60.0,0.007702078334356581
26,60,60,60,1.680895447731018,96.0,0.003745066666548761,0.011742400000609146,1.5867508200668277,0.25003274502025863,0.1242183995268197,0.1690803745656723,60.0,60.0,0.010304746664769483
27,60,60,60,1.6175922047008167,66.0,0.004095472725263487,0.012419345453963615,1.5858910050844353,0.2539667987650786,0.12571984496747554,0.17483648081217093,60.0,60.0,0.009065518331772182
28,60,60,60,1.5952351689338684,64.0,0.0038795000000391155,0.01212015000055544,1.5830138655031907,0.2510605499897113,0.12780047518152945,0.16882568399671438,60.0,60.0,0.010019683333181699
29,60,60,60,0.9197186061314174,56.0,0.002393800002339828,0.012252399999332348,1.582091248669742,0.25454443019742473,0.12992411310435964,0.17456877224524703,60.0,60.0,0.010584053332422627
30,60,60,60,1.5631656646728516,32.0,0.004567700001643971,0.023585999995702878,1.579110684325565,0.19701819574211094,0.09509957886924494,0.1217524653861958,60.0,60.0,0.008956675001293964
31,60,60,60,1.574912667274475,32.0,0.004202299998723902,0.01437669999722857,1.582303201831972,0.24387634664100363,0.11805989788700147,0.14827149491101313,60.0,60.0,0.00688996999936838
32,60,60,60,1.529685616493225,32.0,0.004399800003739074,0.012006400007521734,1.5814163242580228,0.2393789114952808,0.11526847994289566,0.14580867592440847,60.0,60.0,0.009345566665676113
33,60,60,60,1.5767027139663696,32.0,0.0033780999947339296,0.012226999999256805,1.5756117014347566,0.238118618498885,0.12083860986414968,0.1560167068208573,60.0,60.0,0.010347998333600117
34,60,60,60,1.539541244506836,32.0,0.004183099998044781,0.014443100008065812,1.572730353693275,0.23637472243776408,0.1216727520713328,0.16733028160314198,60.0,60.0,0.00996351333402951
35,60,60,60,1.50596284866333,32.0,0.004982900005416013,0.012892699989606626,1.5714275856772468,0.2270365043853223,0.1198954774219337,0.16957956903824123,60.0,60.0,0.009553758331458084
36,60,60,60,1.5111873149871826,32.0,0.005397600005380809,0.015363900005468167,1.5686827106091992,0.22043166873534378,0.12222527184214886,0.17655592450702867,60.0,60.0,0.00847407833231652
37,60,60,60,1.4802987575531006,32.0,0.003465000001597218,0.01193730000522919,1.5665790905711559,0.20990524764212207,0.12103083593546875,0.1748421100038991,60.0,60.0,0.010815801666952514
38,60,60,60,0.0,7.0,0.00041170000622514635,0.013634400005685166,1.566579090571156,0.20990524764212204,0.12103083593546878,0.17484211000389913,60.0,60.0,0.008608988333435263
