round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,60,60,60,1.608941384156545,1920.0,0.23908664666644958,0.02795184999946893,1.6060494038386421,0.24888030768616867,0.11445051919436121,0.1481580326815681,60.0,60.0,0.010427290000128172
2,60,60,60,1.570364898067735,1889.0,0.010650128587923132,0.012115552461887103,1.605478244409641,0.24570569210741072,0.11140906841591931,0.1506264461432672,60.0,60.0,0.010921491667977535
3,60,60,60,1.5770069323743758,1837.0,0.009057390582064284,0.009862152692589924,1.604887184656053,0.23107655529589177,0.10446517026274615,0.14254556680264413,60.0,60.0,0.009448698332804876
4,60,60,60,1.518419881020823,1798.0,0.00928347903184732,0.00989149076828124,1.6042137947890887,0.24494532613786743,0.11508336908231806,0.15563863090661212,60.0,60.0,0.008939328335691244
5,60,60,60,1.5706037659834922,1708.0,0.00967832482504425,0.011050332786273527,1.6031363644011634,0.260509407270644,0.118689320524918,0.1638587300399723,60.0,60.0,0.009105801666495002
6,60,60,60,1.5215749968640429,1631.0,0.010617946964648057,0.012262951870889138,1.6013694189171015,0.26768971616939824,0.12730060553215677,0.17244690625228198,60.0,60.0,0.010617821665073279
7,60,60,60,1.428984134093575,1472.0,0.010088962568162337,0.01330241419715173,1.5994418043148309,0.2785386599037781,0.13032177639062506,0.1829820705529427,60.0,60.0,0.013557219998862518
8,60,60,60,1.5033713521026983,1312.0,0.008825745427391046,0.012054171037894643,1.5971500465466923,0.28594443216572507,0.13400387284403345,0.18802383820189444,60.0,60.0,0.00915001333366187
9,60,60,60,1.517932024421002,1161.0,0.009299761670303986,0.012227256760919871,1.5947820689993981,0.2881787905727015,0.13530828386567467,0.19342384416000497,60.0,60.0,0.009752981665709133
10,60,60,60,1.4906623056001753,1070.0,0.008670542711309357,0.012331047288830844,1.59272241932525,0.2858172183605855,0.13683047047461525,0.19480084157493593,60.0,60.0,0.009583166666561737
11,60,60,60,1.459174143416541,896.0,0.009008621426508918,0.013232395535169417,1.5911918930309688,0.2825701121337766,0.13649288397281342,0.19545122152229724,60.0,60.0,0.008046298333162364
12,60,60,60,1.3895154829149123,770.0,0.008428984157651868,0.013651675454495088,1.5901158870205347,0.2879298674776247,0.1416219229767949,0.20407483877486013,60.0,60.0,0.010319876666471828
13,60,60,60,1.2976524084806442,512.0,0.007676874803593137,0.013687171486395755,1.5893530712807227,0.2925163766822029,0.14540893136165806,0.2088576807509988,60.0,60.0,0.012036134999167796
14,60,60,60,1.4267685108615042,399.0,0.008677225813167789,0.01660006766596005,1.5884864186667331,0.2916951518025726,0.14179148838376548,0.20775926942496362,60.0,60.0,0.0098263750000721
