round,n_clients_total,n_clients_train_selected,n_clients_eval_selected,train_loss,num_train_examples,fit_duration_sec,local_eval_duration_sec,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,num_val_examples,num_eval_clients,eval_duration_sec
1,60,60,60,1.6522152125835419,1920.0,0.23012358666601357,0.035619176666417236,1.5985109484163018,0.4272177547523363,0.18139127322981155,0.2880583326163977,60.0,60.0,0.010410748333864224
2,60,60,60,1.6086437110920029,1992.0,0.006101717319303046,0.010811730421799979,1.600528082980645,0.4272177547523364,0.18139127322981158,0.2880583326163977,60.0,60.0,0.009880231666465988
3,60,60,60,1.619395435910328,2036.0,0.006444682220354643,0.01149286895815034,1.602373483157886,0.0658756207456421,0.026567693159092753,0.024794638176411758,60.0,60.0,0.010673773333110148
4,60,60,60,1.6374533310505428,2196.0,0.005757439071765008,0.010380483971405494,1.6034167067487808,0.06407738301861458,0.025356730048129647,0.02296221298248419,60.0,60.0,0.011109674999655301
5,60,60,60,1.636202644989285,2136.0,0.006134328182968411,0.011230953698495217,1.6036454236700741,0.06308235814299269,0.025193748997485756,0.022747616290543626,60.0,60.0,0.009742366666372012
6,60,60,60,1.5937014303147008,2053.0,0.006100925768031675,0.011398733853345716,1.603446033702043,0.06308235814299268,0.025165118117997785,0.02270571482913904,60.0,60.0,0.013215453333153467
7,60,60,60,1.5659541789848026,2020.0,0.0060879833175265345,0.011215806336222519,1.6031309409055559,0.06345549247135089,0.025258816305648666,0.022856073348363964,60.0,60.0,0.010370799999509472
8,60,60,60,1.6100721318497617,1755.0,0.005394869573715148,0.009762324558811772,1.6025903657190372,0.06357987058080364,0.02527965708256847,0.022895567717730627,60.0,60.0,0.008875604999047937
9,60,60,60,1.532535964032273,1611.0,0.006782054190418708,0.012970922222123007,1.602010365423877,0.06333111436189816,0.025216001427957,0.02280903014052716,60.0,60.0,0.010478894999202263
10,60,60,60,1.550321746794469,1474.0,0.005944343215761516,0.012282086701196805,1.6010467807523334,0.06221171137682354,0.025022060281542403,0.022548919520460366,60.0,60.0,0.00988142833278592
11,60,60,60,1.464536296479321,1345.0,0.005425234797004295,0.01235873657980887,1.6000807532701216,0.0607191740633907,0.024440632749608827,0.021728280351143263,60.0,60.0,0.010417401666927617
12,60,60,60,1.5387065455149196,1151.0,0.005254535620253724,0.011323758991903259,1.5987362317235523,0.0597241491877688,0.023822993220678976,0.02084330430969154,60.0,60.0,0.010223558332654648
13,60,60,60,1.357711810467428,813.0,0.0047428147596831755,0.012588075766270307,1.5971408398372935,0.0593510148594106,0.02345398051295659,0.02031456968370126,60.0,60.0,0.008832370000406323
14,60,60,60,1.5411889370125118,606.0,0.005121127721506229,0.012418553466145402,1.5952571086800569,0.0593510148594106,0.02348245405443617,0.020342916568188756,60.0,60.0,0.009110948332818225
15,60,60,60,1.5363203746603695,467.0,0.0050040648782930415,0.013765456959255223,1.5931241907622256,0.05922663674995786,0.02334842165133304,0.020128424413273893,60.0,60.0,0.011152563333356132
16,60,60,60,1.534128220951927,419.0,0.005530797610940692,0.013444802385623187,1.5906394571114684,0.0593510148594106,0.023536327046049063,0.020333143579663107,60.0,60.0,0.00981542666850146
17,60,60,60,1.527454028180713,373.0,0.005719400532375123,0.014906602679444702,1.5875562913638765,0.06034603973503249,0.024307936808016337,0.02142161867425656,60.0,60.0,0.009974028332605182
18,60,60,60,1.3659977303411728,266.0,0.004849330079982484,0.014156142857382634,1.5838141873385256,0.06258484570518173,0.025173383158225378,0.022650963801654996,60.0,60.0,0.010765495000669034
19,60,60,60,1.5090949058532714,240.0,0.006254139999509789,0.01975137999688741,1.5800994912598993,0.0646513205598242,0.02588304845294267,0.02366455921871999,60.0,60.0,0.009582555001058306
20,60,60,60,1.4924860000610352,240.0,0.006312440003966913,0.02056614000175614,1.5760352024926592,0.06678537918237408,0.028450810892766295,0.026889650785449148,60.0,60.0,0.010571283333896038
21,60,60,60,1.5012910604476928,240.0,0.006217259998084046,0.017055219996836967,1.5715719617786024,0.07516179106795699,0.03404257482201689,0.03829394254320835,60.0,60.0,0.011119613333721644
22,60,60,60,1.4671897649765016,240.0,0.005571960000088439,0.01513299999642186,1.567060916144338,0.09728895836732378,0.04522433598570716,0.058509630328511184,60.0,60.0,0.00878021333386035
23,60,60,60,1.4867766618728637,240.0,0.004832440000609495,0.014028880003024824,1.5615530854248647,0.149197940611654,0.07340217286849385,0.10737236303241077,60.0,60.0,0.008899743332585785
24,60,60,60,1.3101162645551894,216.0,0.004535222222330049,0.012556888889068633,1.5560507826993633,0.2233386157308038,0.11038070017464642,0.17620322876320407,60.0,60.0,0.011082414999206473
25,60,60,60,1.4796728320040946,177.0,0.005045791521621079,0.016412545765811276,1.548621242069658,0.30149635252082196,0.14555522024015788,0.24230098948626497,60.0,60.0,0.009237663333381836
26,60,60,60,1.4854635794957478,144.0,0.00601486666710116,0.01741819999491175,1.5406712562652833,0.3423834905364548,0.1660337639849727,0.2824549425021613,60.0,60.0,0.009786678333572734
27,60,60,60,1.2220490606207597,114.0,0.005435831584403978,0.019050763158654598,1.5325496192531896,0.37109850170513503,0.18201466263790608,0.31065084674718,60.0,60.0,0.010959435000647015
28,60,60,60,1.438786506652832,96.0,0.0063238500006264076,0.02411040000151843,1.5212095111731867,0.4144495627938472,0.21840011614530216,0.3534535206982638,60.0,60.0,0.012578756666819875
29,60,60,60,1.448298606005582,88.0,0.006462318178488535,0.016322945452305827,1.509621063899439,0.4477185014127816,0.24658767889304706,0.3861391702460735,60.0,60.0,0.013677768331156888
30,60,60,60,1.4657211303710938,48.0,0.006064300003345124,0.018096599989803508,1.4952843107148037,0.4818544976571596,0.2688551624400519,0.41401889015880106,60.0,60.0,0.010008630000569004
31,60,60,60,1.4485688209533691,48.0,0.005080399991129525,0.022693899998557754,1.482522576445492,0.48165824882805036,0.2651597814654882,0.4106425555003744,60.0,60.0,0.011520648333680583
32,60,60,60,1.4414094686508179,48.0,0.008888099997420795,0.023340099985944107,1.468523712466058,0.48124097612625005,0.26369602774621664,0.4093122547355149,60.0,60.0,0.010463811666704714
33,60,60,60,1.434373140335083,48.0,0.004687299995566718,0.022902099997736514,1.453484150994852,0.48082469430686825,0.26359188899787367,0.40779436589360823,60.0,60.0,0.010997678332932992
34,60,60,60,1.4180070161819458,48.0,0.006693200004519895,0.02335970000422094,1.4383935019519531,0.476546906762081,0.2561098385513223,0.40069876881330757,60.0,60.0,0.009661866665798395
35,60,60,60,1.4021658897399902,48.0,0.00663160000112839,0.022894499998074025,1.4203764061968966,0.4765129981999766,0.25463620264933334,0.40036201244310266,60.0,60.0,0.011341028332632655
36,60,60,60,1.362133264541626,48.0,0.005332500004442409,0.026734300001407973,1.4057424608242273,0.46806711952448127,0.2440514876709056,0.388892800009739,60.0,60.0,0.013478979999975611
37,60,60,60,1.376288890838623,48.0,0.00913550000404939,0.03529240000352729,1.3879044482890917,0.45849685537906565,0.23020625517531068,0.3746856224042368,60.0,60.0,0.014850980000483105
38,60,60,60,0.0,23.0,0.0007649999897694215,0.0371000000013737,1.3879044482890912,0.4584968553790657,0.23020625517531063,0.37468562240423675,60.0,60.0,0.011093030000241318
