client_id,role,train_output_file,val_output_file,test_output_file,filename,dataset,placement,sensor_cols,n_rows,n_sensor_cols,n_windows_total,n_windows_train,n_windows_val,n_windows_test,n_classes_present,n_train_segments,n_val_segments,train_class_counts,val_class_counts,train_classes_before,val_classes_before,rescued_classes,val_rescued_classes,cannot_rescue_to_val,train_classes_after,val_classes_after,sampling_rate_hz,window_seconds,overlap_ratio,window_size_samples,step_size_samples,converted_units,already_gravity_removed,gravity_removed_here,acceleration_unit_after,acceleration_signal_after,norm_min,norm_max,norm_target_range
0,train,client_000_train.npz,client_000_val.npz,,user_1.csv,HAPT,waist,"['acc_mag', 'acc_mag_std']",10187,2,152,118,33,0,6,1,1,"[10, 9, 19, 18, 22, 40]","[10, 10, 1, 1, 1, 10]","[0, 1, 2, 3, 4, 5]","[0, 1, 5]",[],"[2, 3, 4]",[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[0.0015259170904755592, 0.0]","[16.219633102416992, 3.8513519763946533]","[-1.0, 1.0]"
1,test,,,client_001_test.npz,user_10.csv,HAPT,waist,"['acc_mag', 'acc_mag_std']",8717,2,124,0,0,124,6,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[0.0015259170904755592, 0.0]","[16.219633102416992, 3.8513519763946533]","[-1.0, 1.0]"
2,test,,,client_002_test.npz,user_11.csv,HAPT,waist,"['acc_mag', 'acc_mag_std']",9301,2,135,0,0,135,6,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[0.0015259170904755592, 0.0]","[16.219633102416992, 3.8513519763946533]","[-1.0, 1.0]"
3,train,client_003_train.npz,client_003_val.npz,,user_12.csv,HAPT,waist,"['acc_mag', 'acc_mag_std']",9487,2,138,106,31,0,6,1,1,"[11, 9, 24, 22, 27, 13]","[9, 7, 1, 1, 1, 12]","[0, 1, 2, 3, 4, 5]","[0, 1, 5]",[],"[2, 3, 4]",[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[0.0015259170904755592, 0.0]","[16.219633102416992, 3.8513519763946533]","[-1.0, 1.0]"
4,test,,,client_004_test.npz,user_13.csv,HAPT,waist,"['acc_mag', 'acc_mag_std']",9539,2,139,0,0,139,6,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[0.0015259170904755592, 0.0]","[16.219633102416992, 3.8513519763946533]","[-1.0, 1.0]"
5,train,client_005_train.npz,client_005_val.npz,,user_14.csv,HAPT,waist,"['acc_mag', 'acc_mag_std']",9320,2,136,105,30,0,6,1,1,"[9, 9, 19, 23, 25, 20]","[9, 9, 1, 1, 1, 9]","[0, 1, 2, 3, 4, 5]","[0, 1, 5]",[],"[2, 3, 4]",[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[0.0015259170904755592, 0.0]","[16.219633102416992, 3.8513519763946533]","[-1.0, 1.0]"
6,train,client_006_train.npz,client_006_val.npz,,user_15.csv,HAPT,waist,"['acc_mag', 'acc_mag_std']",9666,2,143,110,32,0,6,1,1,"[9, 8, 31, 25, 23, 14]","[8, 8, 1, 1, 1, 13]","[0, 1, 2, 3, 4, 5]","[0, 1, 5]",[],"[2, 3, 4]",[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[0.0015259170904755592, 0.0]","[16.219633102416992, 3.8513519763946533]","[-1.0, 1.0]"
7,train,client_007_train.npz,client_007_val.npz,,user_16.csv,HAPT,waist,"['acc_mag', 'acc_mag_std']",10404,2,158,123,34,0,6,1,1,"[9, 9, 28, 29, 35, 13]","[10, 8, 1, 1, 1, 13]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 5]",[],"[3, 4]",[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[0.0015259170904755592, 0.0]","[16.219633102416992, 3.8513519763946533]","[-1.0, 1.0]"
8,test,,,client_008_test.npz,user_17.csv,HAPT,waist,"['acc_mag', 'acc_mag_std']",10785,2,165,0,0,165,6,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[0.0015259170904755592, 0.0]","[16.219633102416992, 3.8513519763946533]","[-1.0, 1.0]"
9,train,client_009_train.npz,client_009_val.npz,,user_18.csv,HAPT,waist,"['acc_mag', 'acc_mag_std']",10789,2,164,127,36,0,6,1,1,"[12, 10, 30, 26, 35, 14]","[11, 10, 1, 1, 1, 12]","[0, 1, 2, 3, 4, 5]","[0, 1, 5]",[],"[2, 3, 4]",[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[0.0015259170904755592, 0.0]","[16.219633102416992, 3.8513519763946533]","[-1.0, 1.0]"
