client_id,role,train_output_file,val_output_file,test_output_file,filename,dataset,placement,sensor_cols,n_rows,n_sensor_cols,n_windows_total,n_windows_train,n_windows_val,n_windows_test,n_classes_present,n_train_segments,n_val_segments,train_class_counts,val_class_counts,train_classes_before,val_classes_before,rescued_classes,val_rescued_classes,cannot_rescue_to_val,train_classes_after,val_classes_after,sampling_rate_hz,window_seconds,overlap_ratio,window_size_samples,step_size_samples,converted_units,already_gravity_removed,gravity_removed_here,acceleration_unit_after,acceleration_signal_after,norm_min,norm_max,norm_target_range
0,train,client_000_train.npz,client_000_val.npz,,user_1001.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",5567,2,104,78,21,0,4,5,5,"[0, 0, 3, 20, 0, 0, 0, 0, 35, 20, 0]","[0, 0, 1, 5, 0, 0, 0, 0, 10, 5, 0]","[2, 3, 8, 9]","[2, 3, 8, 9]",[],[],[],"[2, 3, 8, 9]","[2, 3, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
1,train,client_001_train.npz,client_001_val.npz,,user_1002.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",21486,2,386,276,78,0,11,32,32,"[15, 15, 10, 36, 36, 1, 4, 19, 72, 39, 29]","[4, 4, 3, 10, 9, 1, 4, 5, 20, 10, 8]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",[],[],[],"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
2,train,client_002_train.npz,client_002_val.npz,,user_1003.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",7884,2,145,107,29,0,6,9,9,"[0, 0, 4, 17, 21, 0, 0, 8, 37, 20, 0]","[0, 0, 2, 5, 5, 0, 0, 2, 10, 5, 0]","[2, 3, 4, 7, 8, 9]","[2, 3, 4, 7, 8, 9]",[],[],[],"[2, 3, 4, 7, 8, 9]","[2, 3, 4, 7, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
3,train,client_003_train.npz,client_003_val.npz,,user_1004.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",11750,2,212,151,44,0,10,17,17,"[14, 13, 2, 26, 17, 1, 0, 6, 34, 17, 21]","[4, 3, 1, 8, 4, 1, 0, 2, 10, 5, 6]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]",[],[],[],"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]","[0, 1, 2, 3, 4, 5, 7, 8, 9, 10]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
4,train,client_004_train.npz,client_004_val.npz,,user_1005.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",6971,2,131,98,27,0,5,6,6,"[0, 0, 5, 19, 22, 0, 0, 0, 35, 17, 0]","[0, 0, 1, 5, 6, 0, 0, 0, 10, 5, 0]","[2, 3, 4, 8, 9]","[2, 3, 4, 8, 9]",[],[],[],"[2, 3, 4, 8, 9]","[2, 3, 4, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
5,train,client_005_train.npz,client_005_val.npz,,user_1006.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",6150,2,112,82,23,0,6,7,7,"[0, 0, 1, 21, 17, 0, 0, 8, 17, 18, 0]","[0, 0, 1, 5, 5, 0, 0, 2, 5, 5, 0]","[2, 3, 4, 7, 8, 9]","[2, 3, 4, 7, 8, 9]",[],[],[],"[2, 3, 4, 7, 8, 9]","[2, 3, 4, 7, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
6,train,client_006_train.npz,client_006_val.npz,,user_1007.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",7287,2,137,104,27,0,5,6,6,"[0, 0, 4, 21, 27, 0, 0, 0, 34, 18, 0]","[0, 0, 1, 5, 7, 0, 0, 0, 9, 5, 0]","[2, 3, 4, 8, 9]","[2, 3, 4, 8, 9]",[],[],[],"[2, 3, 4, 8, 9]","[2, 3, 4, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
7,train,client_007_train.npz,client_007_val.npz,,user_1008.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",13722,2,252,182,55,0,6,15,15,"[0, 0, 4, 35, 38, 2, 0, 0, 69, 34, 0]","[0, 0, 3, 10, 10, 2, 0, 0, 20, 10, 0]","[2, 3, 4, 5, 8, 9]","[2, 3, 4, 5, 8, 9]",[],[],[],"[2, 3, 4, 5, 8, 9]","[2, 3, 4, 5, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
8,test,,,client_008_test.npz,user_1009.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",4991,2,93,0,0,93,3,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
9,train,client_009_train.npz,client_009_val.npz,,user_1010.csv,KU_HAR,waist,"['acc_mag', 'acc_mag_std']",4927,2,93,69,20,0,3,4,4,"[0, 0, 0, 17, 0, 0, 0, 0, 35, 17, 0]","[0, 0, 0, 5, 0, 0, 0, 0, 10, 5, 0]","[3, 8, 9]","[3, 8, 9]",[],[],[],"[3, 8, 9]","[3, 8, 9]",20.0,5.0,0.5,100,50,False,True,False,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
