client_id,role,train_output_file,val_output_file,test_output_file,filename,dataset,placement,sensor_cols,n_rows,n_sensor_cols,n_windows_total,n_windows_train,n_windows_val,n_windows_test,n_classes_present,n_train_segments,n_val_segments,train_class_counts,val_class_counts,train_classes_before,val_classes_before,rescued_classes,val_rescued_classes,cannot_rescue_to_val,train_classes_after,val_classes_after,sampling_rate_hz,window_seconds,overlap_ratio,window_size_samples,step_size_samples,converted_units,already_gravity_removed,gravity_removed_here,acceleration_unit_after,acceleration_signal_after,norm_min,norm_max,norm_target_range
0,train,client_000_train.npz,client_000_val.npz,,RW_user_1.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",84296,2,1670,1597,72,0,8,1,1,"[244, 124, 31, 236, 231, 249, 238, 244]","[1, 65, 1, 1, 1, 1, 1, 1]","[0, 1, 4, 5, 6, 7]","[1, 2, 3]","[2, 3]","[0, 2, 3, 4, 5, 6, 7]",[],"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0002531264035496861, 0.0]","[30.54191780090332, 8.455273628234863]","[-1.0, 1.0]"
1,test,,,client_001_test.npz,RW_user_10.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",80040,2,1585,0,0,1585,8,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0002531264035496861, 0.0]","[30.54191780090332, 8.455273628234863]","[-1.0, 1.0]"
2,train,client_002_train.npz,client_002_val.npz,,RW_user_11.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",83062,2,1647,1555,91,0,8,1,1,"[233, 101, 35, 244, 229, 233, 235, 245]","[1, 84, 1, 1, 1, 1, 1, 1]","[0, 1, 2, 4, 5, 6, 7]","[1, 3]",[3],"[0, 2, 3, 4, 5, 6, 7]",[],"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0002531264035496861, 0.0]","[30.54191780090332, 8.455273628234863]","[-1.0, 1.0]"
3,train,client_003_train.npz,client_003_val.npz,,RW_user_12.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",80337,2,1591,1533,57,0,8,1,1,"[211, 179, 34, 232, 229, 233, 179, 236]","[1, 1, 1, 1, 1, 1, 50, 1]","[0, 1, 4, 5, 6, 7]","[2, 3, 6]","[2, 3]","[0, 1, 2, 3, 4, 5, 7]",[],"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0002531264035496861, 0.0]","[30.54191780090332, 8.455273628234863]","[-1.0, 1.0]"
4,train,client_004_train.npz,client_004_val.npz,,RW_user_13.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",70350,2,1394,1349,44,0,7,1,1,"[225, 122, 39, 240, 230, 241, 252, 0]","[1, 38, 1, 1, 1, 1, 1, 0]","[0, 1, 2, 4, 5, 6]","[1, 3]",[3],"[0, 2, 3, 4, 5, 6]",[],"[0, 1, 2, 3, 4, 5, 6]","[0, 1, 2, 3, 4, 5, 6]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0002531264035496861, 0.0]","[30.54191780090332, 8.455273628234863]","[-1.0, 1.0]"
5,train,client_005_train.npz,client_005_val.npz,,RW_user_14.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",61179,2,1212,1197,14,0,6,1,1,"[0, 0, 34, 230, 222, 233, 232, 246]","[0, 0, 1, 1, 9, 1, 1, 1]","[2, 3, 4, 5, 7]","[4, 6]",[6],"[2, 3, 5, 6, 7]",[],"[2, 3, 4, 5, 6, 7]","[2, 3, 4, 5, 6, 7]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0002531264035496861, 0.0]","[30.54191780090332, 8.455273628234863]","[-1.0, 1.0]"
6,train,client_006_train.npz,client_006_val.npz,,RW_user_15.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",84213,2,1669,1572,96,0,8,1,1,"[218, 102, 32, 244, 252, 240, 235, 249]","[1, 89, 1, 1, 1, 1, 1, 1]","[0, 1, 2, 4, 5, 6, 7]","[1, 3]",[3],"[0, 2, 3, 4, 5, 6, 7]",[],"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0002531264035496861, 0.0]","[30.54191780090332, 8.455273628234863]","[-1.0, 1.0]"
7,train,client_007_train.npz,client_007_val.npz,,RW_user_2.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",78809,2,1561,1508,52,0,8,1,1,"[187, 185, 32, 233, 229, 184, 229, 229]","[1, 1, 1, 1, 1, 45, 1, 1]","[0, 1, 4, 5, 6, 7]","[2, 3, 5]","[2, 3]","[0, 1, 2, 3, 4, 6, 7]",[],"[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 2, 3, 4, 5, 6, 7]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0002531264035496861, 0.0]","[30.54191780090332, 8.455273628234863]","[-1.0, 1.0]"
8,test,,,client_008_test.npz,RW_user_3.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",86579,2,1717,0,0,1717,8,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0002531264035496861, 0.0]","[30.54191780090332, 8.455273628234863]","[-1.0, 1.0]"
9,train,client_009_train.npz,client_009_val.npz,,RW_user_4.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",58416,2,1160,954,205,0,5,1,1,"[0, 0, 30, 58, 391, 243, 232, 0]","[0, 0, 1, 201, 1, 1, 1, 0]","[3, 4, 5, 6]","[2, 3]",[2],"[2, 4, 5, 6]",[],"[2, 3, 4, 5, 6]","[2, 3, 4, 5, 6]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0002531264035496861, 0.0]","[30.54191780090332, 8.455273628234863]","[-1.0, 1.0]"
