client_id,role,train_output_file,val_output_file,test_output_file,filename,dataset,placement,sensor_cols,n_rows,n_sensor_cols,n_windows_total,n_windows_train,n_windows_val,n_windows_test,n_classes_present,n_train_segments,n_val_segments,train_class_counts,val_class_counts,train_classes_before,val_classes_before,rescued_classes,val_rescued_classes,cannot_rescue_to_val,train_classes_after,val_classes_after,sampling_rate_hz,window_seconds,overlap_ratio,window_size_samples,step_size_samples,converted_units,already_gravity_removed,gravity_removed_here,acceleration_unit_after,acceleration_signal_after,norm_min,norm_max,norm_target_range
0,train,client_000_train.npz,client_000_val.npz,,UT_user_001.csv,UT_SAD,front right thigh,"['acc_mag', 'acc_mag_std']",22236,2,431,407,23,0,7,1,1,"[52, 68, 68, 68, 35, 47, 69]","[17, 1, 1, 1, 1, 1, 1]","[0, 1, 3, 4, 5, 6]","[0, 2]",[2],"[1, 2, 3, 4, 5, 6]",[],"[0, 1, 2, 3, 4, 5, 6]","[0, 1, 2, 3, 4, 5, 6]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.004004469141364098, 0.0]","[34.54889678955078, 8.601855278015137]","[-1.0, 1.0]"
1,test,,,client_001_test.npz,UT_user_002.csv,UT_SAD,front right thigh,"['acc_mag', 'acc_mag_std']",19957,2,387,0,0,387,7,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.004004469141364098, 0.0]","[34.54889678955078, 8.601855278015137]","[-1.0, 1.0]"
2,train,client_002_train.npz,client_002_val.npz,,UT_user_003.csv,UT_SAD,front right thigh,"['acc_mag', 'acc_mag_std']",20805,2,403,385,17,0,7,1,1,"[57, 69, 69, 69, 23, 29, 69]","[11, 1, 1, 1, 1, 1, 1]","[0, 1, 3, 4, 5, 6]","[0, 2]",[2],"[1, 2, 3, 4, 5, 6]",[],"[0, 1, 2, 3, 4, 5, 6]","[0, 1, 2, 3, 4, 5, 6]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.004004469141364098, 0.0]","[34.54889678955078, 8.601855278015137]","[-1.0, 1.0]"
3,train,client_003_train.npz,client_003_val.npz,,UT_user_004.csv,UT_SAD,front right thigh,"['acc_mag', 'acc_mag_std']",21107,2,409,390,18,0,7,1,1,"[56, 69, 69, 68, 21, 38, 69]","[12, 1, 1, 1, 1, 1, 1]","[0, 1, 3, 4, 5, 6]","[0, 2]",[2],"[1, 2, 3, 4, 5, 6]",[],"[0, 1, 2, 3, 4, 5, 6]","[0, 1, 2, 3, 4, 5, 6]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.004004469141364098, 0.0]","[34.54889678955078, 8.601855278015137]","[-1.0, 1.0]"
4,train,client_004_train.npz,client_004_val.npz,,UT_user_005.csv,UT_SAD,front right thigh,"['acc_mag', 'acc_mag_std']",23373,2,454,426,27,0,7,1,1,"[47, 69, 69, 68, 46, 58, 69]","[21, 1, 1, 1, 1, 1, 1]","[0, 1, 3, 4, 5, 6]","[0, 2]",[2],"[1, 2, 3, 4, 5, 6]",[],"[0, 1, 2, 3, 4, 5, 6]","[0, 1, 2, 3, 4, 5, 6]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.004004469141364098, 0.0]","[34.54889678955078, 8.601855278015137]","[-1.0, 1.0]"
5,train,client_005_train.npz,client_005_val.npz,,UT_user_006.csv,UT_SAD,front right thigh,"['acc_mag', 'acc_mag_std']",20680,2,400,382,17,0,7,1,1,"[58, 68, 68, 68, 28, 23, 69]","[11, 1, 1, 1, 1, 1, 1]","[0, 1, 3, 4, 5, 6]","[0, 2]",[2],"[1, 2, 3, 4, 5, 6]",[],"[0, 1, 2, 3, 4, 5, 6]","[0, 1, 2, 3, 4, 5, 6]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.004004469141364098, 0.0]","[34.54889678955078, 8.601855278015137]","[-1.0, 1.0]"
6,train,client_006_train.npz,client_006_val.npz,,UT_user_007.csv,UT_SAD,front right thigh,"['acc_mag', 'acc_mag_std']",22271,2,432,408,23,0,7,1,1,"[52, 68, 68, 68, 34, 49, 69]","[17, 1, 1, 1, 1, 1, 1]","[0, 1, 3, 4, 5, 6]","[0, 2]",[2],"[1, 2, 3, 4, 5, 6]",[],"[0, 1, 2, 3, 4, 5, 6]","[0, 1, 2, 3, 4, 5, 6]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.004004469141364098, 0.0]","[34.54889678955078, 8.601855278015137]","[-1.0, 1.0]"
7,train,client_007_train.npz,client_007_val.npz,,UT_user_008.csv,UT_SAD,front right thigh,"['acc_mag', 'acc_mag_std']",18312,2,355,348,6,0,6,1,1,"[0, 67, 69, 69, 14, 60, 69]","[0, 1, 1, 1, 1, 1, 1]","[1, 3, 4, 5, 6]","[1, 2]",[2],"[2, 3, 4, 5, 6]",[],"[1, 2, 3, 4, 5, 6]","[1, 2, 3, 4, 5, 6]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.004004469141364098, 0.0]","[34.54889678955078, 8.601855278015137]","[-1.0, 1.0]"
8,test,,,client_008_test.npz,UT_user_009.csv,UT_SAD,front right thigh,"['acc_mag', 'acc_mag_std']",23143,2,449,0,0,449,7,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.004004469141364098, 0.0]","[34.54889678955078, 8.601855278015137]","[-1.0, 1.0]"
9,train,client_009_train.npz,client_009_val.npz,,UT_user_010.csv,UT_SAD,front right thigh,"['acc_mag', 'acc_mag_std']",22841,2,443,416,26,0,7,1,1,"[49, 68, 68, 69, 30, 63, 69]","[20, 1, 1, 1, 1, 1, 1]","[0, 1, 3, 4, 5, 6]","[0, 2]",[2],"[1, 2, 3, 4, 5, 6]",[],"[0, 1, 2, 3, 4, 5, 6]","[0, 1, 2, 3, 4, 5, 6]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.004004469141364098, 0.0]","[34.54889678955078, 8.601855278015137]","[-1.0, 1.0]"
