client_id,role,train_output_file,val_output_file,test_output_file,filename,dataset,placement,sensor_cols,n_rows,n_sensor_cols,n_windows_total,n_windows_train,n_windows_val,n_windows_test,n_classes_present,n_train_segments,n_val_segments,train_class_counts,val_class_counts,train_classes_before,val_classes_before,rescued_classes,val_rescued_classes,cannot_rescue_to_val,train_classes_after,val_classes_after,sampling_rate_hz,window_seconds,overlap_ratio,window_size_samples,step_size_samples,converted_units,already_gravity_removed,gravity_removed_here,acceleration_unit_after,acceleration_signal_after,norm_min,norm_max,norm_target_range
0,train,client_000_train.npz,client_000_val.npz,,user_1.csv,WISDM_AP,front_leg_pocket,"['acc_mag', 'acc_mag_std']",29634,2,573,442,118,0,4,13,13,"[40, 36, 169, 0, 0, 197]","[12, 12, 43, 0, 0, 51]","[0, 1, 2, 5]","[0, 1, 2, 5]",[],[],[],"[0, 1, 2, 5]","[0, 1, 2, 5]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0012188407126814127, 0.0]","[39.628211975097656, 18.865013122558594]","[-1.0, 1.0]"
1,test,,,client_001_test.npz,user_10.csv,WISDM_AP,front_leg_pocket,"['acc_mag', 'acc_mag_std']",34413,2,670,0,0,670,5,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0012188407126814127, 0.0]","[39.628211975097656, 18.865013122558594]","[-1.0, 1.0]"
2,test,,,client_002_test.npz,user_11.csv,WISDM_AP,front_leg_pocket,"['acc_mag', 'acc_mag_std']",30291,2,589,0,0,589,4,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0012188407126814127, 0.0]","[39.628211975097656, 18.865013122558594]","[-1.0, 1.0]"
3,train,client_003_train.npz,client_003_val.npz,,user_12.csv,WISDM_AP,front_leg_pocket,"['acc_mag', 'acc_mag_std']",31541,2,611,474,123,0,6,14,14,"[32, 33, 188, 32, 24, 165]","[9, 10, 48, 8, 6, 42]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",[],[],[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",25.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0012188407126814127, 0.0]","[39.628211975097656, 18.865013122558594]","[-1.0, 1.0]"
4,train,client_004_train.npz,client_004_val.npz,,user_13.csv,WISDM_AP,front_leg_pocket,"['acc_mag', 'acc_mag_std']",33993,2,661,516,132,0,6,13,13,"[64, 60, 151, 16, 24, 201]","[17, 16, 38, 4, 6, 51]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",[],[],[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0012188407126814127, 0.0]","[39.628211975097656, 18.865013122558594]","[-1.0, 1.0]"
5,train,client_005_train.npz,client_005_val.npz,,user_14.csv,WISDM_AP,front_leg_pocket,"['acc_mag', 'acc_mag_std']",37682,2,740,584,148,0,4,8,8,"[115, 50, 205, 0, 0, 214]","[39, 3, 52, 0, 0, 54]","[0, 1, 2, 5]","[0, 1, 2, 5]",[],[],[],"[0, 1, 2, 5]","[0, 1, 2, 5]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0012188407126814127, 0.0]","[39.628211975097656, 18.865013122558594]","[-1.0, 1.0]"
6,train,client_006_train.npz,client_006_val.npz,,user_15.csv,WISDM_AP,front_leg_pocket,"['acc_mag', 'acc_mag_std']",21896,2,410,319,83,0,4,10,8,"[10, 5, 131, 0, 0, 173]","[1, 5, 33, 0, 0, 44]","[0, 1, 2, 5]","[0, 1, 2, 5]",[],[],[],"[0, 1, 2, 5]","[0, 1, 2, 5]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0012188407126814127, 0.0]","[39.628211975097656, 18.865013122558594]","[-1.0, 1.0]"
7,train,client_007_train.npz,client_007_val.npz,,user_16.csv,WISDM_AP,front_leg_pocket,"['acc_mag', 'acc_mag_std']",18028,2,352,276,70,0,5,6,6,"[16, 18, 0, 43, 28, 171]","[4, 5, 0, 11, 7, 43]","[0, 1, 3, 4, 5]","[0, 1, 3, 4, 5]",[],[],[],"[0, 1, 3, 4, 5]","[0, 1, 3, 4, 5]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0012188407126814127, 0.0]","[39.628211975097656, 18.865013122558594]","[-1.0, 1.0]"
8,test,,,client_008_test.npz,user_17.csv,WISDM_AP,front_leg_pocket,"['acc_mag', 'acc_mag_std']",21822,2,421,0,0,421,4,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0012188407126814127, 0.0]","[39.628211975097656, 18.865013122558594]","[-1.0, 1.0]"
9,train,client_009_train.npz,client_009_val.npz,,user_18.csv,WISDM_AP,front_leg_pocket,"['acc_mag', 'acc_mag_std']",29476,2,575,453,112,0,6,10,10,"[33, 34, 142, 21, 29, 194]","[8, 8, 36, 5, 7, 48]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",[],[],[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0012188407126814127, 0.0]","[39.628211975097656, 18.865013122558594]","[-1.0, 1.0]"
