client_id,role,train_output_file,val_output_file,test_output_file,filename,dataset,placement,sensor_cols,n_rows,n_sensor_cols,n_windows_total,n_windows_train,n_windows_val,n_windows_test,n_classes_present,n_train_segments,n_val_segments,train_class_counts,val_class_counts,train_classes_before,val_classes_before,rescued_classes,val_rescued_classes,cannot_rescue_to_val,train_classes_after,val_classes_after,sampling_rate_hz,window_seconds,overlap_ratio,window_size_samples,step_size_samples,converted_units,already_gravity_removed,gravity_removed_here,acceleration_unit_after,acceleration_signal_after,norm_min,norm_max,norm_target_range
0,train,client_000_train.npz,client_000_val.npz,,user_1100.csv,WISDM_Actitracker,front_leg_pocket,"['acc_mag', 'acc_mag_std']",16777,2,328,257,66,0,3,5,5,"[74, 0, 21, 0, 162]","[19, 0, 6, 0, 41]","[0, 2, 4]","[0, 2, 4]",[],[],[],"[0, 2, 4]","[0, 2, 4]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0002130404463969171, 0.0]","[70.9911880493164, 32.31437301635742]","[-1.0, 1.0]"
1,train,client_001_train.npz,client_001_val.npz,,user_1104.csv,WISDM_Actitracker,front_leg_pocket,"['acc_mag', 'acc_mag_std']",17600,2,349,276,70,0,3,3,3,"[0, 0, 49, 46, 181]","[0, 0, 13, 12, 45]","[2, 3, 4]","[2, 3, 4]",[],[],[],"[2, 3, 4]","[2, 3, 4]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0002130404463969171, 0.0]","[70.9911880493164, 32.31437301635742]","[-1.0, 1.0]"
2,train,client_002_train.npz,client_002_val.npz,,user_1117.csv,WISDM_Actitracker,front_leg_pocket,"['acc_mag', 'acc_mag_std']",22187,2,429,336,85,0,5,8,8,"[58, 39, 106, 36, 97]","[15, 10, 27, 9, 24]","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",[],[],[],"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0002130404463969171, 0.0]","[70.9911880493164, 32.31437301635742]","[-1.0, 1.0]"
3,train,client_003_train.npz,client_003_val.npz,,user_1238.csv,WISDM_Actitracker,front_leg_pocket,"['acc_mag', 'acc_mag_std']",54063,2,1061,834,212,0,3,15,15,"[0, 0, 184, 115, 535]","[0, 0, 47, 30, 135]","[2, 3, 4]","[2, 3, 4]",[],[],[],"[2, 3, 4]","[2, 3, 4]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0002130404463969171, 0.0]","[70.9911880493164, 32.31437301635742]","[-1.0, 1.0]"
4,train,client_004_train.npz,client_004_val.npz,,user_1246.csv,WISDM_Actitracker,front_leg_pocket,"['acc_mag', 'acc_mag_std']",16914,2,334,264,67,0,2,3,3,"[0, 0, 177, 87, 0]","[0, 0, 45, 22, 0]","[2, 3]","[2, 3]",[],[],[],"[2, 3]","[2, 3]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0002130404463969171, 0.0]","[70.9911880493164, 32.31437301635742]","[-1.0, 1.0]"
5,train,client_005_train.npz,client_005_val.npz,,user_1253.csv,WISDM_Actitracker,front_leg_pocket,"['acc_mag', 'acc_mag_std']",13979,2,274,215,55,0,3,4,4,"[0, 0, 29, 7, 179]","[0, 0, 8, 2, 45]","[2, 3, 4]","[2, 3, 4]",[],[],[],"[2, 3, 4]","[2, 3, 4]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0002130404463969171, 0.0]","[70.9911880493164, 32.31437301635742]","[-1.0, 1.0]"
6,train,client_006_train.npz,client_006_val.npz,,user_1277.csv,WISDM_Actitracker,front_leg_pocket,"['acc_mag', 'acc_mag_std']",3780,2,64,45,13,0,5,6,6,"[7, 7, 10, 7, 14]","[2, 2, 3, 2, 4]","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",[],[],[],"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0002130404463969171, 0.0]","[70.9911880493164, 32.31437301635742]","[-1.0, 1.0]"
7,train,client_007_train.npz,client_007_val.npz,,user_1319.csv,WISDM_Actitracker,front_leg_pocket,"['acc_mag', 'acc_mag_std']",25986,2,511,401,102,0,5,8,8,"[40, 46, 56, 40, 219]","[10, 12, 14, 10, 56]","[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",[],[],[],"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0002130404463969171, 0.0]","[70.9911880493164, 32.31437301635742]","[-1.0, 1.0]"
8,test,,,client_008_test.npz,user_1320.csv,WISDM_Actitracker,front_leg_pocket,"['acc_mag', 'acc_mag_std']",18577,2,361,0,0,361,4,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0002130404463969171, 0.0]","[70.9911880493164, 32.31437301635742]","[-1.0, 1.0]"
9,train,client_009_train.npz,client_009_val.npz,,user_1477.csv,WISDM_Actitracker,front_leg_pocket,"['acc_mag', 'acc_mag_std']",11381,2,224,177,45,0,2,2,2,"[0, 0, 0, 87, 90]","[0, 0, 0, 22, 23]","[3, 4]","[3, 4]",[],[],[],"[3, 4]","[3, 4]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.0002130404463969171, 0.0]","[70.9911880493164, 32.31437301635742]","[-1.0, 1.0]"
