client_id,role,train_output_file,val_output_file,test_output_file,filename,dataset,placement,sensor_cols,n_rows,n_sensor_cols,n_windows_total,n_windows_train,n_windows_val,n_windows_test,n_classes_present,n_train_segments,n_val_segments,train_class_counts,val_class_counts,train_classes_before,val_classes_before,rescued_classes,val_rescued_classes,cannot_rescue_to_val,train_classes_after,val_classes_after,sampling_rate_hz,window_seconds,overlap_ratio,window_size_samples,step_size_samples,converted_units,already_gravity_removed,gravity_removed_here,acceleration_unit_after,acceleration_signal_after,norm_min,norm_max,norm_target_range
0,train,client_000_train.npz,client_000_val.npz,,RW_user_1.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",58934,2,1169,1120,48,0,5,1,1,"[244, 189, 205, 238, 244]","[1, 1, 44, 1, 1]","[0, 2, 3, 4]","[1, 2]",[1],"[0, 1, 3, 4]",[],"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 13.352399826049805]","[-1.0, 1.0]"
1,train,client_001_train.npz,client_001_val.npz,,RW_user_10.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",53549,2,1061,1009,51,0,5,1,1,"[171, 164, 189, 248, 237]","[1, 1, 47, 1, 1]","[0, 2, 3, 4]","[1, 2]",[1],"[0, 1, 3, 4]",[],"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 13.352399826049805]","[-1.0, 1.0]"
2,test,,,client_002_test.npz,RW_user_11.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",57242,2,1135,0,0,1135,5,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 13.352399826049805]","[-1.0, 1.0]"
3,train,client_003_train.npz,client_003_val.npz,,RW_user_12.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",55137,2,1093,869,223,0,5,1,1,"[211, 179, 233, 10, 236]","[1, 1, 1, 219, 1]","[0, 1, 2, 3, 4]",[3],[],"[0, 1, 2, 4]",[],"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 13.352399826049805]","[-1.0, 1.0]"
4,train,client_004_train.npz,client_004_val.npz,,RW_user_13.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",44494,2,882,863,18,0,4,1,1,"[225, 160, 241, 237, 0]","[1, 1, 1, 15, 0]","[0, 2, 3]","[1, 3]",[1],"[0, 1, 2]",[],"[0, 1, 2, 3]","[0, 1, 2, 3]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 13.352399826049805]","[-1.0, 1.0]"
5,train,client_005_train.npz,client_005_val.npz,,RW_user_14.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",35977,2,714,568,145,0,3,1,1,"[0, 0, 233, 89, 246]","[0, 0, 1, 143, 1]","[2, 3, 4]",[3],[],"[2, 4]",[],"[2, 3, 4]","[2, 3, 4]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 13.352399826049805]","[-1.0, 1.0]"
6,train,client_006_train.npz,client_006_val.npz,,RW_user_15.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",57378,2,1138,1097,40,0,5,1,1,"[218, 191, 240, 199, 249]","[1, 1, 1, 36, 1]","[0, 2, 3, 4]","[1, 3]",[1],"[0, 1, 2, 4]",[],"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 13.352399826049805]","[-1.0, 1.0]"
7,test,,,client_007_test.npz,RW_user_2.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",53685,2,1064,0,0,1064,5,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 13.352399826049805]","[-1.0, 1.0]"
8,train,client_008_train.npz,client_008_val.npz,,RW_user_3.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",58547,2,1162,925,236,0,5,1,1,"[221, 208, 1, 234, 261]","[1, 1, 232, 1, 1]","[0, 1, 2, 3, 4]",[2],[],"[0, 1, 3, 4]",[],"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 13.352399826049805]","[-1.0, 1.0]"
9,train,client_009_train.npz,client_009_val.npz,,RW_user_4.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",24001,2,477,380,96,0,2,1,1,"[0, 0, 148, 232, 0]","[0, 0, 95, 1, 0]","[2, 3]",[2],[],[3],[],"[2, 3]","[2, 3]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 13.352399826049805]","[-1.0, 1.0]"
