client_id,role,train_output_file,val_output_file,test_output_file,filename,dataset,placement,sensor_cols,n_rows,n_sensor_cols,n_windows_total,n_windows_train,n_windows_val,n_windows_test,n_classes_present,n_train_segments,n_val_segments,train_class_counts,val_class_counts,train_classes_before,val_classes_before,rescued_classes,val_rescued_classes,cannot_rescue_to_val,train_classes_after,val_classes_after,sampling_rate_hz,window_seconds,overlap_ratio,window_size_samples,step_size_samples,converted_units,already_gravity_removed,gravity_removed_here,acceleration_unit_after,acceleration_signal_after,norm_min,norm_max,norm_target_range
0,train,client_000_train.npz,client_000_val.npz,,RW_user_1.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",84296,2,1670,1597,72,0,8,1,1,"[244, 0, 124, 0, 31, 236, 0, 0, 231, 0, 249, 238, 244]","[1, 0, 65, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1]","[0, 2, 8, 10, 11, 12]","[2, 4, 5]","[4, 5]","[0, 4, 5, 8, 10, 11, 12]",[],"[0, 2, 4, 5, 8, 10, 11, 12]","[0, 2, 4, 5, 8, 10, 11, 12]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
1,train,client_001_train.npz,client_001_val.npz,,RW_user_10.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",80040,2,1585,1503,81,0,8,1,1,"[171, 0, 90, 0, 37, 242, 0, 0, 241, 0, 237, 248, 237]","[1, 0, 74, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1]","[0, 2, 4, 8, 10, 11, 12]","[2, 5]",[5],"[0, 4, 5, 8, 10, 11, 12]",[],"[0, 2, 4, 5, 8, 10, 11, 12]","[0, 2, 4, 5, 8, 10, 11, 12]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
2,test,,,client_002_test.npz,RW_user_11.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",83062,2,1647,0,0,1647,8,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
3,train,client_003_train.npz,client_003_val.npz,,RW_user_12.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",80337,2,1591,1533,57,0,8,1,1,"[211, 0, 179, 0, 34, 232, 0, 0, 229, 0, 233, 179, 236]","[1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 50, 1]","[0, 2, 8, 10, 11, 12]","[4, 5, 11]","[4, 5]","[0, 2, 4, 5, 8, 10, 12]",[],"[0, 2, 4, 5, 8, 10, 11, 12]","[0, 2, 4, 5, 8, 10, 11, 12]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
4,train,client_004_train.npz,client_004_val.npz,,RW_user_13.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",70350,2,1394,1349,44,0,7,1,1,"[225, 0, 122, 0, 39, 240, 0, 0, 230, 0, 241, 252, 0]","[1, 0, 38, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]","[0, 2, 4, 8, 10, 11]","[2, 5]",[5],"[0, 4, 5, 8, 10, 11]",[],"[0, 2, 4, 5, 8, 10, 11]","[0, 2, 4, 5, 8, 10, 11]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
5,train,client_005_train.npz,client_005_val.npz,,RW_user_14.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",61179,2,1212,1197,14,0,6,1,1,"[0, 0, 0, 0, 34, 230, 0, 0, 222, 0, 233, 232, 246]","[0, 0, 0, 0, 1, 1, 0, 0, 9, 0, 1, 1, 1]","[4, 5, 8, 10, 12]","[8, 11]",[11],"[4, 5, 10, 11, 12]",[],"[4, 5, 8, 10, 11, 12]","[4, 5, 8, 10, 11, 12]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
6,train,client_006_train.npz,client_006_val.npz,,RW_user_15.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",84213,2,1669,1572,96,0,8,1,1,"[218, 0, 102, 0, 32, 244, 0, 0, 252, 0, 240, 235, 249]","[1, 0, 89, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1]","[0, 2, 4, 8, 10, 11, 12]","[2, 5]",[5],"[0, 4, 5, 8, 10, 11, 12]",[],"[0, 2, 4, 5, 8, 10, 11, 12]","[0, 2, 4, 5, 8, 10, 11, 12]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
7,test,,,client_007_test.npz,RW_user_2.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",78809,2,1561,0,0,1561,8,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
8,train,client_008_train.npz,client_008_val.npz,,RW_user_3.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",86579,2,1717,1637,79,0,8,1,1,"[221, 0, 207, 0, 36, 162, 0, 0, 283, 0, 233, 234, 261]","[1, 0, 1, 0, 1, 72, 0, 0, 1, 0, 1, 1, 1]","[0, 2, 5, 8, 11, 12]","[4, 5, 10]","[4, 10]","[0, 2, 4, 8, 10, 11, 12]",[],"[0, 2, 4, 5, 8, 10, 11, 12]","[0, 2, 4, 5, 8, 10, 11, 12]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
9,train,client_009_train.npz,client_009_val.npz,,RW_user_4.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",58416,2,1160,954,205,0,5,1,1,"[0, 0, 0, 0, 30, 58, 0, 0, 391, 0, 243, 232, 0]","[0, 0, 0, 0, 1, 201, 0, 0, 1, 0, 1, 1, 0]","[5, 8, 10, 11]","[4, 5]",[4],"[4, 8, 10, 11]",[],"[4, 5, 8, 10, 11]","[4, 5, 8, 10, 11]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
10,train,client_010_train.npz,client_010_val.npz,,RW_user_5.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",93049,2,1845,1654,190,0,8,1,1,"[228, 0, 185, 0, 34, 244, 0, 0, 417, 0, 60, 223, 263]","[1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 183, 1, 1]","[0, 4, 5, 8, 10, 11, 12]","[2, 10]",[2],"[0, 2, 4, 5, 8, 11, 12]",[],"[0, 2, 4, 5, 8, 10, 11, 12]","[0, 2, 4, 5, 8, 10, 11, 12]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
11,train,client_011_train.npz,client_011_val.npz,,RW_user_6.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",69444,2,1375,1331,43,0,7,1,1,"[192, 0, 149, 0, 34, 237, 0, 0, 247, 0, 0, 235, 237]","[1, 0, 37, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1]","[0, 2, 4, 8, 11, 12]","[2, 5]",[5],"[0, 4, 5, 8, 11, 12]",[],"[0, 2, 4, 5, 8, 11, 12]","[0, 2, 4, 5, 8, 11, 12]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
12,train,client_012_train.npz,client_012_val.npz,,RW_user_7.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",52126,2,1033,821,211,0,5,1,1,"[0, 0, 0, 0, 35, 34, 0, 0, 274, 0, 0, 246, 232]","[0, 0, 0, 0, 1, 207, 0, 0, 1, 0, 0, 1, 1]","[4, 5, 8, 11, 12]",[5],[],"[4, 8, 11, 12]",[],"[4, 5, 8, 11, 12]","[4, 5, 8, 11, 12]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
13,train,client_013_train.npz,client_013_val.npz,,RW_user_8.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",80374,2,1594,1532,61,0,7,1,1,"[436, 0, 109, 0, 34, 237, 0, 0, 228, 0, 246, 0, 242]","[1, 0, 55, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1]","[0, 2, 5, 10, 12]","[2, 4, 8]","[4, 8]","[0, 4, 5, 8, 10, 12]",[],"[0, 2, 4, 5, 8, 10, 12]","[0, 2, 4, 5, 8, 10, 12]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
14,test,,,client_014_test.npz,RW_user_9.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",85324,2,1691,0,0,1691,8,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
15,test,,,client_015_test.npz,user_01.csv,FLAAP,waist,"['acc_mag', 'acc_mag_std']",54645,2,1083,0,0,1083,4,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
16,train,client_016_train.npz,client_016_val.npz,,user_02.csv,FLAAP,waist,"['acc_mag', 'acc_mag_std']",61370,2,1209,1086,119,0,8,4,4,"[97, 0, 38, 125, 0, 104, 0, 0, 0, 63, 262, 107, 290]","[2, 0, 34, 1, 0, 1, 0, 0, 0, 14, 19, 1, 47]","[0, 2, 5, 9, 10, 11, 12]","[0, 2, 3, 9, 10, 12]",[3],"[3, 5, 11]",[],"[0, 2, 3, 5, 9, 10, 11, 12]","[0, 2, 3, 5, 9, 10, 11, 12]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
17,train,client_017_train.npz,client_017_val.npz,,user_03.csv,FLAAP,waist,"['acc_mag', 'acc_mag_std']",57951,2,1140,1008,129,0,8,3,3,"[91, 0, 18, 56, 0, 46, 0, 0, 0, 63, 109, 97, 528]","[1, 0, 28, 1, 0, 1, 0, 0, 0, 13, 83, 1, 1]","[0, 2, 9, 10, 11, 12]","[2, 3, 5, 9, 10]","[3, 5]","[0, 3, 5, 11, 12]",[],"[0, 2, 3, 5, 9, 10, 11, 12]","[0, 2, 3, 5, 9, 10, 11, 12]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
18,train,client_018_train.npz,client_018_val.npz,,user_04.csv,FLAAP,waist,"['acc_mag', 'acc_mag_std']",67275,2,1324,1050,267,0,8,7,7,"[242, 0, 28, 89, 0, 16, 0, 0, 0, 165, 54, 49, 407]","[27, 0, 41, 18, 0, 34, 0, 0, 0, 42, 61, 1, 43]","[0, 2, 3, 5, 9, 10, 11, 12]","[0, 2, 3, 5, 9, 10, 12]",[],[11],[],"[0, 2, 3, 5, 9, 10, 11, 12]","[0, 2, 3, 5, 9, 10, 11, 12]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
19,train,client_019_train.npz,client_019_val.npz,,user_05.csv,FLAAP,waist,"['acc_mag', 'acc_mag_std']",41167,2,810,642,164,0,8,4,4,"[77, 0, 27, 47, 0, 23, 0, 0, 0, 108, 49, 78, 233]","[1, 0, 26, 53, 0, 33, 0, 0, 0, 27, 22, 1, 1]","[0, 2, 3, 5, 9, 10, 11, 12]","[2, 3, 5, 9, 10]",[],"[0, 11, 12]",[],"[0, 2, 3, 5, 9, 10, 11, 12]","[0, 2, 3, 5, 9, 10, 11, 12]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
20,test,,,client_020_test.npz,user_06.csv,FLAAP,waist,"['acc_mag', 'acc_mag_std']",53111,2,1043,0,0,1043,8,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 37.004398345947266]","[-1.0, 1.0]"
