client_id,role,train_output_file,val_output_file,test_output_file,filename,dataset,placement,sensor_cols,n_rows,n_sensor_cols,n_windows_total,n_windows_train,n_windows_val,n_windows_test,n_classes_present,n_train_segments,n_val_segments,train_class_counts,val_class_counts,train_classes_before,val_classes_before,rescued_classes,val_rescued_classes,cannot_rescue_to_val,train_classes_after,val_classes_after,sampling_rate_hz,window_seconds,overlap_ratio,window_size_samples,step_size_samples,converted_units,already_gravity_removed,gravity_removed_here,acceleration_unit_after,acceleration_signal_after,norm_min,norm_max,norm_target_range
0,train,client_000_train.npz,client_000_val.npz,,user_006.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",72944,2,1191,977,213,0,3,1,1,"[837, 115, 25]","[209, 3, 1]","[0, 1]","[0, 1, 2]",[2],[2],[],"[0, 1, 2]","[0, 1, 2]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
1,test,,,client_001_test.npz,user_008.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",163717,2,2742,0,0,2742,3,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
2,train,client_002_train.npz,client_002_val.npz,,user_009.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",8974,2,134,105,28,0,3,1,1,"[76, 10, 19]","[1, 22, 5]","[0, 1, 2]","[1, 2]",[],[0],[],"[0, 1, 2]","[0, 1, 2]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
3,train,client_003_train.npz,client_003_val.npz,,user_010.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",136914,2,2099,1678,420,0,3,1,1,"[401, 445, 832]","[4, 73, 343]","[0, 1, 2]","[0, 1, 2]",[],[],[],"[0, 1, 2]","[0, 1, 2]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
4,train,client_004_train.npz,client_004_val.npz,,user_012.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",141707,2,2659,2126,532,0,3,1,1,"[2053, 28, 45]","[434, 95, 3]","[0, 1, 2]","[0, 1, 2]",[],[],[],"[0, 1, 2]","[0, 1, 2]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
5,train,client_005_train.npz,client_005_val.npz,,user_013.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",139613,2,2189,1750,438,0,3,1,1,"[1445, 186, 119]","[400, 35, 3]","[0, 1, 2]","[0, 1, 2]",[],[],[],"[0, 1, 2]","[0, 1, 2]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
6,train,client_006_train.npz,client_006_val.npz,,user_014.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",135839,2,2231,1784,446,0,3,1,1,"[1473, 244, 67]","[413, 14, 19]","[0, 1, 2]","[0, 1, 2]",[],[],[],"[0, 1, 2]","[0, 1, 2]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
7,train,client_007_train.npz,client_007_val.npz,,user_015.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",131757,2,2230,1783,446,0,3,1,1,"[1392, 261, 130]","[160, 127, 159]","[0, 1, 2]","[0, 1, 2]",[],[],[],"[0, 1, 2]","[0, 1, 2]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
8,test,,,client_008_test.npz,user_016.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",119685,2,1981,0,0,1981,3,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
9,train,client_009_train.npz,client_009_val.npz,,user_017.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",118174,2,2098,1677,420,0,3,1,1,"[1470, 83, 124]","[275, 72, 73]","[0, 1, 2]","[0, 1, 2]",[],[],[],"[0, 1, 2]","[0, 1, 2]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
10,train,client_010_train.npz,client_010_val.npz,,user_018.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",104223,2,1672,1337,334,0,3,1,1,"[1079, 144, 114]","[67, 32, 235]","[0, 1, 2]","[0, 1, 2]",[],[],[],"[0, 1, 2]","[0, 1, 2]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
11,train,client_011_train.npz,client_011_val.npz,,user_019.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",99980,2,1791,1432,358,0,3,1,1,"[1267, 61, 104]","[267, 18, 73]","[0, 1, 2]","[0, 1, 2]",[],[],[],"[0, 1, 2]","[0, 1, 2]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
12,train,client_012_train.npz,client_012_val.npz,,user_020.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",120133,2,2143,1713,429,0,3,1,1,"[1518, 65, 130]","[378, 9, 42]","[0, 1, 2]","[0, 1, 2]",[],[],[],"[0, 1, 2]","[0, 1, 2]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
13,test,,,client_013_test.npz,user_021.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",105547,2,1861,0,0,1861,3,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
14,train,client_014_train.npz,client_014_val.npz,,user_022.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",117036,2,1759,1406,352,0,3,1,1,"[794, 219, 393]","[328, 19, 5]","[0, 1, 2]","[0, 1, 2]",[],[],[],"[0, 1, 2]","[0, 1, 2]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
15,train,client_015_train.npz,client_015_val.npz,,user_023.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",37277,2,667,532,134,0,3,1,1,"[103, 24, 405]","[1, 10, 123]","[0, 1, 2]","[1, 2]",[],[0],[],"[0, 1, 2]","[0, 1, 2]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
16,train,client_016_train.npz,client_016_val.npz,,user_024.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",42669,2,722,576,145,0,3,1,1,"[108, 27, 441]","[1, 10, 134]","[0, 1, 2]","[1, 2]",[],[0],[],"[0, 1, 2]","[0, 1, 2]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
17,train,client_017_train.npz,client_017_val.npz,,user_025.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",41977,2,676,540,135,0,3,1,1,"[72, 36, 432]","[32, 54, 49]","[0, 1, 2]","[0, 1, 2]",[],[],[],"[0, 1, 2]","[0, 1, 2]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
18,train,client_018_train.npz,client_018_val.npz,,user_026.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",19720,2,300,239,60,0,3,1,1,"[107, 13, 119]","[1, 12, 47]","[0, 1, 2]","[0, 1, 2]",[],[],[],"[0, 1, 2]","[0, 1, 2]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
19,test,,,client_019_test.npz,user_027.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",6436,2,93,0,0,93,3,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
20,train,client_020_train.npz,client_020_val.npz,,user_028.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",64466,2,1229,980,248,0,3,1,1,"[20, 41, 919]","[1, 1, 246]","[0, 1, 2]",[2],[],"[0, 1]",[],"[0, 1, 2]","[0, 1, 2]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
21,train,client_021_train.npz,client_021_val.npz,,user_029.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",57739,2,1032,823,208,0,3,1,1,"[45, 44, 734]","[1, 1, 206]","[0, 1, 2]",[2],[],"[0, 1]",[],"[0, 1, 2]","[0, 1, 2]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
22,train,client_022_train.npz,client_022_val.npz,,user_1.csv,WISDM_AP,front_leg_pocket,"['acc_mag', 'acc_mag_std']",12759,2,251,197,51,0,1,3,3,"[0, 0, 197]","[0, 0, 51]",[2],[2],[],[],[],[2],[2],20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
23,train,client_023_train.npz,client_023_val.npz,,user_10.csv,WISDM_AP,front_leg_pocket,"['acc_mag', 'acc_mag_std']",14488,2,286,226,57,0,2,3,3,"[0, 24, 202]","[0, 6, 51]","[1, 2]","[1, 2]",[],[],[],"[1, 2]","[1, 2]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
24,train,client_024_train.npz,client_024_val.npz,,user_11.csv,WISDM_AP,front_leg_pocket,"['acc_mag', 'acc_mag_std']",11823,2,232,182,46,0,1,4,4,"[0, 0, 182]","[0, 0, 46]",[2],[2],[],[],[],[2],[2],20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
25,train,client_025_train.npz,client_025_val.npz,,user_1100.csv,WISDM_Actitracker,front_leg_pocket,"['acc_mag', 'acc_mag_std']",11978,2,234,183,47,0,2,4,4,"[21, 0, 162]","[6, 0, 41]","[0, 2]","[0, 2]",[],[],[],"[0, 2]","[0, 2]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
26,test,,,client_026_test.npz,user_1104.csv,WISDM_Actitracker,front_leg_pocket,"['acc_mag', 'acc_mag_std']",17600,2,349,0,0,349,3,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
27,train,client_027_train.npz,client_027_val.npz,,user_1117.csv,WISDM_Actitracker,front_leg_pocket,"['acc_mag', 'acc_mag_std']",15790,2,305,239,60,0,3,6,6,"[106, 36, 97]","[27, 9, 24]","[0, 1, 2]","[0, 1, 2]",[],[],[],"[0, 1, 2]","[0, 1, 2]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
28,test,,,client_028_test.npz,user_12.csv,WISDM_AP,front_leg_pocket,"['acc_mag', 'acc_mag_std']",14382,2,281,0,0,281,3,0,0,[],[],[],[],[],[],[],[],[],25.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
29,train,client_029_train.npz,client_029_val.npz,,user_1238.csv,WISDM_Actitracker,front_leg_pocket,"['acc_mag', 'acc_mag_std']",54063,2,1061,834,212,0,3,15,15,"[184, 115, 535]","[47, 30, 135]","[0, 1, 2]","[0, 1, 2]",[],[],[],"[0, 1, 2]","[0, 1, 2]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
30,train,client_030_train.npz,client_030_val.npz,,user_1246.csv,WISDM_Actitracker,front_leg_pocket,"['acc_mag', 'acc_mag_std']",16914,2,334,264,67,0,2,3,3,"[177, 87, 0]","[45, 22, 0]","[0, 1]","[0, 1]",[],[],[],"[0, 1]","[0, 1]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
31,test,,,client_031_test.npz,user_1253.csv,WISDM_Actitracker,front_leg_pocket,"['acc_mag', 'acc_mag_std']",13979,2,274,0,0,274,3,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
32,train,client_032_train.npz,client_032_val.npz,,user_1277.csv,WISDM_Actitracker,front_leg_pocket,"['acc_mag', 'acc_mag_std']",2585,2,44,31,9,0,3,4,4,"[10, 7, 14]","[3, 2, 4]","[0, 1, 2]","[0, 1, 2]",[],[],[],"[0, 1, 2]","[0, 1, 2]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
33,train,client_033_train.npz,client_033_val.npz,,user_13.csv,WISDM_AP,front_leg_pocket,"['acc_mag', 'acc_mag_std']",15605,2,306,241,61,0,3,4,4,"[16, 24, 201]","[4, 6, 51]","[0, 1, 2]","[0, 1, 2]",[],[],[],"[0, 1, 2]","[0, 1, 2]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
34,test,,,client_034_test.npz,user_1319.csv,WISDM_Actitracker,front_leg_pocket,"['acc_mag', 'acc_mag_std']",20386,2,401,0,0,401,3,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
35,train,client_035_train.npz,client_035_val.npz,,user_1320.csv,WISDM_Actitracker,front_leg_pocket,"['acc_mag', 'acc_mag_std']",15977,2,310,243,62,0,3,5,5,"[114, 39, 90]","[29, 10, 23]","[0, 1, 2]","[0, 1, 2]",[],[],[],"[0, 1, 2]","[0, 1, 2]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
36,train,client_036_train.npz,client_036_val.npz,,user_14.csv,WISDM_AP,front_leg_pocket,"['acc_mag', 'acc_mag_std']",13683,2,270,214,54,0,1,2,2,"[0, 0, 214]","[0, 0, 54]",[2],[2],[],[],[],[2],[2],20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
37,train,client_037_train.npz,client_037_val.npz,,user_1477.csv,WISDM_Actitracker,front_leg_pocket,"['acc_mag', 'acc_mag_std']",11381,2,224,177,45,0,2,2,2,"[0, 87, 90]","[0, 22, 23]","[1, 2]","[1, 2]",[],[],[],"[1, 2]","[1, 2]",20.0,5.0,0.5,100,50,False,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.31437301635742]","[-1.0, 1.0]"
