client_id,role,train_output_file,val_output_file,test_output_file,filename,dataset,placement,sensor_cols,n_rows,n_sensor_cols,n_windows_total,n_windows_train,n_windows_val,n_windows_test,n_classes_present,n_train_segments,n_val_segments,train_class_counts,val_class_counts,train_classes_before,val_classes_before,rescued_classes,val_rescued_classes,cannot_rescue_to_val,train_classes_after,val_classes_after,sampling_rate_hz,window_seconds,overlap_ratio,window_size_samples,step_size_samples,converted_units,already_gravity_removed,gravity_removed_here,acceleration_unit_after,acceleration_signal_after,norm_min,norm_max,norm_target_range
0,train,client_000_train.npz,client_000_val.npz,,user_006.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",81771,2,1314,1049,264,0,7,1,1,"[1, 27, 0, 0, 48, 0, 851, 120, 2]","[0, 64, 0, 0, 1, 0, 177, 1, 21]","[0, 1, 4, 6, 7, 8]","[1, 6, 7, 8]",[],[4],[0],"[0, 1, 4, 6, 7, 8]","[1, 4, 6, 7, 8]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[122.58322143554688, 27.68621253967285]","[-1.0, 1.0]"
1,test,,,client_001_test.npz,user_008.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",167620,2,2799,0,0,2799,6,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[122.58322143554688, 27.68621253967285]","[-1.0, 1.0]"
2,train,client_002_train.npz,client_002_val.npz,,user_009.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",61788,2,1102,883,218,0,6,1,1,"[1, 827, 2, 0, 0, 0, 32, 11, 10]","[0, 169, 1, 0, 0, 0, 10, 22, 16]","[0, 1, 6, 7, 8]","[1, 2, 6, 7, 8]",[2],[2],[0],"[0, 1, 2, 6, 7, 8]","[1, 2, 6, 7, 8]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[122.58322143554688, 27.68621253967285]","[-1.0, 1.0]"
3,train,client_003_train.npz,client_003_val.npz,,user_010.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",140667,2,2126,1700,425,0,5,1,1,"[2, 0, 1, 0, 0, 0, 402, 444, 851]","[23, 0, 3, 0, 0, 0, 4, 72, 323]","[0, 2, 6, 7, 8]","[0, 2, 6, 7, 8]",[],[],[],"[0, 2, 6, 7, 8]","[0, 2, 6, 7, 8]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[122.58322143554688, 27.68621253967285]","[-1.0, 1.0]"
4,train,client_004_train.npz,client_004_val.npz,,user_012.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",152984,2,2822,2254,567,0,7,1,1,"[10, 0, 0, 0, 148, 12, 2020, 28, 36]","[1, 0, 0, 0, 1, 1, 467, 94, 3]","[0, 4, 5, 6, 7, 8]","[6, 7, 8]",[],"[0, 4, 5]",[],"[0, 4, 5, 6, 7, 8]","[0, 4, 5, 6, 7, 8]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[122.58322143554688, 27.68621253967285]","[-1.0, 1.0]"
5,train,client_005_train.npz,client_005_val.npz,,user_013.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",147662,2,2279,1818,460,0,8,1,1,"[2, 15, 0, 0, 57, 21, 1422, 182, 119]","[1, 1, 0, 0, 1, 1, 418, 35, 3]","[0, 1, 4, 5, 6, 7, 8]","[6, 7, 8]",[],"[0, 1, 4, 5]",[],"[0, 1, 4, 5, 6, 7, 8]","[0, 1, 4, 5, 6, 7, 8]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[122.58322143554688, 27.68621253967285]","[-1.0, 1.0]"
6,train,client_006_train.npz,client_006_val.npz,,user_014.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",146633,2,2344,1915,428,0,8,1,1,"[7, 42, 0, 0, 42, 12, 1501, 249, 62]","[3, 1, 0, 0, 23, 1, 383, 6, 11]","[0, 4, 5, 6, 7, 8]","[0, 1, 4, 6, 7, 8]",[1],"[1, 5]",[],"[0, 1, 4, 5, 6, 7, 8]","[0, 1, 4, 5, 6, 7, 8]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[122.58322143554688, 27.68621253967285]","[-1.0, 1.0]"
7,train,client_007_train.npz,client_007_val.npz,,user_015.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",167379,2,2816,2319,496,0,8,1,1,"[18, 69, 2, 0, 283, 14, 1552, 260, 121]","[1, 1, 1, 0, 215, 1, 1, 127, 149]","[0, 2, 4, 5, 6, 7, 8]","[1, 2, 4, 6, 7, 8]",[1],"[0, 1, 5]",[],"[0, 1, 2, 4, 5, 6, 7, 8]","[0, 1, 2, 4, 5, 6, 7, 8]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[122.58322143554688, 27.68621253967285]","[-1.0, 1.0]"
8,test,,,client_008_test.npz,user_016.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",142187,2,2394,0,0,2394,8,0,0,[],[],[],[],[],[],[],[],[],20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[122.58322143554688, 27.68621253967285]","[-1.0, 1.0]"
9,train,client_009_train.npz,client_009_val.npz,,user_017.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",146667,2,2567,2106,460,0,8,1,1,"[31, 53, 5, 0, 235, 16, 1563, 83, 120]","[14, 1, 4, 0, 110, 17, 171, 71, 72]","[0, 2, 4, 5, 6, 7, 8]","[0, 1, 2, 4, 5, 6, 7, 8]",[1],[1],[],"[0, 1, 2, 4, 5, 6, 7, 8]","[0, 1, 2, 4, 5, 6, 7, 8]",20.0,5.0,0.5,100,50,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[122.58322143554688, 27.68621253967285]","[-1.0, 1.0]"
