client_id,role,train_output_file,val_output_file,test_output_file,filename,dataset,placement,sensor_cols,n_rows,n_sensor_cols,n_windows_total,n_windows_train,n_windows_val,n_windows_test,n_classes_present,n_train_segments,n_val_segments,train_class_counts,val_class_counts,train_classes_before,val_classes_before,rescued_classes,val_rescued_classes,cannot_rescue_to_val,train_classes_after,val_classes_after,sampling_rate_hz,window_seconds,overlap_ratio,window_size_samples,step_size_samples,converted_units,already_gravity_removed,gravity_removed_here,acceleration_unit_after,acceleration_signal_after,norm_min,norm_max,norm_target_range
0,train,client_000_train.npz,client_000_val.npz,,RW_user_1.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",58934,2,2937,2822,114,0,5,1,1,"[613, 476, 519, 600, 614]","[1, 1, 110, 1, 1]","[0, 2, 3, 4]","[1, 2]",[1],"[0, 1, 3, 4]",[],"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 20.229372024536133]","[-1.0, 1.0]"
1,train,client_001_train.npz,client_001_val.npz,,RW_user_10.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",53549,2,2668,2545,122,0,5,1,1,"[431, 415, 478, 625, 596]","[1, 1, 118, 1, 1]","[0, 2, 3, 4]","[1, 2]",[1],"[0, 1, 3, 4]",[],"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 20.229372024536133]","[-1.0, 1.0]"
2,test,,,client_002_test.npz,RW_user_11.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",57242,2,2853,0,0,2853,5,0,0,[],[],[],[],[],[],[],[],[],20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 20.229372024536133]","[-1.0, 1.0]"
3,train,client_003_train.npz,client_003_val.npz,,RW_user_12.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",55137,2,2747,2193,553,0,5,1,1,"[532, 453, 587, 28, 593]","[1, 1, 1, 549, 1]","[0, 1, 2, 3, 4]",[3],[],"[0, 1, 2, 4]",[],"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 20.229372024536133]","[-1.0, 1.0]"
4,train,client_004_train.npz,client_004_val.npz,,RW_user_13.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",44494,2,2217,2177,39,0,4,1,1,"[567, 406, 605, 599, 0]","[1, 1, 1, 36, 0]","[0, 2, 3]","[1, 3]",[1],"[0, 1, 2]",[],"[0, 1, 2, 3]","[0, 1, 2, 3]",20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 20.229372024536133]","[-1.0, 1.0]"
5,train,client_005_train.npz,client_005_val.npz,,RW_user_14.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",35977,2,1793,1431,361,0,3,1,1,"[0, 0, 587, 226, 618]","[0, 0, 1, 359, 1]","[2, 3, 4]",[3],[],"[2, 4]",[],"[2, 3, 4]","[2, 3, 4]",20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 20.229372024536133]","[-1.0, 1.0]"
6,train,client_006_train.npz,client_006_val.npz,,RW_user_15.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",57378,2,2860,2766,93,0,5,1,1,"[549, 482, 604, 504, 627]","[1, 1, 1, 89, 1]","[0, 2, 3, 4]","[1, 3]",[1],"[0, 1, 2, 4]",[],"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 20.229372024536133]","[-1.0, 1.0]"
7,test,,,client_007_test.npz,RW_user_2.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",53685,2,2675,0,0,2675,5,0,0,[],[],[],[],[],[],[],[],[],20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 20.229372024536133]","[-1.0, 1.0]"
8,train,client_008_train.npz,client_008_val.npz,,RW_user_3.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",58547,2,2919,2330,588,0,5,1,1,"[557, 524, 4, 589, 656]","[1, 1, 584, 1, 1]","[0, 1, 2, 3, 4]",[2],[],"[0, 1, 3, 4]",[],"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 20.229372024536133]","[-1.0, 1.0]"
9,train,client_009_train.npz,client_009_val.npz,,RW_user_4.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",24001,2,1197,956,240,0,2,1,1,"[0, 0, 372, 584, 0]","[0, 0, 239, 1, 0]","[2, 3]",[2],[],[3],[],"[2, 3]","[2, 3]",20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 20.229372024536133]","[-1.0, 1.0]"
10,train,client_010_train.npz,client_010_val.npz,,RW_user_5.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",57877,2,2884,2771,112,0,5,1,1,"[574, 468, 504, 564, 661]","[1, 1, 108, 1, 1]","[0, 2, 3, 4]","[1, 2]",[1],"[0, 1, 3, 4]",[],"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4]",20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 20.229372024536133]","[-1.0, 1.0]"
11,train,client_011_train.npz,client_011_val.npz,,RW_user_6.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",43098,2,2147,1714,432,0,4,1,1,"[485, 40, 0, 594, 595]","[1, 429, 0, 1, 1]","[0, 1, 3, 4]",[1],[],"[0, 3, 4]",[],"[0, 1, 3, 4]","[0, 1, 3, 4]",20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 20.229372024536133]","[-1.0, 1.0]"
12,train,client_012_train.npz,client_012_val.npz,,RW_user_7.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",24178,2,1205,962,242,0,2,1,1,"[0, 0, 0, 378, 584]","[0, 0, 0, 241, 1]","[3, 4]",[3],[],[4],[],"[3, 4]","[3, 4]",20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 20.229372024536133]","[-1.0, 1.0]"
13,train,client_013_train.npz,client_013_val.npz,,RW_user_8.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",54996,2,2742,2607,134,0,4,1,1,"[1094, 416, 619, 0, 478]","[1, 1, 1, 0, 131]","[0, 2, 4]","[1, 4]",[1],"[0, 1, 2]",[],"[0, 1, 2, 4]","[0, 1, 2, 4]",20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 20.229372024536133]","[-1.0, 1.0]"
14,test,,,client_014_test.npz,RW_user_9.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",56190,2,2800,0,0,2800,5,0,0,[],[],[],[],[],[],[],[],[],20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 20.229372024536133]","[-1.0, 1.0]"
15,test,,,client_015_test.npz,user_01.csv,FLAAP,waist,"['acc_mag', 'acc_mag_std']",46525,2,2319,0,0,2319,3,0,0,[],[],[],[],[],[],[],[],[],20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[62.67960739135742, 20.229372024536133]","[-1.0, 1.0]"
