client_id,role,train_output_file,val_output_file,test_output_file,filename,dataset,placement,sensor_cols,n_rows,n_sensor_cols,n_windows_total,n_windows_train,n_windows_val,n_windows_test,n_classes_present,n_train_segments,n_val_segments,train_class_counts,val_class_counts,train_classes_before,val_classes_before,rescued_classes,val_rescued_classes,cannot_rescue_to_val,train_classes_after,val_classes_after,sampling_rate_hz,window_seconds,overlap_ratio,window_size_samples,step_size_samples,converted_units,already_gravity_removed,gravity_removed_here,acceleration_unit_after,acceleration_signal_after,norm_min,norm_max,norm_target_range
0,train,client_000_train.npz,client_000_val.npz,,user_001.csv,UT_SAD,front right thigh,"['acc_mag', 'acc_mag_std']",7937,2,193,151,41,0,3,1,1,"[5, 59, 87]","[39, 1, 1]","[0, 1, 2]",[0],[],"[1, 2]",[],"[0, 1, 2]","[0, 1, 2]",20.0,4.0,0.5,80,40,False,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.343597412109375]","[-1.0, 1.0]"
1,test,,,client_001_test.npz,user_002.csv,UT_SAD,front right thigh,"['acc_mag', 'acc_mag_std']",5638,2,135,0,0,135,3,0,0,[],[],[],[],[],[],[],[],[],20.0,4.0,0.5,80,40,False,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.343597412109375]","[-1.0, 1.0]"
3,train,client_003_train.npz,client_003_val.npz,,user_004.csv,UT_SAD,front right thigh,"['acc_mag', 'acc_mag_std']",6815,2,165,157,7,0,3,1,1,"[27, 43, 87]","[1, 5, 1]","[1, 2]","[0, 1]",[0],"[0, 2]",[],"[0, 1, 2]","[0, 1, 2]",20.0,4.0,0.5,80,40,False,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.343597412109375]","[-1.0, 1.0]"
4,train,client_004_train.npz,client_004_val.npz,,user_005.csv,UT_SAD,front right thigh,"['acc_mag', 'acc_mag_std']",9069,2,221,174,46,0,3,1,1,"[14, 73, 87]","[44, 1, 1]","[0, 1, 2]",[0],[],"[1, 2]",[],"[0, 1, 2]","[0, 1, 2]",20.0,4.0,0.5,80,40,False,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.343597412109375]","[-1.0, 1.0]"
5,train,client_005_train.npz,client_005_val.npz,,user_006.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",72944,2,1516,1246,269,0,3,1,1,"[1048, 164, 34]","[264, 4, 1]","[0, 1]","[0, 1, 2]",[2],[2],[],"[0, 1, 2]","[0, 1, 2]",20.0,4.0,0.5,80,40,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.343597412109375]","[-1.0, 1.0]"
6,train,client_006_train.npz,client_006_val.npz,,user_007.csv,UT_SAD,front right thigh,"['acc_mag', 'acc_mag_std']",8010,2,195,153,41,0,3,1,1,"[4, 62, 87]","[39, 1, 1]","[0, 1, 2]",[0],[],"[1, 2]",[],"[0, 1, 2]","[0, 1, 2]",20.0,4.0,0.5,80,40,False,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.343597412109375]","[-1.0, 1.0]"
7,test,,,client_007_test.npz,user_008.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",163717,2,3490,0,0,3490,3,0,0,[],[],[],[],[],[],[],[],[],20.0,4.0,0.5,80,40,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.343597412109375]","[-1.0, 1.0]"
8,train,client_008_train.npz,client_008_val.npz,,user_009.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",8974,2,179,141,37,0,3,1,1,"[98, 14, 29]","[1, 31, 5]","[0, 1, 2]","[1, 2]",[],[0],[],"[0, 1, 2]","[0, 1, 2]",20.0,4.0,0.5,80,40,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.343597412109375]","[-1.0, 1.0]"
9,train,client_009_train.npz,client_009_val.npz,,user_010.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",136914,2,2730,2183,546,0,3,1,1,"[518, 577, 1088]","[6, 100, 440]","[0, 1, 2]","[0, 1, 2]",[],[],[],"[0, 1, 2]","[0, 1, 2]",20.0,4.0,0.5,80,40,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.343597412109375]","[-1.0, 1.0]"
10,train,client_010_train.npz,client_010_val.npz,,user_012.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",141707,2,3347,2677,669,0,3,1,1,"[2572, 41, 64]","[543, 121, 5]","[0, 1, 2]","[0, 1, 2]",[],[],[],"[0, 1, 2]","[0, 1, 2]",20.0,4.0,0.5,80,40,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.343597412109375]","[-1.0, 1.0]"
11,train,client_011_train.npz,client_011_val.npz,,user_013.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",139613,2,2823,2257,565,0,3,1,1,"[1824, 258, 175]","[509, 47, 9]","[0, 1, 2]","[0, 1, 2]",[],[],[],"[0, 1, 2]","[0, 1, 2]",20.0,4.0,0.5,80,40,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[101.7060317993164, 32.343597412109375]","[-1.0, 1.0]"
