client_id,role,train_output_file,val_output_file,test_output_file,filename,dataset,placement,sensor_cols,n_rows,n_sensor_cols,n_windows_total,n_windows_train,n_windows_val,n_windows_test,n_classes_present,n_train_segments,n_val_segments,train_class_counts,val_class_counts,train_classes_before,val_classes_before,rescued_classes,val_rescued_classes,cannot_rescue_to_val,train_classes_after,val_classes_after,sampling_rate_hz,window_seconds,overlap_ratio,window_size_samples,step_size_samples,converted_units,already_gravity_removed,gravity_removed_here,acceleration_unit_after,acceleration_signal_after,norm_min,norm_max,norm_target_range
0,train,client_000_train.npz,client_000_val.npz,,RW_user_1.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",84296,2,4199,4029,169,0,8,1,1,"[613, 0, 315, 0, 81, 595, 0, 0, 582, 0, 629, 600, 614]","[1, 0, 162, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1]","[0, 2, 8, 10, 11, 12]","[2, 4, 5]","[4, 5]","[0, 4, 5, 8, 10, 11, 12]",[],"[0, 2, 4, 5, 8, 10, 11, 12]","[0, 2, 4, 5, 8, 10, 11, 12]",20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 49.8165168762207]","[-1.0, 1.0]"
1,train,client_001_train.npz,client_001_val.npz,,RW_user_10.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",80040,2,3987,3793,193,0,8,1,1,"[431, 0, 229, 0, 98, 610, 0, 0, 609, 0, 595, 625, 596]","[1, 0, 186, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1]","[0, 2, 4, 8, 10, 11, 12]","[2, 5]",[5],"[0, 4, 5, 8, 10, 11, 12]",[],"[0, 2, 4, 5, 8, 10, 11, 12]","[0, 2, 4, 5, 8, 10, 11, 12]",20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 49.8165168762207]","[-1.0, 1.0]"
2,test,,,client_002_test.npz,RW_user_11.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",83062,2,4138,0,0,4138,8,0,0,[],[],[],[],[],[],[],[],[],20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 49.8165168762207]","[-1.0, 1.0]"
3,train,client_003_train.npz,client_003_val.npz,,RW_user_12.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",80337,2,4001,3868,132,0,8,1,1,"[532, 0, 452, 0, 87, 586, 0, 0, 578, 0, 587, 453, 593]","[1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 125, 1]","[0, 2, 8, 10, 11, 12]","[4, 5, 11]","[4, 5]","[0, 2, 4, 5, 8, 10, 12]",[],"[0, 2, 4, 5, 8, 10, 11, 12]","[0, 2, 4, 5, 8, 10, 11, 12]",20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 49.8165168762207]","[-1.0, 1.0]"
4,train,client_004_train.npz,client_004_val.npz,,RW_user_13.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",70350,2,3504,3400,103,0,7,1,1,"[567, 0, 309, 0, 101, 603, 0, 0, 580, 0, 605, 635, 0]","[1, 0, 97, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0]","[0, 2, 4, 8, 10, 11]","[2, 5]",[5],"[0, 4, 5, 8, 10, 11]",[],"[0, 2, 4, 5, 8, 10, 11]","[0, 2, 4, 5, 8, 10, 11]",20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 49.8165168762207]","[-1.0, 1.0]"
5,train,client_005_train.npz,client_005_val.npz,,RW_user_14.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",61179,2,3047,3018,28,0,6,1,1,"[0, 0, 0, 0, 88, 581, 0, 0, 559, 0, 587, 585, 618]","[0, 0, 0, 0, 1, 1, 0, 0, 23, 0, 1, 1, 1]","[4, 5, 8, 10, 12]","[8, 11]",[11],"[4, 5, 10, 11, 12]",[],"[4, 5, 8, 10, 11, 12]","[4, 5, 8, 10, 11, 12]",20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 49.8165168762207]","[-1.0, 1.0]"
6,train,client_006_train.npz,client_006_val.npz,,RW_user_15.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",84213,2,4196,3963,232,0,8,1,1,"[549, 0, 257, 0, 85, 613, 0, 0, 635, 0, 604, 593, 627]","[1, 0, 225, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1]","[0, 2, 4, 8, 10, 11, 12]","[2, 5]",[5],"[0, 4, 5, 8, 10, 11, 12]",[],"[0, 2, 4, 5, 8, 10, 11, 12]","[0, 2, 4, 5, 8, 10, 11, 12]",20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 49.8165168762207]","[-1.0, 1.0]"
7,test,,,client_007_test.npz,RW_user_2.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",78809,2,3925,0,0,3925,8,0,0,[],[],[],[],[],[],[],[],[],20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 49.8165168762207]","[-1.0, 1.0]"
8,train,client_008_train.npz,client_008_val.npz,,RW_user_3.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",86579,2,4314,4127,186,0,8,1,1,"[557, 0, 523, 0, 94, 409, 0, 0, 711, 0, 588, 589, 656]","[1, 0, 1, 0, 1, 179, 0, 0, 1, 0, 1, 1, 1]","[0, 2, 5, 8, 11, 12]","[4, 5, 10]","[4, 10]","[0, 2, 4, 8, 10, 11, 12]",[],"[0, 2, 4, 5, 8, 10, 11, 12]","[0, 2, 4, 5, 8, 10, 11, 12]",20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 49.8165168762207]","[-1.0, 1.0]"
9,train,client_009_train.npz,client_009_val.npz,,RW_user_4.csv,RealWorld,waist,"['acc_mag', 'acc_mag_std']",58416,2,2912,2404,507,0,5,1,1,"[0, 0, 0, 0, 78, 147, 0, 0, 984, 0, 611, 584, 0]","[0, 0, 0, 0, 1, 503, 0, 0, 1, 0, 1, 1, 0]","[5, 8, 10, 11]","[4, 5]",[4],"[4, 8, 10, 11]",[],"[4, 5, 8, 10, 11]","[4, 5, 8, 10, 11]",20.0,2.0,0.5,40,20,False,False,True,m/s^2,body_acceleration,"[0.00016430311370640993, 0.0]","[131.81845092773438, 49.8165168762207]","[-1.0, 1.0]"
