client_id,role,train_output_file,val_output_file,test_output_file,filename,dataset,placement,sensor_cols,n_rows,n_sensor_cols,n_windows_total,n_windows_train,n_windows_val,n_windows_test,n_classes_present,n_train_segments,n_val_segments,train_class_counts,val_class_counts,train_classes_before,val_classes_before,rescued_classes,val_rescued_classes,cannot_rescue_to_val,train_classes_after,val_classes_after,sampling_rate_hz,window_seconds,overlap_ratio,window_size_samples,step_size_samples,converted_units,already_gravity_removed,gravity_removed_here,acceleration_unit_after,acceleration_signal_after,norm_min,norm_max,norm_target_range
0,train,client_000_train.npz,client_000_val.npz,,user_006.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",81771,2,783,623,159,0,7,1,1,"[0, 14, 0, 0, 29, 0, 523, 56, 1]","[0, 36, 0, 0, 1, 0, 111, 1, 10]","[1, 4, 6, 7, 8]","[1, 6, 8]",[],"[4, 7]",[],"[1, 4, 6, 7, 8]","[1, 4, 6, 7, 8]",20.0,8.0,0.5,160,80,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[122.58322143554688, 32.31437301635742]","[-1.0, 1.0]"
1,test,,,client_001_test.npz,user_008.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",167620,2,1668,0,0,1668,6,0,0,[],[],[],[],[],[],[],[],[],20.0,8.0,0.5,160,80,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[122.58322143554688, 32.31437301635742]","[-1.0, 1.0]"
2,train,client_002_train.npz,client_002_val.npz,,user_009.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",61788,2,653,522,130,0,6,1,1,"[0, 500, 1, 0, 0, 0, 11, 5, 5]","[0, 105, 0, 0, 0, 0, 6, 10, 9]","[1, 6, 7, 8]","[1, 2, 6, 7, 8]",[2],[],[2],"[1, 2, 6, 7, 8]","[1, 6, 7, 8]",20.0,8.0,0.5,160,80,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[122.58322143554688, 32.31437301635742]","[-1.0, 1.0]"
3,train,client_003_train.npz,client_003_val.npz,,user_010.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",140667,2,1194,961,232,0,5,1,1,"[7, 0, 1, 0, 0, 0, 235, 243, 475]","[1, 0, 0, 0, 0, 0, 1, 37, 193]","[6, 7, 8]","[0, 2, 7, 8]","[0, 2]","[0, 6]",[2],"[0, 2, 6, 7, 8]","[0, 6, 7, 8]",20.0,8.0,0.5,160,80,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[122.58322143554688, 32.31437301635742]","[-1.0, 1.0]"
4,train,client_004_train.npz,client_004_val.npz,,user_012.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",152984,2,1725,1376,348,0,7,1,1,"[0, 0, 0, 0, 92, 6, 1251, 12, 15]","[0, 0, 0, 0, 1, 1, 291, 54, 1]","[4, 5, 6, 7, 8]","[6, 7]",[],"[4, 5, 8]",[],"[4, 5, 6, 7, 8]","[4, 5, 6, 7, 8]",20.0,8.0,0.5,160,80,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[122.58322143554688, 32.31437301635742]","[-1.0, 1.0]"
5,train,client_005_train.npz,client_005_val.npz,,user_013.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",147662,2,1305,1039,265,0,8,1,1,"[0, 7, 0, 0, 35, 11, 876, 69, 41]","[0, 1, 0, 0, 1, 1, 245, 16, 1]","[1, 4, 5, 6, 7, 8]","[6, 7]",[],"[1, 4, 5, 8]",[],"[1, 4, 5, 6, 7, 8]","[1, 4, 5, 6, 7, 8]",20.0,8.0,0.5,160,80,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[122.58322143554688, 32.31437301635742]","[-1.0, 1.0]"
6,train,client_006_train.npz,client_006_val.npz,,user_014.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",146633,2,1390,1135,254,0,8,1,1,"[0, 25, 0, 0, 24, 5, 933, 129, 19]","[0, 1, 0, 0, 14, 1, 233, 3, 2]","[4, 5, 6, 7, 8]","[1, 4, 6, 7, 8]",[1],"[1, 5]",[],"[1, 4, 5, 6, 7, 8]","[1, 4, 5, 6, 7, 8]",20.0,8.0,0.5,160,80,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[122.58322143554688, 32.31437301635742]","[-1.0, 1.0]"
7,train,client_007_train.npz,client_007_val.npz,,user_015.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",167379,2,1672,1376,295,0,8,1,1,"[1, 42, 0, 0, 172, 6, 963, 143, 49]","[1, 1, 0, 0, 136, 1, 1, 72, 83]","[0, 4, 5, 6, 7, 8]","[1, 4, 7, 8]",[1],"[0, 1, 5, 6]",[],"[0, 1, 4, 5, 6, 7, 8]","[0, 1, 4, 5, 6, 7, 8]",20.0,8.0,0.5,160,80,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[122.58322143554688, 32.31437301635742]","[-1.0, 1.0]"
8,test,,,client_008_test.npz,user_016.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",142187,2,1416,0,0,1416,8,0,0,[],[],[],[],[],[],[],[],[],20.0,8.0,0.5,160,80,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[122.58322143554688, 32.31437301635742]","[-1.0, 1.0]"
9,train,client_009_train.npz,client_009_val.npz,,user_017.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",146667,2,1534,1255,278,0,8,1,1,"[15, 29, 0, 0, 145, 9, 948, 43, 66]","[5, 1, 0, 0, 67, 10, 124, 35, 36]","[0, 4, 5, 6, 7, 8]","[0, 1, 4, 5, 6, 7, 8]",[1],[1],[],"[0, 1, 4, 5, 6, 7, 8]","[0, 1, 4, 5, 6, 7, 8]",20.0,8.0,0.5,160,80,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[122.58322143554688, 32.31437301635742]","[-1.0, 1.0]"
10,train,client_010_train.npz,client_010_val.npz,,user_018.csv,HARTH,front right thigh,"['acc_mag', 'acc_mag_std']",128933,2,1216,971,244,0,8,1,1,"[0, 32, 0, 0, 68, 40, 700, 72, 59]","[0, 1, 0, 0, 89, 17, 3, 15, 119]","[1, 4, 5, 6, 7, 8]","[4, 5, 6, 7, 8]",[],[1],[],"[1, 4, 5, 6, 7, 8]","[1, 4, 5, 6, 7, 8]",20.0,8.0,0.5,160,80,True,False,True,m/s^2,body_acceleration,"[3.23554668284487e-05, 0.0]","[122.58322143554688, 32.31437301635742]","[-1.0, 1.0]"
